name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Devon Witherspoon,Cornerback,Illinois,Big Ten,72.0,181.0,,,,,,,22.0,4,1,1,1,1,0,0,14.0,0.0,0.0,33.0,0.0,2.5,42.0,,,,,,,,,,,,,,,,,,,,32.3,3.0,0.0,97.0,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,9.0,1.0,1.0,42.0,0.0,8.0,52.0,0.0,0.0,0.0,17.0,0.0,1.0,30.0,2.0,0.0,0.0,23.0,0.0,0.0,33.0
Emmanuel Forbes,Cornerback,Mississippi State,SEC,73.0,166.0,4.35,,37.5,131.0,,,22.0,3,0,1,1,1,0,0,10.0,0.0,0.0,20.0,3.0,1.0,39.0,11.0,3.0,0.0,33.0,,,,,,,,,,,,,,,,29.0,6.0,3.0,174.0,,,,,,,,,,,,,,,,38.5,4.0,2.0,154.0,,,,,,,,,,,,,,,5.0,0.0,1.0,45.0,0.0,5.0,59.0,6.0,1.0,0.0,23.0,3.0,0.5,45.0,,,,,,,
Christian Gonzalez,Cornerback,Oregon,Pac-12,73.0,197.0,4.38,14.0,41.5,133.0,,,21.0,3,1,1,1,0,0,0,7.0,0.0,0.0,35.0,0.0,1.0,51.0,,,,,,,,,,,,,,,,,,,,29.5,4.0,0.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,42.0,0.0,5.5,53.0,5.0,0.0,0.0,23.0,0.0,0.0,25.0,,,,,,,
Deonte Banks,Cornerback,Maryland,Big Ten,72.0,197.0,4.35,,42.0,136.0,,,22.0,4,1,1,1,1,0,0,8.0,0.0,0.5,25.0,0.0,0.5,38.0,,,,,,,,,,,,,,,19.0,19.0,1.0,0.0,19.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,10.0,0.0,0.0,11.0,2.0,0.0,0.0,22.0,0.0,0.0,28.0
Joey Porter Jr.,Cornerback,Penn State,Big Ten,75.0,193.0,4.46,17.0,35.0,129.0,,,23.0,4,0,1,1,1,1,0,8.0,1.0,0.0,21.0,0.0,0.0,27.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,40.0,0.0,0.0,51.0,4.0,0.0,1.0,25.0,0.0,2.0,34.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
Julius Brents,Cornerback,Kansas State,Big 12,75.0,198.0,4.53,,41.5,138.0,6.63,4.05,23.0,3,0,0,0,1,1,0,5.0,0.0,0.0,23.0,0.0,3.5,40.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,41.0,0.0,3.0,49.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,,,,,,,
Cam Smith,Cornerback,South Carolina,SEC,73.0,180.0,4.43,,38.0,134.0,,,22.0,4,1,1,1,1,0,0,5.0,2.0,0.0,23.0,0.0,1.0,27.0,3.3,3.0,0.0,10.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,-1.0,0.0,1.0,0.0,-1.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,11.0,0.0,0.0,31.0,0.0,2.5,41.0,2.0,0.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0
Tyrique Stevenson,Cornerback,Miami,ACC,72.0,198.0,4.45,,38.5,125.0,7.09,4.41,23.0,4,0,1,1,1,1,0,7.0,0.0,0.0,18.0,0.0,1.5,25.0,39.0,1.0,0.0,39.0,9.8,22.0,6.0,0.0,59.0,,,,,,,,,,,0.0,1.0,0.0,0.0,8.8,30.0,4.0,0.0,35.0,,,,,,23.0,23.0,1.0,0.0,23.0,,,,,,,,,,,,,,,,,,,4.0,1.0,0.5,29.0,0.0,2.5,43.0,5.0,0.0,0.0,22.0,0.0,1.0,34.0,5.0,0.0,1.0,9.0,0.0,1.0,13.0
DJ Turner,Cornerback,Michigan,Big Ten,71.0,178.0,4.26,,38.5,131.0,,,22.0,2,0,0,1,1,0,0,10.0,1.0,0.0,23.0,1.0,1.0,29.0,32.5,2.0,1.0,65.0,25.0,25.0,1.0,0.0,25.0,,,,,,,,,,,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,26.0,1.0,1.0,33.0,,,,,,,,,,,,,,
Garrett Williams,Cornerback,Syracuse,ACC,70.0,192.0,,,,,,,22.0,3,0,1,1,1,0,0,3.0,0.0,1.0,25.0,0.0,1.5,34.0,,,,,,,,,,,,,,,,,,,,2.5,2.0,0.0,5.0,,,,,,,,,,,,,,,,35.0,2.0,1.0,70.0,,,,,,,,,,,,,,,9.0,1.0,0.0,36.0,0.0,5.0,52.0,10.0,0.0,1.0,54.0,1.0,3.0,64.0,,,,,,,
Riley Moss,Cornerback,Iowa,Big Ten,73.0,193.0,4.45,,39.0,127.0,,,23.0,4,0,1,1,1,1,0,10.0,1.0,0.0,30.0,0.0,1.0,45.0,21.3,4.0,2.0,85.0,,,,,,,,,,,23.3,31.0,4.0,0.0,93.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,55.5,2.0,1.0,111.0,,,,,,,,,,,3.5,2.0,0.0,7.0,5.0,1.0,0.0,34.0,2.0,3.0,39.0,4.0,0.0,0.0,33.0,1.0,0.5,43.0,3.0,0.0,0.0,5.0,0.0,1.0,5.0
Mekhi Blackmon,Cornerback,USC,Pac-12,71.0,178.0,4.47,11.0,36.0,125.0,,,24.0,4,0,0,1,1,1,1,12.0,0.0,0.0,38.0,0.0,1.5,52.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,10.3,3.0,0.0,31.0,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,4.0,1.0,0.0,28.0,0.0,0.0,41.0,6.0,0.0,0.0,13.0,0.0,1.0,15.0,0.0,0.0,1.0,7.0,0.0,1.0,10.0
Jakorian Bennett,Cornerback,Maryland,Big Ten,71.0,188.0,4.3,13.0,40.5,133.0,,,23.0,3,0,0,1,1,1,0,11.0,0.0,0.0,26.0,0.0,1.5,39.0,-0.3,3.0,0.0,-1.0,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,0.0,23.0,0.0,2.0,24.0,2.0,0.0,0.0,6.0,0.0,1.0,6.0,,,,,,,
Kelee Ringo,Cornerback,Georgia,SEC,74.0,207.0,4.36,,33.5,122.0,,,21.0,2,0,1,1,0,0,0,6.0,0.0,0.0,29.0,0.0,2.0,33.0,39.5,2.0,1.0,79.0,,,,,,,,,,,,,,,,22.5,2.0,0.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,1.0,26.0,1.0,1.0,34.0,,,,,,,,,,,,,,
Clark Phillips III,Cornerback,Utah,Pac-12,69.0,184.0,4.51,18.0,33.0,,,4.32,21.0,3,1,1,1,0,0,0,6.0,0.0,1.0,15.0,2.0,2.0,23.0,27.0,2.0,1.0,54.0,,,,,,,,,,,,,,,,23.7,6.0,2.0,142.0,,,,,,,,,,,,,,,,36.0,1.0,1.0,36.0,,,,,,,,,,,,,,,13.0,0.0,0.0,45.0,1.0,1.0,61.0,2.0,0.0,0.0,13.0,1.0,1.0,16.0,,,,,,,
Darius Rush,Cornerback,South Carolina,SEC,74.0,198.0,4.36,,35.0,121.0,,,23.0,4,0,1,1,1,1,0,7.0,1.0,0.0,28.0,0.0,2.0,38.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,29.5,2.0,0.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,2.0,0.0,-2.0,,,,,8.0,0.0,1.0,24.0,0.0,3.0,26.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Cameron Mitchell,Cornerback,Northwestern,Big Ten,71.0,191.0,4.47,15.0,35.0,,,,21.0,4,1,1,1,0,0,0,7.0,1.0,1.0,38.0,0.0,2.5,52.0,,,,,,,,,,,,,,,,,,,,16.0,1.0,0.0,16.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,6.0,1.0,0.0,40.0,0.0,0.5,48.0,5.0,0.0,0.5,9.0,0.0,0.5,18.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Darrell Luter Jr.,Cornerback,South Alabama,Sun Belt,72.0,189.0,4.46,,40.5,123.0,6.9,4.43,23.0,3,0,0,1,1,1,0,5.0,1.0,0.0,25.0,0.0,0.5,37.0,7.3,4.0,0.0,29.0,,,,,,,,,,,,,,,,21.0,1.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,12.0,0.0,2.0,20.0,1.0,0.0,0.0,15.0,0.0,0.0,27.0,,,,,,,
