name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Henry Ruggs III,Wide Receiver,Alabama,SEC,71.0,188.0,4.27,,42.0,131.0,,,21.0,3,1,1,1,0,0,0,Alabama,,,,Alabama,,,,,,81.0,40.0,7.0,746.0,18.7,2.0,75.0,1.0,75.0,37.5,57.0,46.0,11.0,741.0,16.1,,,,,,Alabama,18.4,23.0,13.0,0.0,239.0,60.0,12.0,6.0,229.0,19.1,,,,,,23.8,40.0,12.0,0.0,286.0,,,,,,,,,,,,,,,,,,,,,,5.8,16.0,8.0,0.0,46.0,,,,,,,,,,,1.0,1.0,0.0,3.0,2.0,0.0,,,
Jerry Jeudy,Wide Receiver,Alabama,SEC,73.0,193.0,4.45,,35.0,120.0,,4.53,21.0,3,1,1,1,0,0,0,Alabama,,,,Alabama,,,,,,85.0,77.0,10.0,1163.0,15.1,1.0,1.0,0.0,1.0,1.0,81.0,68.0,14.0,1315.0,19.3,,,,,,Alabama,,,,,,36.0,14.0,2.0,264.0,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,,,,,,
CeeDee Lamb,Wide Receiver,Oklahoma,Big 12,74.0,198.0,4.5,11.0,34.5,124.0,,,21.0,3,1,1,1,0,0,0,Oklahoma,2.0,1.0,0.0,Oklahoma,12.8,66.0,17.0,0.0,218.0,71.0,62.0,14.0,1327.0,21.4,9.0,21.0,1.0,20.0,2.2,86.0,64.0,11.0,1155.0,18.0,,,,,,Oklahoma,,,,,,82.0,46.0,7.0,807.0,17.5,,,,,,,,,,,,,,,,,,,,,,7.2,46.0,25.0,0.0,179.0,,,,,,5.6,21.0,14.0,0.0,78.0,,,,,,,,,,,1.0,1.0,0.0,,,,,,
Jalen Reagor,Wide Receiver,TCU,Big 12,71.0,206.0,4.47,17.0,42.0,138.0,7.31,4.46,21.0,3,1,1,1,0,0,0,TCU,6.0,3.0,0.0,TCU,12.1,58.0,8.0,0.0,97.0,55.0,43.0,5.0,611.0,14.2,14.0,29.0,0.0,89.0,6.4,67.0,71.0,9.0,1052.0,14.8,14.0,83.0,2.0,178.0,12.7,TCU,30.5,33.0,4.0,0.0,122.0,93.0,33.0,8.0,576.0,17.5,8.0,18.0,0.0,65.0,8.1,12.0,24.0,6.0,0.0,72.0,,,,,,,,,,,,19.5,73.0,16.0,2.0,312.0,30.3,37.0,4.0,0.0,121.0,,,,,,,,,,,,,,,,2.0,1.0,0.0,1.0,0.0,0.0,,,
Justin Jefferson,Wide Receiver,LSU,SEC,73.0,202.0,4.43,,37.5,126.0,,,21.0,3,1,1,1,0,0,0,LSU,,,,LSU,0.5,2.0,2.0,0.0,1.0,71.0,111.0,18.0,1540.0,13.9,,,,,,65.0,54.0,6.0,874.0,16.2,5.0,19.0,0.0,26.0,5.2,LSU,,,,,,,,,,,1.0,4.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Aiyuk,Wide Receiver,Arizona State,Pac-12,72.0,205.0,4.5,11.0,40.0,128.0,,,22.0,2,0,0,1,1,0,0,Arizona State,1.0,0.0,0.0,Arizona State,6.1,17.0,11.0,0.0,67.0,86.0,65.0,8.0,1192.0,18.3,1.0,6.0,0.0,6.0,6.0,58.0,33.0,3.0,474.0,14.4,,,,,,,,,,,,,,,,,,,,,,31.9,97.0,14.0,0.0,446.0,,,,,,,,,,,,16.1,63.0,14.0,1.0,226.0,22.4,37.0,14.0,0.0,314.0,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,,
Tee Higgins,Wide Receiver,Clemson,ACC,76.0,216.0,,,,,,,21.0,3,1,1,1,0,0,0,Clemson,,,,Clemson,,,,,,65.0,59.0,13.0,1167.0,19.8,1.0,36.0,1.0,36.0,36.0,64.0,59.0,12.0,936.0,15.9,,,,,,Clemson,3.0,3.0,1.0,0.0,3.0,78.0,17.0,2.0,345.0,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Pittman Jr.,Wide Receiver,USC,Pac-12,76.0,223.0,,,,,,,22.0,4,1,1,1,1,0,0,USC,1.0,1.0,0.0,USC,4.0,0.0,1.0,0.0,4.0,77.0,101.0,11.0,1275.0,12.6,,,,,,65.0,40.0,6.0,743.0,18.6,2.0,11.0,0.0,20.0,10.0,USC,,,,,,54.0,23.0,2.0,404.0,17.6,,,,,,,,,,,USC,21.0,6.0,0.0,82.0,13.7,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,44.5,72.0,2.0,1.0,89.0,7.8,13.0,4.0,0.0,31.0,31.5,35.0,2.0,0.0,63.0,1.0,1.0,0.0,,,,,,
Laviska Shenault Jr.,Wide Receiver,Colorado,Pac-12,73.0,227.0,4.58,17.0,,,,,21.0,3,1,1,1,0,0,0,Colorado,1.0,1.0,0.0,Colorado,,,,,,71.0,56.0,4.0,764.0,13.6,23.0,23.0,2.0,161.0,7.0,89.0,86.0,6.0,1011.0,11.8,17.0,49.0,5.0,115.0,6.8,Colorado,,,,,,58.0,7.0,0.0,168.0,24.0,2.0,3.0,0.0,4.0,2.0,54.0,54.0,1.0,0.0,54.0,,,,,,,,,,,,,,,,,,,,,,55.0,55.0,1.0,1.0,55.0,,,,,,,,,,,1.0,1.0,0.0,,,,,,
KJ Hamler,Wide Receiver,Penn State,Big Ten,69.0,176.0,,15.0,,,,,21.0,2,0,1,1,0,0,0,Penn State,3.0,0.0,0.0,Penn State,6.9,33.0,14.0,0.0,96.0,58.0,56.0,8.0,904.0,16.1,13.0,16.0,0.0,43.0,3.3,93.0,43.0,5.0,755.0,17.6,4.0,32.0,1.0,44.0,11.0,,,,,,,,,,,,,,,,,20.5,40.0,25.0,0.0,513.0,,,,,,,,,,,,5.0,26.0,25.0,0.0,126.0,26.6,67.0,19.0,0.0,506.0,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,,
