name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Jarvis Brownlee Jr.,Cornerback,Louisville,ACC,70.0,194.0,,,,,,,23.0,4,0,1,1,1,1,0,Louisville,6.0,0.0,0.0,16.0,0.0,1.0,30.0,Louisville,2.0,2.0,0.0,4.0,,,,,,Florida State,,,,,,,,,,,Florida State,18.0,1.0,0.0,18.0,,,,,,,,,,,,,,,,35.0,2.0,1.0,70.0,,,,,,0.0,1.0,0.0,0.0,11.0,2.0,0.0,48.0,0.0,2.5,62.0,3.0,0.0,0.0,30.0,1.0,2.0,51.0,1.0,0.0,1.0,17.0,0.0,2.0,26.0
Josh Newton,Cornerback,TCU,Big 12,71.0,190.0,4.51,15.0,34.0,124.0,,4.15,23.0,4,0,1,1,1,1,0,TCU,5.0,0.0,0.0,23.0,0.0,0.0,29.0,TCU,38.0,3.0,1.0,114.0,,,,,,UL Monroe,,,,,,,,,,,UL Monroe,53.0,1.0,0.0,53.0,,,,,,,,,,,,,,,,23.0,2.0,0.0,46.0,,,,,,35.0,1.0,0.0,35.0,12.0,0.0,0.0,21.0,1.0,2.0,27.0,8.0,1.0,0.0,28.0,0.0,5.0,48.0,5.0,0.0,0.0,11.0,0.0,0.5,16.0
Deantre Prince,Cornerback,Ole Miss,SEC,72.0,183.0,4.38,,34.5,125.0,,,23.0,3,0,0,1,1,1,0,Ole Miss,5.0,0.0,1.0,24.0,0.0,5.0,36.0,Ole Miss,0.0,1.0,0.0,0.0,,,,,,Ole Miss,,,,,,,,,,,,44.0,1.0,0.0,44.0,,,,,,,,,,,,,,,,7.5,2.0,0.0,15.0,,,,,,,,,,10.0,0.0,0.0,23.0,0.0,1.0,36.0,3.0,0.0,0.0,32.0,0.0,0.0,45.0,,,,,,,
Chau Smith-Wade,Cornerback,Washington State,Pac-12,70.0,184.0,4.54,18.0,34.5,125.0,7.05,4.32,21.0,4,1,1,1,0,0,0,Washington State,6.0,1.0,0.0,22.0,0.0,2.0,35.0,Washington State,14.0,2.0,0.0,28.0,,,,,,Washington State,,,,,,,,,,,Washington State,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,8.0,0.0,0.0,31.0,0.0,2.5,43.0,2.0,0.0,0.0,10.0,0.0,0.5,17.0,1.0,0.0,0.0,7.0,0.0,1.0,8.0
Caelen Carson,Cornerback,Wake Forest,ACC,72.0,199.0,,,,,,,22.0,4,1,1,1,1,0,0,Wake Forest,6.0,0.0,0.0,29.0,0.0,1.0,42.0,Wake Forest,,,,,,,,,,Wake Forest,,,,,,,,,,,Wake Forest,,,,,,,,,,,,,,,,,,,,15.0,2.0,0.0,30.0,,,,,,0.0,1.0,0.0,0.0,5.0,0.0,0.0,12.0,0.0,1.0,15.0,7.0,0.0,0.0,26.0,0.0,0.5,31.0,4.0,0.0,0.0,19.0,0.0,0.0,25.0
Marcellas Dial,Cornerback,South Carolina,SEC,72.0,190.0,4.46,,40.5,129.0,,,23.0,3,0,0,1,1,1,0,South Carolina,10.0,0.0,1.0,25.0,0.0,2.0,36.0,South Carolina,1.0,3.0,0.0,3.0,,,,,,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,0.0,30.0,0.0,1.0,41.0,6.0,0.0,0.0,25.0,0.0,0.0,33.0,,,,,,,
D.J. James,Cornerback,Auburn,SEC,72.0,175.0,,,,,,,23.0,4,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,Oregon,,,,,,,,,,,Oregon,,,,,,,,,,,,,,,,,,,,9.5,2.0,0.0,19.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,34.0,0.0,0.5,46.0,1.0,0.0,0.0,12.0,0.0,0.0,14.0
Ryan Watts,Cornerback,Texas,Big 12,75.0,208.0,4.53,,40.5,125.0,6.82,4.13,22.0,4,1,1,1,1,0,0,Texas,3.0,0.0,0.0,30.0,0.0,1.0,37.0,Texas,0.0,1.0,0.0,0.0,,,,,,Ohio State,,,,,,,,,,,Ohio State,,,,,,,,,,,,,,,,,,,,9.0,2.0,0.0,18.0,,,,,,,,,,3.0,1.0,1.0,35.0,0.0,4.0,51.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
Micah Abraham,Cornerback,Marshall,Sun Belt,,,,,,,,,23.0,4,0,1,1,1,1,0,Marshall,15.0,0.0,0.0,22.0,0.0,0.0,36.0,Marshall,5.8,6.0,0.0,35.0,,,,,,Marshall,,,,,,,,,,,Marshall,0.5,4.0,0.0,2.0,,,,,,,,,,,,,,,,35.0,1.0,0.0,35.0,,,,,,,,,,8.0,0.0,0.5,20.0,0.0,1.5,34.0,14.0,0.0,0.0,26.0,0.0,0.5,33.0,1.0,0.0,0.0,6.0,0.0,0.0,9.0
Kamal Hadden,Cornerback,Tennessee,SEC,73.0,196.0,,,,,,,23.0,3,0,0,1,1,1,0,Tennessee,7.0,1.0,0.0,13.0,1.0,0.0,19.0,Tennessee,2.5,2.0,0.0,5.0,,,,,,Tennessee,,,,,,,,,,,,11.0,3.0,1.0,33.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,2.0,1.0,0.0,23.0,0.0,3.5,42.0,1.0,0.0,0.0,13.0,0.0,2.0,17.0,,,,,,,
Daequan Hardy,Cornerback,Penn State,Big Ten,69.0,179.0,4.38,,42.5,126.0,,,23.0,4,0,1,1,1,1,0,Penn State,7.0,0.0,1.0,12.0,2.0,3.0,22.0,Penn State,18.0,1.0,0.0,18.0,,,,,,Penn State,,,,,,19.0,19.0,1.0,0.0,19.0,Penn State,17.0,2.0,0.0,34.0,15.5,68.0,16.0,2.0,248.0,14.0,22.0,2.0,0.0,28.0,,,,,,8.0,2.0,1.0,16.0,,,,,,,,,,2.0,1.0,0.5,9.0,0.0,0.5,13.0,6.0,0.0,1.0,11.0,1.0,3.0,15.0,2.0,1.0,1.0,8.0,0.0,1.0,10.0
Jaden Davis,Cornerback,Miami,ACC,,,,,,,,,23.0,4,0,1,1,1,1,0,Miami,4.0,1.0,1.0,29.0,0.0,3.0,39.0,Oklahoma,,,,,,,,,,Oklahoma,,,,,,,,,,,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,20.0,0.0,1.0,32.0,2.0,1.0,0.0,21.0,0.0,0.0,25.0,5.0,0.0,0.0,10.0,0.0,0.0,11.0
M.J. Devonshire,Cornerback,Pittsburgh,ACC,71.0,186.0,,,,,,,23.0,4,0,1,1,1,1,0,Pittsburgh,10.0,0.0,0.0,18.0,1.0,0.5,32.0,Pittsburgh,28.3,3.0,2.0,85.0,9.8,82.0,25.0,1.0,245.0,Pittsburgh,,,,,,,,,,,Kentucky,28.8,4.0,1.0,115.0,5.1,34.0,20.0,0.0,101.0,0.0,0.0,2.0,0.0,0.0,,,,,,13.0,1.0,0.0,13.0,,,,,,,,,,8.0,1.0,0.0,21.0,3.0,0.0,30.0,3.0,0.0,0.0,10.0,0.0,1.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Kalen King,Cornerback,Penn State,Big Ten,71.0,191.0,4.61,,37.0,122.0,,4.16,21.0,3,1,1,1,0,0,0,Penn State,2.0,0.0,0.0,20.0,0.0,1.5,29.0,Penn State,0.0,3.0,0.0,0.0,,,,,,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,0.0,21.0,0.0,3.0,27.0,5.0,0.0,0.0,15.0,0.0,1.0,21.0,,,,,,,
