name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_college,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Dae'Quan Wright,Tight End,Ole Miss,SEC,76.0,246,,,,,,,4,0,0,0,0,0,0,Ole Miss,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,64.0,39.0,5.0,635.0,16.3,Ole Miss,,,,35.0,26.0,4.0,361.0,13.9,,,,,,39.0,28.0,0.0,366.0,13.1,,,,,,,,,Virginia Tech,Virginia Tech,36.0,19.0,0.0,208.0,10.9,1.0,1.0,0.0
Oscar Delp,Tight End,Georgia,SEC,77.0,245,,,,,,,4,0,0,0,0,0,0,Georgia,,,,,,,,,36.0,20.0,1.0,261.0,13.1,Georgia,1.0,0.0,0.0,43.0,21.0,4.0,248.0,11.8,,,,,,41.0,24.0,3.0,284.0,11.8,,,,,,1.0,1.0,0.0,Georgia,Georgia,28.0,5.0,1.0,61.0,12.2,,,
Riley Nowakowski,Tight End,Indiana,Big Ten,74.0,250,4.66,,33.5,119.0,,,3,0,0,0,0,0,0,Indiana,,,,2.0,1.0,2.0,2.0,1.0,43.0,32.0,2.0,387.0,12.1,Wisconsin,,,,15.0,11.0,0.0,74.0,6.7,,,,,,23.0,7.0,1.0,57.0,8.1,,,,,,,,,Wisconsin,,,,,,,,,
Bauer Sharp,Tight End,LSU,SEC,77.0,249,4.63,20.0,35.0,120.0,,,2,0,0,0,0,0,0,LSU,2.0,2.0,0.0,,,,,,65.0,24.0,2.0,252.0,10.5,Oklahoma,1.0,0.0,0.0,43.0,42.0,2.0,324.0,7.7,2.0,0.0,0.0,-8.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,
Jaren Kanak,Tight End,Oklahoma,SEC,74.0,234,4.52,24.0,36.0,119.0,,,4,0,0,0,0,0,0,Oklahoma,1.0,1.0,0.0,,,,,,48.0,44.0,0.0,533.0,12.1,Oklahoma,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma,,,,,,0.0,0.0,1.0
Matthew Hibner,Tight End,SMU,American Athletic,76.0,251,4.57,28.0,37.0,116.0,,,4,0,0,0,0,0,0,SMU,,,,,,,,,80.0,31.0,4.0,436.0,14.1,SMU,1.0,1.0,0.0,80.0,24.0,4.0,368.0,15.3,,,,,,,,,,,,,,,,,,,,Michigan,10.0,2.0,0.0,15.0,7.5,0.0,0.0,1.0
R.J. Maryland,Tight End,SMU,American Athletic,76.0,236,,,,,,,2,0,0,0,0,0,0,SMU,,,,,,,,,49.0,27.0,2.0,322.0,11.9,SMU,,,,49.0,24.0,4.0,359.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake McRee,Tight End,USC,Pac-12,76.0,243,,22.0,,,,,2,0,0,0,0,0,0,USC,1.0,1.0,0.0,,,,,,64.0,30.0,4.0,450.0,15.0,USC,1.0,1.0,0.0,34.0,24.0,0.0,245.0,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Kacmarek,Tight End,Ohio State,Big Ten,77.0,261,4.74,,36.0,119.0,,,2,0,0,0,0,0,0,Ohio State,,,,,,,,,47.0,15.0,2.0,168.0,11.2,Ohio State,,,,32.0,8.0,0.0,86.0,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Dinkins,Tight End,Penn State,Big Ten,76.0,251,4.72,25.0,32.5,119.0,7.28,4.33,4,0,0,0,0,0,0,Penn State,,,,,,,,,40.0,14.0,2.0,167.0,11.9,Penn State,,,,23.0,14.0,2.0,122.0,8.7,,,,,,16.0,5.0,2.0,57.0,11.4,,,,,,,,,Penn State,Penn State,28.0,4.0,1.0,53.0,13.3,,,
Seydou Traore,Tight End,Mississippi State,SEC,76.0,235,,,,,,,2,0,0,0,0,0,0,Mississippi State,,,,,,,,,55.0,35.0,5.0,372.0,10.6,Mississippi State,1.0,0.0,0.0,32.0,34.0,1.0,361.0,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Villari,Tight End,Syracuse,ACC,76.0,245,,,,,,,4,0,0,0,0,0,0,Syracuse,,,,17.0,10.0,1.0,55.0,3.2,35.0,39.0,0.0,412.0,10.6,Syracuse,,,,21.0,6.0,0.0,57.0,9.5,12.0,7.0,1.0,29.0,2.4,37.0,20.0,3.0,180.0,9.0,55.0,38.0,2.0,326.0,5.9,3.0,0.0,0.0,Syracuse,Syracuse,22.0,1.0,0.0,22.0,22.0,,,
Miles Kitselman,Tight End,Tennessee,SEC,77.0,251,4.9,,34.5,116.0,,,4,0,0,0,0,0,0,Tennessee,,,,1.0,2.0,0.0,2.0,2.0,23.0,26.0,2.0,253.0,9.7,Tennessee,,,,31.0,22.0,4.0,301.0,13.7,2.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,Alabama,13.0,2.0,0.0,18.0,9.0,,,
Lance Mason,Tight End,Wisconsin,Big Ten,76.0,250,,,,,,,1,0,0,0,0,0,0,Wisconsin,,,,1.0,7.0,0.0,7.0,7.0,45.0,30.0,4.0,398.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Kattus,Tight End,Kentucky,SEC,76.0,247,,,,,,,4,0,0,0,0,0,0,Kentucky,,,,,,,,,34.0,17.0,2.0,195.0,11.5,Kentucky,,,,27.0,6.0,2.0,77.0,12.8,0.0,2.0,1.0,2.0,0.0,28.0,8.0,2.0,108.0,13.5,,,,,,,,,Kentucky,Kentucky,70.0,7.0,0.0,125.0,17.9,,,
Chamon Metayer,Tight End,Arizona State,Pac-12,76.0,255,,,,,,,3,0,0,0,0,0,0,Arizona State,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,27.0,38.0,4.0,375.0,9.9,Arizona State,,,,29.0,32.0,5.0,306.0,9.6,,,,,,35.0,23.0,5.0,258.0,11.2,1.0,27.0,0.0,27.0,27.0,,,,Cincinnati,,,,,,,,,
