name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Andre Dillard,Offensive Tackle,Washington State,Pac-12,77.0,315.0,4.96,24.0,29.0,118.0,7.44,4.4,23.0,0,0,0,0,0,0,0
Kaleb McGary,Offensive Tackle,Washington,Pac-12,79.0,317.0,5.05,23.0,33.5,111.0,7.66,4.58,24.0,0,0,0,0,0,0,0
Jawaan Taylor,Offensive Tackle,Florida,SEC,77.0,312.0,,24.0,,,,,21.0,0,0,0,0,0,0,0
Dalton Risner,Offensive Tackle,Kansas State,Big 12,77.0,312.0,5.3,23.0,28.5,110.0,7.69,4.52,24.0,0,0,0,0,0,0,0
Max Scharping,Offensive Tackle,Northern Illinois,Mid-American,78.0,327.0,,27.0,28.0,108.0,7.77,4.69,23.0,0,0,0,0,0,0,0
Bobby Evans,Offensive Tackle,Oklahoma,Big 12,76.0,312.0,5.2,22.0,,,,,22.0,0,0,0,0,0,0,0
Yodny Cajuste,Offensive Tackle,West Virginia,Big 12,77.0,312.0,,32.0,,,,,23.0,0,0,0,0,0,0,0
David Edwards,Offensive Tackle,Wisconsin,Big Ten,78.0,308.0,5.28,,25.5,99.0,7.69,4.77,22.0,0,0,0,0,0,0,0
Isaiah Prince,Offensive Tackle,Ohio State,Big Ten,79.0,305.0,5.09,23.0,27.0,115.0,7.9,5.02,22.0,0,0,0,0,0,0,0
Jackson Barton,Offensive Tackle,Utah,Pac-12,79.0,310.0,5.18,25.0,27.0,109.0,7.85,4.66,24.0,0,0,0,0,0,0,0
