name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Jonathon Brooks,Running Back,Texas,Big 12,72.0,216.0,,,,,,,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,73.0,25.0,1.0,286.0,11.4,187.0,67.0,10.0,1139.0,6.1,34.0,2.0,1.0,37.0,18.5,30.0,70.0,5.0,197.0,6.6,12.0,1.0,0.0,12.0,12.0,21.0,25.0,1.0,143.0,6.8,,,,,,,,,,,,,,1.0,0.0,0.0,,,
Trey Benson,Running Back,Florida State,ACC,72.0,216.0,4.39,,33.5,122.0,,,22.0,3,0,1,1,1,0,0,1.0,1.0,0.0,80.0,20.0,1.0,227.0,11.4,156.0,85.0,14.0,905.0,5.8,34.0,13.0,0.0,144.0,11.1,154.0,45.0,9.0,990.0,6.4,,,,,,6.0,9.0,1.0,22.0,3.7,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Blake Corum,Running Back,Michigan,Big Ten,68.0,205.0,4.53,27.0,35.5,,6.82,4.12,23.0,4,0,1,1,1,1,0,3.0,0.0,0.0,27.0,16.0,1.0,117.0,7.3,258.0,59.0,27.0,1245.0,4.8,41.0,11.0,1.0,80.0,7.3,247.0,61.0,18.0,1463.0,5.9,14.0,24.0,1.0,141.0,5.9,144.0,67.0,11.0,952.0,6.6,24.0,5.0,0.0,73.0,14.6,26.0,15.0,2.0,74.0,2.8,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
MarShawn Lloyd,Running Back,USC,Pac-12,69.0,220.0,4.46,25.0,36.0,118.0,,,23.0,3,0,0,1,1,1,0,4.0,3.0,0.0,54.0,13.0,0.0,232.0,17.8,116.0,56.0,9.0,820.0,7.1,43.0,18.0,2.0,176.0,9.8,111.0,45.0,9.0,572.0,5.2,25.0,3.0,0.0,44.0,14.7,64.0,40.0,1.0,228.0,3.6,,,,,,,,,,,3.0,1.0,0.0,3.0,2.0,0.0,,,
Jaylen Wright,Running Back,Tennessee,SEC,71.0,210.0,4.38,,38.0,134.0,,,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,20.0,22.0,0.0,141.0,6.4,137.0,82.0,4.0,1013.0,7.4,5.0,2.0,0.0,8.0,4.0,146.0,83.0,10.0,875.0,6.0,11.0,6.0,0.0,22.0,3.7,85.0,21.0,4.0,409.0,4.8,,,,,,,,,,,4.0,2.0,0.0,,,,,,
Bucky Irving,Running Back,Oregon,Pac-12,69.0,192.0,4.55,,29.5,115.0,,,22.0,3,0,1,1,1,0,0,2.0,1.0,0.0,42.0,56.0,2.0,413.0,7.4,186.0,56.0,11.0,1180.0,6.3,37.0,31.0,3.0,299.0,9.6,155.0,66.0,5.0,1052.0,6.8,36.0,8.0,0.0,73.0,9.1,133.0,41.0,4.0,699.0,5.3,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,,,
Will Shipley,Running Back,Clemson,ACC,71.0,206.0,,,,,,,22.0,3,0,1,1,1,0,0,3.0,2.0,0.0,36.0,31.0,2.0,244.0,7.9,167.0,33.0,5.0,827.0,5.0,26.0,38.0,0.0,242.0,6.4,210.0,53.0,15.0,1182.0,5.6,19.0,16.0,0.0,116.0,7.3,149.0,42.0,11.0,739.0,5.0,,,,,,,,,,,4.0,2.0,0.0,2.0,0.0,0.0,,,
Ray Davis,Running Back,Kentucky,SEC,68.0,211.0,,,,,,,24.0,4,0,0,1,1,1,1,2.0,0.0,0.0,58.0,33.0,7.0,323.0,9.8,199.0,75.0,14.0,1129.0,5.7,24.0,26.0,2.0,131.0,5.0,209.0,45.0,4.0,926.0,4.4,11.0,5.0,0.0,27.0,5.4,44.0,26.0,1.0,211.0,4.8,14.0,12.0,0.0,62.0,5.2,78.0,30.0,1.0,308.0,3.9,2.0,1.0,0.0,,,,2.0,1.0,0.0
Isaac Guerendo,Running Back,Louisville,ACC,72.0,221.0,4.33,,41.5,129.0,6.94,4.15,24.0,4,0,0,1,1,1,1,2.0,0.0,0.0,25.0,22.0,0.0,234.0,10.6,132.0,73.0,11.0,810.0,6.1,27.0,17.0,1.0,115.0,6.8,65.0,89.0,5.0,390.0,6.0,6.0,2.0,0.0,6.0,3.0,23.0,82.0,1.0,160.0,7.0,,,,,,11.0,13.0,0.0,36.0,3.3,2.0,1.0,0.0,,,,,,
Braelon Allen,Running Back,Wisconsin,Big Ten,73.0,235.0,,26.0,32.0,117.0,,,20.0,3,1,1,0,0,0,0,4.0,2.0,0.0,24.0,28.0,0.0,131.0,4.7,181.0,52.0,12.0,984.0,5.4,39.0,13.0,0.0,104.0,8.0,229.0,96.0,11.0,1237.0,5.4,16.0,8.0,0.0,39.0,4.9,186.0,71.0,12.0,1268.0,6.8,,,,,,,,,,,1.0,1.0,0.0,4.0,2.0,0.0,,,
