name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y2_college,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Kenneth Murray,Inside Linebacker,Oklahoma,Big 12,75.0,241.0,4.52,21.0,38.0,129.0,,,21.0,3,1,1,1,0,0,0,Oklahoma,4.0,5.0,4.0,69.0,0.0,17.0,102.0,,,,Oklahoma,,,,,Oklahoma,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,4.0,4.5,71.0,0.0,12.5,155.0,0.0,3.0,1.0,39.0,0.0,7.5,72.0,0.0,0.0,1.0,,,,,,,,,,
Patrick Queen,Inside Linebacker,LSU,SEC,72.0,229.0,4.5,18.0,35.0,125.0,,,21.0,3,0,1,1,0,0,0,LSU,2.0,1.0,3.0,37.0,0.0,12.0,85.0,,,,LSU,,,,,LSU,,16.0,1.0,0.0,16.0,,,,,,,,,,,,0.0,1.0,1.0,20.0,0.0,5.0,40.0,0.0,0.0,0.0,2.0,0.0,0.5,6.0,,,,,,,,,,,,,
Willie Gay Jr.,Inside Linebacker,Mississippi State,SEC,73.0,243.0,4.46,21.0,39.5,136.0,7.08,4.3,22.0,3,0,1,1,1,0,0,Mississippi State,1.0,1.0,0.0,7.0,1.0,2.5,17.0,1.0,0.0,2.0,Mississippi State,24.5,2.0,0.0,49.0,Mississippi State,,52.0,1.0,1.0,52.0,,,,,,,,,0.0,0.0,1.0,1.0,4.0,4.5,18.0,0.0,5.0,44.0,2.0,1.0,1.0,8.0,0.0,2.0,23.0,,,,,,,,,,,,,
Logan Wilson,Inside Linebacker,Wyoming,Mountain West,74.0,241.0,4.63,21.0,32.0,121.0,7.07,4.27,24.0,4,0,0,1,1,1,1,Wyoming,7.0,2.0,1.0,62.0,1.0,8.5,105.0,,,,Wyoming,10.5,2.0,0.0,21.0,Wyoming,Wyoming,11.8,4.0,1.0,47.0,3.0,1.0,0.0,3.0,27.7,3.0,1.0,83.0,,,,2.0,1.0,2.0,56.0,0.0,10.5,99.0,1.0,0.0,1.0,74.0,0.0,8.0,108.0,,,,0.0,0.0,3.0,4.0,0.0,3.0,55.0,1.0,7.5,94.0
Jacob Phillips,Inside Linebacker,LSU,SEC,75.0,229.0,4.66,,39.0,126.0,7.38,4.33,21.0,3,1,1,1,0,0,0,LSU,1.0,3.0,1.0,56.0,0.0,7.5,113.0,,,,LSU,45.0,1.0,1.0,45.0,LSU,,,,,,,,,,,,,,,,,3.0,5.0,1.0,29.0,1.0,5.5,83.0,1.0,1.0,0.0,8.0,0.0,0.5,18.0,,,,,,,,,,,,,
Malik Harrison,Inside Linebacker,Ohio State,Big Ten,75.0,247.0,4.66,,36.0,122.0,6.83,4.32,22.0,4,1,1,1,1,0,0,Ohio State,4.0,1.0,4.5,49.0,0.0,16.5,75.0,0.0,0.0,2.0,Ohio State,13.0,1.0,0.0,13.0,Ohio State,Ohio State,,,,,,,,,,,,,,,,4.0,3.0,2.5,55.0,0.0,8.5,81.0,1.0,0.0,2.0,22.0,0.0,3.0,37.0,,,,,,,0.0,0.0,1.0,10.0,0.0,1.0,13.0
Mykal Walker,Inside Linebacker,Fresno State,Mountain West,75.0,230.0,4.65,20.0,33.0,122.0,7.09,4.25,23.0,2,0,0,0,1,1,0,Fresno State,4.0,3.0,2.5,56.0,0.0,9.0,96.0,0.0,0.0,1.0,Fresno State,38.0,1.0,1.0,38.0,,,,,,,,,,,,,,,0.0,0.0,1.0,6.0,5.0,4.0,38.0,1.0,13.5,86.0,,,,,,,,,,,,,,,,,,,,
Troy Dye,Inside Linebacker,Oregon,Pac-12,75.0,231.0,,,,,,,23.0,4,0,1,1,1,1,0,Oregon,4.0,4.0,2.5,52.0,0.0,9.5,84.0,,,,Oregon,0.0,1.0,0.0,0.0,Oregon,Oregon,2.0,2.0,0.0,4.0,5.0,1.0,0.0,5.0,4.0,1.0,0.0,4.0,,,,5.0,4.0,1.0,57.0,0.0,5.0,101.0,4.0,1.0,4.0,62.0,0.0,14.0,107.0,,,,,,,1.0,1.0,7.5,57.0,0.0,13.0,91.0
Shaquille Quarterman,Inside Linebacker,Miami,ACC,73.0,234.0,4.74,23.0,31.0,120.0,,,22.0,4,1,1,1,1,0,0,Miami,5.0,7.0,1.0,51.0,0.0,15.5,107.0,0.0,0.0,2.0,Miami,20.0,1.0,0.0,20.0,Miami,Miami,,,,,,,,,,,,,0.0,0.0,1.0,2.0,6.0,6.0,45.0,0.0,14.0,82.0,3.0,4.0,2.5,41.0,0.0,7.0,78.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0,3.0,43.0,0.0,10.0,84.0
Kamal Martin,Inside Linebacker,Minnesota,Big Ten,75.0,240.0,,,,,,,22.0,4,1,1,1,1,0,0,Minnesota,1.0,0.0,1.0,36.0,0.0,2.5,66.0,,,,Minnesota,,,,,Minnesota,Minnesota,7.0,2.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,2.0,0.0,0.0,32.0,0.0,3.5,56.0,1.0,1.0,2.0,29.0,0.0,6.5,42.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.5,7.0,0.0,0.5,10.0
