name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Darnell Wright,Offensive Tackle,Tennessee,SEC,77.0,333.0,5.01,29.0,114.0,,,22.0,0,0,0,0,0,0,0
Anton Harrison,Offensive Tackle,Oklahoma,Big 12,76.0,315.0,4.98,28.5,105.0,,,21.0,0,0,0,0,0,0,0
Tyler Steen,Offensive Tackle,Alabama,SEC,78.0,321.0,,29.5,109.0,,4.59,23.0,0,0,0,0,0,0,0
Nick Saldiveri,Offensive Tackle,Old Dominion,Sun Belt,78.0,318.0,5.21,31.0,111.0,,4.69,23.0,0,0,0,0,0,0,0
Blake Freeland,Offensive Tackle,BYU,FBS Independents,80.0,302.0,4.98,37.0,120.0,7.46,4.71,22.0,0,0,0,0,0,0,0
Carter Warren,Offensive Tackle,Pittsburgh,ACC,78.0,311.0,,,,,,24.0,0,0,0,0,0,0,0
Warren McClendon,Offensive Tackle,Georgia,SEC,76.0,306.0,,,,,,22.0,0,0,0,0,0,0,0
Jaelyn Duncan,Offensive Tackle,Maryland,Big Ten,78.0,306.0,5.1,31.5,113.0,,,23.0,0,0,0,0,0,0,0
