name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Zack Baun,Outside Linebacker,Wisconsin,Big Ten,74.0,238.0,4.65,24.0,32.5,115.0,7.0,4.31,23.0,4,0,1,1,1,1,0,2.0,10.0,12.5,53.0,1.0,19.5,76.0,,,,7.0,1.0,0.0,7.0,34.0,1.0,1.0,34.0,,,,,,,,,2020,0.0,0.0,1.0,2.0,7.0,2.5,36.0,0.0,7.5,59.0,,,,,,,,,,,,,,0.0,0.0,0.0,9.0,0.0,3.5,15.0
Terrell Lewis,Outside Linebacker,Alabama,SEC,77.0,262.0,,,37.0,124.0,,,22.0,4,1,1,1,1,0,0,2.0,15.0,6.0,21.0,0.0,11.5,31.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,1.0,0.0,1.0,10.0,0.0,2.0,16.0,,,,,,,0.0,0.0,1.0,7.0,0.0,1.0,11.0
Anfernee Jennings,Outside Linebacker,Alabama,SEC,74.0,256.0,,,,,,,23.0,4,0,1,1,1,1,0,5.0,8.0,8.0,45.0,0.0,12.5,83.0,,,,8.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,,,,,,,,,2020,0.0,0.0,2.0,10.0,5.0,4.5,22.0,1.0,12.0,42.0,2.0,4.0,1.0,20.0,0.0,6.0,41.0,,,,,,,0.0,3.0,0.0,7.0,0.0,2.0,19.0
Jonathan Greenard,Outside Linebacker,Florida,SEC,75.0,263.0,4.87,22.0,30.5,113.0,7.13,4.34,23.0,4,0,1,1,1,1,0,4.0,8.0,10.0,26.0,1.0,15.0,52.0,0.0,0.0,1.0,,,,,16.0,1.0,0.0,16.0,,,,,42.0,1.0,0.0,42.0,2020,,,,,,,,,,,1.0,8.0,7.0,29.0,0.0,15.5,48.0,,,,,,,2.0,3.0,2.5,8.0,0.0,7.0,22.0
Alex Highsmith,Outside Linebacker,Charlotte,Conference USA,75.0,248.0,4.7,,33.0,125.0,7.32,4.31,23.0,4,0,1,1,1,1,0,2.0,7.0,10.5,37.0,0.0,16.5,63.0,,,,,,,,,,,,,,,,,,,,2020,,,,1.0,4.0,3.0,37.0,0.0,17.5,54.0,0.0,7.0,2.0,23.0,0.0,5.0,33.0,0.0,0.0,1.0,,,,1.0,1.0,1.0,11.0,0.0,2.0,17.0
Davion Taylor,Outside Linebacker,Colorado,Pac-12,73.0,228.0,4.49,21.0,35.0,127.0,6.96,4.26,22.0,2,0,0,1,1,0,0,4.0,1.0,1.0,55.0,0.0,8.0,64.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2020,0.0,0.0,2.0,2.0,4.0,1.0,43.0,1.0,10.0,57.0,,,,,,,,,,,,,,,,,,,,
Akeem Davis-Gaither,Outside Linebacker,App State,Sun Belt,74.0,224.0,,21.0,,,,,22.0,4,1,1,1,1,0,0,8.0,6.0,5.0,49.0,0.0,14.5,101.0,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,2020,,,,7.0,3.0,1.5,46.0,0.0,10.0,103.0,1.0,0.0,0.0,24.0,0.0,1.0,33.0,,,,,,,1.0,0.0,1.5,12.0,0.0,2.5,16.0
Trevis Gipson,Outside Linebacker,Tulsa,American Athletic,75.0,261.0,,25.0,,,,,23.0,4,0,1,1,1,1,0,0.0,6.0,8.0,25.0,0.0,15.0,49.0,,,,,,,,,,,,,,,,,,,,2020,,,,1.0,3.0,4.0,29.0,0.0,9.0,46.0,1.0,0.0,0.0,4.0,0.0,0.5,11.0,,,,,,,0.0,0.0,1.0,5.0,0.0,1.0,8.0
Khaleke Hudson,Outside Linebacker,Michigan,Big Ten,71.0,224.0,4.56,30.0,33.0,120.0,,,22.0,4,1,1,1,1,0,0,3.0,3.0,1.5,45.0,0.0,3.0,101.0,,,,,,,,,,,,11.0,2.0,0.0,22.0,,,,,2020,0.0,0.0,1.0,1.0,3.0,2.0,23.0,0.0,5.0,44.0,9.0,4.0,7.5,47.0,0.0,16.0,78.0,,,,,,,1.0,0.0,0.0,5.0,0.0,1.0,8.0
Justin Strnad,Outside Linebacker,Wake Forest,ACC,75.0,238.0,4.74,,29.0,113.0,,4.49,24.0,4,0,0,1,1,1,1,4.0,1.0,2.0,38.0,0.0,5.5,69.0,,,,,,,,0.0,1.0,0.0,0.0,14.7,3.0,0.0,44.0,,,,,2020,,,,5.0,2.0,1.5,65.0,0.0,8.5,105.0,1.0,1.0,4.5,32.0,0.0,8.5,51.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,12.0,0.0,0.0,19.0
Cam Brown,Outside Linebacker,Penn State,Big Ten,77.0,233.0,,,,,,,22.0,3,0,1,1,1,0,0,4.0,4.0,2.0,29.0,0.0,5.5,72.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,2020,,,,6.0,5.0,2.0,41.0,0.0,6.0,63.0,1.0,3.0,0.5,16.0,0.0,1.5,31.0,,,,,,,,,,,,,
Carter Coughlin,Outside Linebacker,Minnesota,Big Ten,75.0,236.0,4.57,,36.0,126.0,,,23.0,4,0,1,1,1,1,0,4.0,2.0,4.5,29.0,0.0,9.5,49.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2020,,,,0.0,1.0,9.0,32.0,0.0,14.0,42.0,0.0,1.0,6.5,29.0,0.0,11.5,37.0,,,,,,,0.0,0.0,2.0,14.0,0.0,4.0,24.0
Chapelle Russell,Outside Linebacker,Temple,American Athletic,74.0,236.0,4.69,21.0,35.0,121.0,7.38,4.41,23.0,4,0,1,1,1,1,0,3.0,2.0,0.0,48.0,0.0,8.5,72.0,,,,,,,,,,,,,,,,,,,,2020,0.0,0.0,4.0,3.0,0.0,1.5,40.0,0.0,5.0,70.0,1.0,0.0,0.5,45.0,0.0,4.0,70.0,,,,0.0,0.0,1.0,2.0,0.0,1.0,20.0,0.0,2.0,25.0
Zaven Collins,Outside Linebacker,Tulsa,American Athletic,77.0,259.0,4.67,19.0,35.0,122.0,,4.36,22.0,3,0,1,1,1,0,0,2.0,2.0,4.0,36.0,2.0,11.5,54.0,0.0,0.0,1.0,,,,,37.5,4.0,2.0,150.0,0.0,1.0,0.0,0.0,,,,,2021,1.0,0.0,1.0,3.0,1.0,2.0,51.0,0.0,8.0,97.0,3.0,3.0,1.5,42.0,0.0,9.5,85.0,0.0,0.0,1.0,,,,,,,,,,
Odafe Oweh,Outside Linebacker,Penn State,Big Ten,77.0,257.0,,,,,,,22.0,3,0,1,1,1,0,0,1.0,1.0,0.0,20.0,0.0,6.5,38.0,,,,,,,,,,,,,,,,,,,,2021,,,,1.0,1.0,5.0,13.0,0.0,5.0,21.0,0.0,1.0,2.0,5.0,0.0,2.0,5.0,,,,,,,,,,,,,
Joe Tryon,Outside Linebacker,Washington,Pac-12,77.0,259.0,4.69,22.0,35.0,116.0,7.18,4.36,22.0,3,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,1.0,1.0,8.0,27.0,0.0,12.5,41.0,1.0,0.0,1.0,8.0,0.0,2.0,17.0,,,,,,,,,,,,,
Azeez Ojulari,Outside Linebacker,Georgia,SEC,74.0,249.0,4.63,26.0,30.0,127.0,7.27,4.34,21.0,3,0,1,1,0,0,0,2.0,4.0,9.5,22.0,0.0,12.5,31.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2021,,,,0.0,0.0,5.5,15.0,0.0,5.0,35.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,,,,,,,,,,,,,
Malcolm Koonce,Outside Linebacker,Buffalo,Mid-American,74.0,249.0,,,,,,,23.0,4,0,1,1,1,1,0,2.0,4.0,5.0,16.0,0.0,6.5,30.0,,,,,,,,,,,,,,,,,,,,2021,,,,0.0,4.0,9.0,20.0,0.0,11.0,33.0,1.0,3.0,3.0,16.0,0.0,4.0,30.0,,,,,,,0.0,3.0,1.0,9.0,0.0,1.0,16.0
Baron Browning,Outside Linebacker,Ohio State,Big Ten,75.0,245.0,4.58,23.0,40.0,130.0,6.78,4.23,22.0,4,1,1,1,1,0,0,2.0,0.0,1.0,20.0,0.0,3.0,29.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,2021,,,,1.0,2.0,5.0,26.0,0.0,11.0,43.0,0.0,0.0,1.0,11.0,0.0,3.5,22.0,,,,,,,0.0,0.0,0.0,7.0,0.0,1.5,14.0
Chris Rumph II,Outside Linebacker,Duke,ACC,75.0,244.0,,,,,,,22.0,3,0,1,1,1,0,0,1.0,3.0,8.0,26.0,0.0,11.5,51.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2021,,,,3.0,11.0,6.5,19.0,0.0,13.5,47.0,1.0,2.0,3.0,12.0,0.0,8.0,25.0,0.0,0.0,1.0,,,,,,,,,,
Quincy Roche,Outside Linebacker,Miami,ACC,75.0,245.0,,23.0,32.5,119.0,,,23.0,4,0,1,1,1,1,0,1.0,5.0,4.5,27.0,0.0,14.5,45.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,2021,0.0,0.0,2.0,6.0,4.0,13.0,36.0,0.0,19.0,49.0,1.0,3.0,6.0,40.0,0.0,9.0,57.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0,26.0,0.0,11.5,31.0
Patrick Johnson,Outside Linebacker,Tulane,American Athletic,74.0,240.0,4.59,16.0,35.0,119.0,6.97,4.41,23.0,4,0,1,1,1,1,0,2.0,3.0,9.0,26.0,0.0,13.5,39.0,,,,,,,,,,,,,,,,,,,,2021,,,,4.0,1.0,4.0,24.0,0.0,8.5,35.0,5.0,2.0,10.5,34.0,0.0,15.5,50.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,7.0,0.0,1.0,12.0
William Bradley-King,Outside Linebacker,Baylor,Big 12,76.0,252.0,4.74,,34.5,119.0,7.14,4.26,23.0,4,0,1,1,1,1,0,4.0,4.0,3.5,20.0,0.0,5.5,31.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2021,0.0,0.0,2.0,0.0,6.0,8.5,31.0,0.0,13.5,49.0,1.0,1.0,6.0,12.0,0.0,9.5,33.0,0.0,0.0,1.0,,,,1.0,0.0,1.0,1.0,0.0,1.0,6.0
Grant Stuard,Outside Linebacker,Houston,American Athletic,72.0,225.0,,,,,,,22.0,4,0,1,1,1,0,0,0.0,1.0,1.0,35.0,1.0,5.0,61.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,2021,,,,4.0,4.0,1.0,62.0,0.0,9.5,97.0,0.0,0.0,0.0,18.0,0.0,2.5,30.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Boye Mafe,Outside Linebacker,Minnesota,Big Ten,76.0,261.0,4.53,,38.0,125.0,,,23.0,4,0,1,1,1,1,0,0.0,3.0,7.0,26.0,0.0,10.0,34.0,,,,,,,,,,,,,,,,,,,,2022,,,,2.0,1.0,4.5,18.0,0.0,5.5,27.0,0.0,1.0,3.0,8.0,0.0,3.5,14.0,,,,,,,1.0,1.0,0.5,7.0,0.0,0.5,12.0
David Ojabo,Outside Linebacker,Michigan,Big Ten,76.0,250.0,4.55,,35.0,122.0,,4.45,22.0,2,0,0,0,1,0,0,3.0,7.0,11.0,24.0,0.0,12.0,35.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2022,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
Sam Williams,Outside Linebacker,Ole Miss,SEC,76.0,261.0,4.46,,32.5,123.0,,,23.0,3,0,0,1,1,1,0,1.0,8.0,12.5,31.0,0.0,16.0,57.0,0.0,0.0,1.0,,,,,,,,,4.0,1.0,0.0,4.0,,,,,2022,,,,0.0,3.0,4.0,24.0,0.0,8.0,39.0,0.0,5.0,6.0,21.0,0.0,9.5,38.0,,,,,,,,,,,,,
Drake Jackson,Outside Linebacker,USC,Pac-12,75.0,254.0,,,36.5,127.0,,,21.0,3,1,1,1,0,0,0,1.0,1.0,5.0,23.0,0.0,8.0,37.0,0.0,0.0,1.0,10.0,1.0,0.0,10.0,9.0,1.0,0.0,9.0,,,,,,,,,2022,,,,0.0,0.0,2.0,8.0,0.0,5.5,20.0,3.0,0.0,5.5,26.0,0.0,11.5,46.0,,,,,,,,,,,,,
Nik Bonitto,Outside Linebacker,Oklahoma,Big 12,75.0,248.0,4.54,,35.5,120.0,7.07,4.23,22.0,4,0,1,1,1,0,0,1.0,9.0,7.0,23.0,0.0,15.0,39.0,0.0,0.0,3.0,,,,,,,,,0.0,1.0,0.0,0.0,,,,,2022,,,,2.0,11.0,9.0,19.0,0.0,11.5,33.0,4.0,5.0,3.5,25.0,0.0,6.5,43.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0
DeAngelo Malone,Outside Linebacker,Western Kentucky,Conference USA,75.0,243.0,,23.0,,,,,23.0,4,0,1,1,1,1,0,4.0,7.0,9.0,44.0,0.0,17.5,94.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,2022,,,,1.0,9.0,6.0,45.0,0.0,11.0,71.0,0.0,16.0,11.0,55.0,1.0,20.5,99.0,0.0,0.0,1.0,,,,1.0,8.0,5.0,30.0,0.0,8.0,59.0
Dominique Robinson,Outside Linebacker,Miami (OH),Mid-American,77.0,253.0,4.72,25.0,41.0,121.0,,,24.0,2,0,0,0,0,1,1,0.0,4.0,4.5,13.0,0.0,8.5,28.0,,,,,,,,,,,,,,,,,,,,2022,,,,1.0,0.0,2.0,5.0,0.0,2.5,9.0,,,,,,,,,,,,,,,,,,,,
Kingsley Enagbare,Outside Linebacker,South Carolina,SEC,76.0,258.0,4.87,,36.5,117.0,,,22.0,4,1,1,1,1,0,0,2.0,11.0,4.5,29.0,0.0,7.0,44.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2022,,,,0.0,2.0,6.0,16.0,0.0,7.0,30.0,0.0,3.0,3.5,16.0,0.0,7.0,27.0,,,,,,,2.0,3.0,1.0,12.0,0.0,3.0,20.0
Amare Barno,Outside Linebacker,Virginia Tech,ACC,77.0,246.0,,,,,,,23.0,2,0,0,0,1,1,0,1.0,10.0,3.5,20.0,0.0,5.5,35.0,,,,,,,,,,,,,,,,,,,,2022,0.0,0.0,1.0,2.0,3.0,6.5,28.0,0.0,16.0,43.0,,,,,,,,,,,,,,,,,,,,
James Houston,Outside Linebacker,Jackson State,SWAC,72.0,244.0,,,,,,,23.0,4,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,0.0,0.0,1.0,20.0,0.0,3.5,37.0,0.0,2.0,3.5,21.0,0.0,6.0,38.0,,,,,,,0.0,0.0,0.0,10.0,0.0,2.0,26.0
Cameron Goode,Outside Linebacker,California,Pac-12,76.0,240.0,,,,,,,24.0,4,0,0,1,1,1,1,4.0,5.0,7.0,29.0,0.0,8.5,45.0,0.0,0.0,1.0,,,,,,,,,,,,,38.0,1.0,1.0,38.0,2022,0.0,0.0,1.0,1.0,2.0,3.0,12.0,0.0,8.0,19.0,1.0,5.0,9.5,34.0,0.0,14.0,59.0,,,,,,,0.0,0.0,0.0,3.0,1.0,0.0,3.0
Mark Robinson,Outside Linebacker,Ole Miss,SEC,71.0,235.0,,,,,,,23.0,1,0,0,0,0,1,0,0.0,3.0,3.0,42.0,0.0,8.5,91.0,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Luketa,Outside Linebacker,Penn State,Big Ten,75.0,253.0,4.89,,37.5,114.0,,,23.0,4,0,1,1,1,1,0,0.0,5.0,0.5,34.0,1.0,8.5,61.0,,,,,,,,16.0,1.0,1.0,16.0,,,,,,,,,2022,0.0,0.0,1.0,2.0,0.0,0.0,31.0,0.0,2.5,59.0,4.0,0.0,0.0,15.0,0.0,0.5,24.0,,,,,,,0.0,0.0,0.0,5.0,0.0,0.0,7.0
