name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Roquan Smith,Outside Linebacker,Georgia,SEC,73.0,236.0,4.51,,,,,,21.0,2,0,1,1,0,0,0,2.0,3.0,6.5,77.0,0.0,12.5,125.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,2018,0.0,0.0,1.0,1.0,1.0,0.0,52.0,0.0,5.0,95.0,,,,,,,,,,,,,,,,,,,,
Tremaine Edmunds,Outside Linebacker,Virginia Tech,ACC,77.0,253.0,4.54,19.0,,117.0,,,20.0,2,1,1,0,0,0,0,2.0,4.0,5.5,60.0,0.0,14.0,109.0,,,,9.0,1.0,0.0,9.0,,,,,,,,,,,,,2018,0.0,0.0,1.0,3.0,9.0,4.5,56.0,0.0,18.5,106.0,,,,,,,,,,,,,,,,,,,,
Harold Landry,Outside Linebacker,Boston College,ACC,74.0,252.0,4.64,24.0,36.0,119.0,6.88,4.19,22.0,2,0,0,1,1,0,0,2.0,2.0,5.0,22.0,0.0,8.5,38.0,,,,20.0,1.0,0.0,20.0,,,,,,,,,,,,,2018,,,,4.0,6.0,16.5,34.0,0.0,22.0,50.0,,,,,,,,,,,,,,,,,,,,
Uchenna Nwosu,Outside Linebacker,USC,Pac-12,74.0,251.0,4.65,20.0,32.0,119.0,,,21.0,2,0,1,1,0,0,0,13.0,9.0,9.5,47.0,0.0,11.5,75.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,2018,,,,5.0,2.0,3.0,28.0,0.0,7.5,53.0,,,,,,,,,,,,,,,,,,,,
Lorenzo Carter,Outside Linebacker,Georgia,SEC,77.0,250.0,4.5,,36.0,130.0,,,22.0,2,0,0,1,1,0,0,0.0,4.0,4.5,28.0,0.0,7.5,58.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,2018,0.0,0.0,2.0,0.0,1.0,5.0,23.0,0.0,6.0,44.0,,,,,,,,,,,,,,,,,,,,
Jerome Baker,Outside Linebacker,Ohio State,Big Ten,73.0,229.0,4.53,22.0,36.5,126.0,,,21.0,2,0,1,1,0,0,0,3.0,2.0,3.5,42.0,0.0,8.0,72.0,0.0,0.0,2.0,45.0,2.0,1.0,90.0,,,,,,,,,,,,,2018,0.0,0.0,1.0,0.0,0.0,3.5,45.0,1.0,9.5,83.0,,,,,,,,,,,,,,,,,,,,
Malik Jefferson,Outside Linebacker,Texas,Big 12,74.0,236.0,4.52,27.0,36.0,125.0,,,21.0,2,0,1,1,0,0,0,0.0,5.0,4.0,79.0,0.0,10.0,110.0,,,,,,,,,,,,,,,,,,,,2018,,,,2.0,3.0,5.5,43.0,0.0,8.5,59.0,,,,,,,,,,,,,,,,,,,,
Oren Burks,Outside Linebacker,Vanderbilt,SEC,75.0,233.0,4.59,18.0,39.5,131.0,6.82,4.15,23.0,3,0,0,1,1,1,0,3.0,1.0,1.0,45.0,0.0,7.0,82.0,0.0,0.0,1.0,59.0,1.0,0.0,59.0,9.0,1.0,0.0,9.0,10.3,3.0,1.0,31.0,,,,,2018,,,,6.0,5.0,3.5,40.0,0.0,6.5,59.0,,,,,,,,,,,,,,,,,,,,
Dorian O'Daniel,Outside Linebacker,Clemson,ACC,73.0,223.0,,,,,,,24.0,2,0,0,0,0,1,1,5.0,3.0,5.0,51.0,2.0,11.5,88.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,33.0,2.0,2.0,66.0,,,,,,,,,2018,,,,1.0,3.0,2.5,37.0,0.0,10.0,54.0,,,,,,,,,,,,,,,,,,,,
Joel Iyiegbuniwe,Outside Linebacker,Western Kentucky,Conference USA,73.0,230.0,4.6,19.0,35.0,117.0,7.06,4.28,22.0,2,0,0,1,1,0,0,1.0,2.0,2.0,54.0,0.0,11.5,117.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2018,,,,3.0,5.0,3.5,39.0,0.0,10.0,64.0,,,,,,,,,,,,,,,,,,,,
Marquis Haynes,Outside Linebacker,Ole Miss,SEC,74.0,235.0,4.67,23.0,32.0,123.0,7.14,4.45,24.0,2,0,0,0,0,1,1,0.0,5.0,7.5,27.0,0.0,11.0,45.0,,,,17.0,1.0,0.0,17.0,,,,,,,,,,,,,2018,0.0,0.0,1.0,3.0,8.0,7.0,29.0,0.0,11.0,53.0,,,,,,,,,,,,,,,,,,,,
Shaquem Griffin,Outside Linebacker,UCF,American Athletic,72.0,227.0,4.38,20.0,,117.0,,,23.0,2,0,0,0,1,1,0,3.0,9.0,7.0,43.0,0.0,13.5,74.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,22.0,1.0,0.0,22.0,,,,,,,,,2018,0.0,0.0,2.0,6.0,2.0,10.5,54.0,0.0,18.0,86.0,,,,,,,,,,,,,,,,,,,,
Christian Sam,Outside Linebacker,Arizona State,Pac-12,73.0,244.0,4.75,28.0,32.0,114.0,7.03,4.25,22.0,4,1,1,1,1,0,0,1.0,1.0,3.0,87.0,0.0,9.5,127.0,,,,,,,,11.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
Jake Martin,Outside Linebacker,Temple,American Athletic,74.0,236.0,,,,,,,22.0,2,0,0,1,1,0,0,0.0,2.0,8.0,26.0,0.0,11.5,44.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,2018,,,,2.0,1.0,2.5,10.0,0.0,2.5,18.0,,,,,,,,,,,,,,,,,,,,
Chris Covington,Outside Linebacker,Indiana,Big Ten,74.0,245.0,4.78,23.0,,,,,22.0,2,0,0,1,1,0,0,5.0,5.0,3.0,50.0,0.0,12.0,85.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2018,,,,0.0,1.0,2.0,19.0,0.0,3.0,29.0,,,,,,,,,,,,,,,,,,,,
Peter Kalambayi,Outside Linebacker,Stanford,Pac-12,75.0,252.0,4.57,19.0,34.0,121.0,7.13,4.36,23.0,4,0,1,1,1,1,0,1.0,5.0,11.0,33.0,0.0,6.5,59.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,2018,,,,2.0,5.0,3.5,31.0,0.0,6.0,48.0,,,,,,,,,,,,,,,,,,,,
Keishawn Bierria,Outside Linebacker,Washington,Pac-12,72.0,230.0,4.79,21.0,30.5,117.0,7.26,,23.0,2,0,0,0,1,1,0,2.0,0.0,1.0,41.0,0.0,4.0,60.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,2018,0.0,0.0,5.0,2.0,1.0,2.0,41.0,1.0,5.0,68.0,,,,,,,,,,,,,,,,,,,,
Leon Jacobs,Outside Linebacker,Wisconsin,Big Ten,73.0,246.0,4.48,26.0,34.5,122.0,7.14,4.44,22.0,2,0,0,1,1,0,0,3.0,8.0,3.5,35.0,0.0,10.0,60.0,0.0,0.0,2.0,25.0,1.0,0.0,25.0,2.5,2.0,0.0,5.0,,,,,,,,,2018,,,,0.0,0.0,1.0,24.0,0.0,1.0,37.0,,,,,,,,,,,,,,,,,,,,
Travin Howard,Outside Linebacker,TCU,Big 12,71.0,211.0,,,,,,,22.0,3,0,1,1,1,0,0,7.0,2.0,1.0,52.0,1.0,6.5,95.0,,,,5.0,1.0,0.0,5.0,19.0,1.0,1.0,19.0,4.0,1.0,0.0,4.0,,,,,2018,0.0,0.0,1.0,2.0,1.0,1.5,72.0,0.0,3.0,130.0,,,,,,,,,,,,,,,,,,,,
Josh Allen,Outside Linebacker,Kentucky,SEC,77.0,262.0,4.63,28.0,,118.0,7.15,4.23,22.0,3,0,1,1,1,0,0,4.0,7.0,17.0,56.0,0.0,20.5,88.0,0.0,0.0,2.0,14.0,1.0,0.0,14.0,,,,,,,,,,,,,2019,,,,3.0,3.0,7.0,32.0,0.0,10.5,66.0,0.0,3.0,7.0,32.0,0.0,8.5,62.0,,,,,,,,,,,,,
Brian Burns,Outside Linebacker,Florida State,ACC,77.0,249.0,4.53,,36.0,129.0,7.01,,21.0,3,1,1,1,0,0,0,3.0,8.0,10.0,31.0,0.0,15.5,53.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2019,0.0,0.0,1.0,4.0,5.0,4.5,25.0,0.0,13.5,47.0,0.0,1.0,8.5,14.0,0.0,9.5,23.0,,,,,,,,,,,,,
Ben Banogu,Outside Linebacker,TCU,Big 12,76.0,250.0,4.62,23.0,40.0,134.0,7.02,4.27,23.0,2,0,0,0,1,1,0,0.0,8.0,8.5,41.0,1.0,17.0,52.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2019,,,,1.0,7.0,8.5,29.0,0.0,16.5,47.0,,,,,,,,,,,,,,,,,,,,
Germaine Pratt,Outside Linebacker,NC State,ACC,75.0,240.0,4.57,24.0,32.5,116.0,,,23.0,4,0,1,1,1,1,0,3.0,7.0,6.0,54.0,0.0,10.0,104.0,0.0,0.0,1.0,49.0,2.0,1.0,98.0,,,,,,,,,4.0,1.0,0.0,4.0,2019,0.0,0.0,1.0,2.0,1.0,0.0,33.0,2.0,5.5,69.0,,,,,,,,,,,,,,,,,,,,
Sione Takitaki,Outside Linebacker,BYU,FBS Independents,73.0,238.0,4.63,24.0,37.0,125.0,7.21,4.28,24.0,2,0,0,0,0,1,1,3.0,3.0,2.0,61.0,0.0,7.0,101.0,,,,,,,,,,,,,,,,,,,,2019,,,,2.0,4.0,5.0,43.0,0.0,12.5,79.0,,,,,,,,,,,,,,,,,,,,
Cody Barton,Outside Linebacker,Utah,Pac-12,75.0,237.0,4.64,30.0,32.5,116.0,6.9,4.03,22.0,3,0,1,1,1,0,0,6.0,3.0,4.0,69.0,0.0,11.5,117.0,,,,,,,,7.0,1.0,0.0,7.0,,,,,,,,,2019,0.0,0.0,3.0,1.0,0.0,4.0,22.0,0.0,4.0,41.0,3.0,0.0,1.0,37.0,0.0,8.5,66.0,,,,,,,,,,,,,
Bobby Okereke,Outside Linebacker,Stanford,Pac-12,73.0,239.0,4.58,,33.5,122.0,7.25,4.26,23.0,3,0,0,1,1,1,0,5.0,3.0,3.5,52.0,0.0,7.5,94.0,0.0,0.0,1.0,52.0,1.0,1.0,52.0,,,,,,,,,,,,,2019,,,,1.0,4.0,4.0,56.0,1.0,8.5,88.0,1.0,1.0,3.0,12.0,0.0,4.0,39.0,,,,,,,,,,,,,
Christian Miller,Outside Linebacker,Alabama,SEC,75.0,247.0,,,38.5,118.0,,,23.0,3,0,0,1,1,1,0,1.0,12.0,8.0,16.0,0.0,11.0,34.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2019,,,,0.0,0.0,1.0,4.0,0.0,2.0,6.0,0.0,4.0,2.0,5.0,0.0,2.5,16.0,,,,,,,,,,,,,
Vosean Joseph,Outside Linebacker,Florida,SEC,74.0,230.0,,,,,,,21.0,3,1,1,1,0,0,0,5.0,1.0,4.0,40.0,0.0,9.0,93.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,2019,,,,1.0,1.0,0.0,22.0,0.0,4.0,55.0,1.0,0.0,0.0,7.0,0.0,1.0,13.0,0.0,0.0,1.0,,,,,,,,,,
Dre Greenlaw,Outside Linebacker,Arkansas,SEC,72.0,237.0,,24.0,33.0,117.0,,,22.0,3,0,1,1,1,0,0,0.0,1.0,2.0,38.0,0.0,6.5,80.0,0.0,0.0,1.0,,,,,2.5,2.0,0.0,5.0,3.0,1.0,0.0,3.0,,,,,2019,,,,2.0,2.0,1.0,52.0,0.0,1.5,103.0,0.0,1.0,0.0,23.0,0.0,1.5,43.0,0.0,0.0,2.0,,,,,,,,,,
Andrew Van Ginkel,Outside Linebacker,Wisconsin,Big Ten,76.0,241.0,,,,,,,24.0,2,0,0,0,0,1,1,3.0,7.0,4.5,35.0,0.0,7.5,51.0,,,,5.5,2.0,1.0,11.0,,,,,,,,,,,,,2019,0.0,0.0,1.0,2.0,3.0,6.5,26.0,1.0,10.0,39.0,,,,,,,,,,,,,,,,,,,,
Justin Hollins,Outside Linebacker,Oregon,Pac-12,77.0,248.0,4.5,25.0,36.5,119.0,7.06,4.4,23.0,3,0,0,1,1,1,0,6.0,5.0,6.5,33.0,0.0,12.5,55.0,0.0,0.0,1.0,11.0,1.0,1.0,11.0,7.0,1.0,0.0,7.0,,,,,,,,,2019,,,,0.0,3.0,3.5,27.0,1.0,10.0,58.0,2.0,3.0,3.0,27.0,0.0,9.5,51.0,0.0,0.0,1.0,,,,,,,,,,
D'Andre Walker,Outside Linebacker,Georgia,SEC,74.0,251.0,,,,,,,22.0,3,0,1,1,1,0,0,3.0,5.0,7.5,23.0,0.0,11.0,45.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2019,,,,0.0,1.0,4.5,25.0,0.0,12.5,38.0,0.0,1.0,0.0,9.0,0.0,2.5,19.0,,,,,,,,,,,,,
Cole Holcomb,Outside Linebacker,North Carolina,ACC,73.0,235.0,,,,,,,23.0,3,0,0,1,1,1,0,4.0,1.0,1.0,59.0,0.0,8.0,104.0,,,,,,,,,,,,,,,,,,,,2019,0.0,0.0,1.0,3.0,4.0,0.5,41.0,0.0,2.5,93.0,5.0,2.0,1.0,62.0,0.0,5.0,115.0,,,,,,,,,,,,,
Sutton Smith,Outside Linebacker,Northern Illinois,Mid-American,72.0,233.0,4.69,25.0,31.5,118.0,6.75,4.32,23.0,3,0,0,1,1,1,0,0.0,6.0,12.0,32.0,0.0,20.0,45.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,2019,0.0,0.0,2.0,3.0,8.0,14.0,43.0,0.0,30.0,63.0,0.0,3.0,1.0,7.0,0.0,2.0,15.0,,,,,,,,,,,,,
David Long Jr.,Outside Linebacker,West Virginia,Big 12,71.0,227.0,,,,,,,22.0,3,0,1,1,1,0,0,4.0,2.0,6.0,70.0,0.0,16.5,99.0,,,,,,,,,,,,,,,,,,,,2019,0.0,0.0,1.0,6.0,2.0,3.5,55.0,0.0,15.5,75.0,0.0,2.0,2.0,35.0,0.0,4.5,63.0,,,,,,,,,,,,,
Emeke Egbule,Outside Linebacker,Houston,American Athletic,74.0,245.0,4.65,20.0,33.0,119.0,7.38,4.38,22.0,3,0,1,1,1,0,0,5.0,9.0,2.0,39.0,1.0,5.5,69.0,0.0,0.0,4.0,,,,,0.0,2.0,0.0,0.0,,,,,,,,,2019,0.0,0.0,1.0,0.0,1.0,2.0,36.0,0.0,6.5,62.0,1.0,5.0,0.0,15.0,0.0,0.0,22.0,0.0,0.0,1.0,,,,,,,,,,
Kaden Elliss,Outside Linebacker,Idaho,Big Sky,74.0,238.0,,,,,,,24.0,3,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,11.2,5.0,1.0,56.0,,,,,2019,0.0,0.0,1.0,4.0,6.0,6.0,58.0,0.0,16.0,80.0,2.0,0.0,3.0,44.0,1.0,7.5,66.0,0.0,0.0,2.0,,,,,,,,,,
Isaiah Simmons,Outside Linebacker,Clemson,ACC,76.0,238.0,4.39,,39.0,132.0,,,22.0,4,0,1,1,1,0,0,8.0,5.0,8.0,67.0,0.0,16.5,104.0,0.0,0.0,1.0,27.0,1.0,1.0,27.0,14.0,3.0,0.0,42.0,,,,,,,,,2020,,,,6.0,1.0,1.0,46.0,1.0,8.0,79.0,6.0,1.0,1.0,27.0,0.0,3.0,45.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0
K'Lavon Chaisson,Outside Linebacker,LSU,SEC,75.0,254.0,,,,,,,21.0,3,1,1,1,0,0,0,2.0,6.0,6.5,34.0,0.0,13.5,60.0,,,,,,,,,,,,,,,,,,,,2020,,,,0.0,1.0,1.0,3.0,0.0,1.0,5.0,2.0,2.0,2.0,9.0,0.0,4.5,27.0,,,,,,,,,,,,,
Jordyn Brooks,Outside Linebacker,Texas Tech,Big 12,72.0,240.0,4.54,,,,,,22.0,4,1,1,1,1,0,0,0.0,12.0,3.0,66.0,0.0,20.0,108.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,,,,,2.0,1.0,0.0,2.0,,,,,2020,,,,1.0,6.0,3.0,49.0,0.0,7.0,84.0,2.0,7.0,0.0,50.0,0.0,0.5,89.0,0.0,0.0,1.0,,,,3.0,1.0,1.0,61.0,0.0,5.0,85.0
Julian Okwara,Outside Linebacker,Notre Dame,FBS Independents,76.0,252.0,,27.0,,,,,22.0,4,0,1,1,1,0,0,0.0,7.0,4.0,8.0,0.0,6.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,5.0,1.0,0.0,5.0,,,,,2020,,,,1.0,21.0,5.5,23.0,0.0,10.0,34.0,0.0,7.0,2.5,8.0,0.0,3.5,14.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,4.0
