name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Jaxon Smith-Njigba,Wide Receiver,Ohio State,Big Ten,0.5454545454545454,0.4939759036144578,,,0.3870967741935484,0.5,0.9915412679733588,1.0219026014289267,0.2,3,1,1,1,0,0,0,0.5895039539899353,0.3010033444816053,0.6512090382453813,0.6024844720496894,,,,,0.8256880733944955,0.45,0.8987194412107101,0.526946107784431,,,,,0.08771929824561403,0.06666666666666667,0.029614325068870524,0.2041666666666667,,,,,,,,,,,,,2023,1.0,1.0,1.0,,1.0
Quentin Johnston,Wide Receiver,TCU,Big 12,0.7272727272727273,0.6385542168674698,,,0.7419354838709677,0.8,,,0.4,3,0,1,1,1,0,0,0.3378864126527678,0.2006688963210702,0.4190564025708274,0.6583850931677019,0.006802721088435374,0.0,0.0019723865877712033,0.10874999999999999,0.25688073394495414,0.3,0.320139697322468,0.622754491017964,0.011627906976744186,0.0,0.02183803457688808,0.3956043956043956,0.19298245614035087,0.13333333333333333,0.331267217630854,0.9208333333333334,0.021739130434782608,0.18181818181818182,0.009243697478991597,0.10344827586206896,,,,,,,,,2023,0.9,0.9,0.9,,0.9
Zay Flowers,Wide Receiver,Boston College,ACC,0.18181818181818182,0.3253012048192771,0.6234396141550624,,0.41935483870967744,0.5666666666666667,,,0.4,4,1,1,1,1,0,0,0.4672897196261682,0.4013377926421404,0.42251491483413545,0.40993788819875776,0.03741496598639456,0.0,0.02514792899408284,0.17875000000000002,0.3577981651376147,0.25,0.3981373690337602,0.5329341317365269,0.040697674418604654,0.0,0.07370336669699727,0.4813186813186813,0.49122807017543857,0.6,0.6101928374655647,0.6625,0.07971014492753623,0.09090909090909091,0.041176470588235294,0.13448275862068965,0.25925925925925924,0.3333333333333333,0.3637327677624602,0.33,0.09420289855072464,0.08333333333333333,0.15728604471858135,0.11860465116279069,2023,0.9,0.9,0.9,0.9,0.9
Jordan Addison,Wide Receiver,USC,Pac-12,0.36363636363636365,0.21686746987951808,0.3782620936501043,,0.3225806451612903,0.4,,,0.2,3,1,1,1,0,0,0,0.33069734004313445,0.26755852842809363,0.3351874801856068,0.4720496894409938,0.01020408163265306,0.0,0.021696252465483234,0.24125000000000002,0.8715596330275229,0.85,0.8911525029103609,0.467065868263473,0.040697674418604654,0.14285714285714285,0.06187443130118289,0.43956043956043955,0.5263157894736842,0.26666666666666666,0.45454545454545453,0.46249999999999997,0.06521739130434782,0.0,0.05546218487394958,0.16551724137931034,,,,,,,,,2023,0.9,0.9,0.9,,0.9
Jonathan Mingo,Wide Receiver,Ole Miss,SEC,0.6363636363636364,0.7831325301204819,0.4816273325914787,0.6956521739130435,0.6774193548387096,0.6333333333333333,,,0.4,4,1,1,1,1,0,0,0.2731847591660676,0.16722408026755853,0.3295673977577312,0.6024844720496894,0.01020408163265306,0.047619047619047616,0.0019723865877712033,0.11499999999999999,0.1559633027522936,0.15,0.16530849825378346,0.45508982035928136,,,,,0.23684210526315788,0.2,0.2568870523415978,0.5833333333333334,,,,,0.13580246913580246,0.1111111111111111,0.18451749734888653,0.306,,,,,2023,1.0,1.0,1.0,1.0,1.0
Jayden Reed,Wide Receiver,Michigan State,Big Ten,0.36363636363636365,0.3855421686746988,0.5175238799271147,,0.2903225806451613,0.36666666666666664,,0.46865836478738987,0.6,3,0,0,1,1,1,0,0.301941049604601,0.16722408026755853,0.2318644263192783,0.27329192546583847,0.01020408163265306,0.0,0.010848126232741617,0.17250000000000001,0.4954128440366973,0.5,0.5611175785797439,0.55688622754491,0.040697674418604654,0.14285714285714285,0.04185623293903549,0.3714285714285714,0.2894736842105263,0.2,0.2761707988980716,0.5125000000000001,0.043478260869565216,0.0,0.01680672268907563,0.11494252873563218,,,,,,,,,2023,1.0,1.0,1.0,,1.0
Rashee Rice,Wide Receiver,SMU,American Athletic,0.5454545454545454,0.5903614457831325,0.31629094936165536,,0.7741935483870968,0.6,,,0.6,4,0,1,1,1,1,0,0.5966930265995687,0.33444816053511706,0.5426982159840907,0.4285714285714285,,,,,0.5412844036697247,0.45,0.3538998835855646,0.1437125748502994,,,,,0.42105263157894735,0.3333333333333333,0.4662534435261708,0.5916666666666667,,,,,0.2962962962962963,0.1111111111111111,0.42948038176033937,0.342,0.0,0.0,0.006939090208172706,0.03488372093023256,2023,0.55,0.55,0.55,0.55,0.55
Marvin Mims,Wide Receiver,Oklahoma,Big 12,0.36363636363636365,0.3373493975903614,0.7470713118661682,,0.6774193548387096,0.6333333333333333,0.6541150350250808,,0.2,3,1,1,1,0,0,0,0.29475197699496763,0.2006688963210702,0.4251087990316165,0.8012422360248448,0.003401360544217687,0.0,0.006903353057199211,0.15625,0.24770642201834864,0.25,0.3742724097788126,0.8323353293413173,0.005813953488372093,0.0,0.02456778889899909,0.5934065934065934,0.32456140350877194,0.6,0.41597796143250687,0.6875,0.014492753623188406,0.0,0.02100840336134454,0.1896551724137931,,,,,,,,,2023,1.0,1.0,1.0,,0.9
Nathaniel Dell,Wide Receiver,Houston,American Athletic,0.09090909090909091,0.12048192771084337,0.3782620936501043,,,0.36666666666666664,,,0.6,3,0,0,1,1,1,0,0.6901509705248023,0.568561872909699,0.5612877193993716,0.34782608695652173,0.01020408163265306,0.0,0.009861932938856016,0.16625,0.7798165137614679,0.6,0.7374854481955763,0.40119760479041916,0.005813953488372093,0.0,0.015468607825295723,0.37362637362637363,0.2543859649122807,0.2,0.290633608815427,0.6166666666666667,,,,,,,,,,,,,2023,0.9,0.9,0.9,,0.55
Jalin Hyatt,Wide Receiver,Tennessee,SEC,0.45454545454545453,0.25301204819277107,0.6886233114961202,,0.7096774193548387,0.8333333333333334,,,0.2,3,1,1,1,0,0,0,0.3882099209202013,0.5016722408026756,0.504654581087702,0.7267080745341614,0.0,0.0,0.005424063116370809,0.1375,0.14678899082568808,0.1,0.09545983701979045,0.16167664670658685,0.005813953488372093,0.0,0.020018198362147407,0.4835164835164835,0.17543859649122806,0.13333333333333333,0.1859504132231405,0.5750000000000001,0.007246376811594203,0.0,0.009243697478991597,0.12643678160919541,,,,,,,,,2023,1.0,1.0,1.0,,1.0
