name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Jack Sawyer,Defensive Edge,Ohio State,Big Ten,76.0,260.0,,,,,,,23.0,4,0,1,1,1,1,0,6.0,8.0,9.0,25.0,2.0,9.0,59.0,0.0,0.0,3.0,,,,2.0,3.0,6.5,24.0,0.0,10.0,48.0,1.0,2.0,4.5,10.0,0.0,6.5,23.0,,,,1.0,2.0,3.0,9.0,0.0,3.0,13.0
Barryn Sorrell,Defensive Edge,Texas,SEC,75.0,256.0,4.68,28.0,34.0,121.0,7.06,4.36,22.0,4,1,1,1,1,0,0,1.0,12.0,5.5,16.0,0.0,10.5,43.0,1.0,1.0,0.0,,,,0.0,11.0,3.0,17.0,0.0,3.5,34.0,1.0,4.0,5.5,17.0,0.0,9.0,41.0,,,,0.0,0.0,0.0,3.0,0.0,1.0,8.0
Kyle Kennard,Defensive Edge,South Carolina,SEC,76.0,254.0,4.73,23.0,,,,,23.0,4,0,1,1,1,1,0,1.0,9.0,11.5,21.0,0.0,16.5,29.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,6.0,29.0,0.0,11.0,49.0,0.0,2.0,2.0,19.0,0.0,4.5,36.0,,,,0.0,1.0,2.0,5.0,0.0,3.5,15.0
Que Robinson,Defensive Edge,Alabama,SEC,76.0,243.0,,,,,,,24.0,3,0,0,0,1,1,1,0.0,5.0,4.0,11.0,0.0,7.0,23.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.5,16.0,0.0,2.5,24.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,,,,,,,
Tyrion Ingram-Dawkins,Defensive Edge,Georgia,SEC,77.0,276.0,4.86,,36.0,124.0,7.28,4.34,22.0,4,1,1,1,1,0,0,2.0,1.0,3.0,15.0,0.0,8.0,19.0,,,,,,,0.0,0.0,1.0,6.0,0.0,2.0,8.0,0.0,0.0,0.0,7.0,0.0,1.5,8.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
Bradyn Swinson,Defensive Edge,LSU,SEC,76.0,255.0,,,,,7.13,4.33,23.0,4,0,1,1,1,1,0,3.0,8.0,8.5,31.0,0.0,13.0,57.0,,,,,,,4.0,7.0,2.0,13.0,0.0,5.5,33.0,0.0,0.0,0.0,5.0,0.0,1.5,8.0,,,,2.0,1.0,3.0,14.0,0.0,4.0,24.0
Elijah Roberts,Defensive Edge,SMU,ACC,76.0,285.0,4.78,,31.5,116.0,,,23.0,4,0,1,1,1,1,0,1.0,10.0,6.5,15.0,0.0,10.0,32.0,0.0,0.0,1.0,,,,2.0,7.0,8.5,21.0,0.0,12.5,37.0,0.0,0.0,0.0,6.0,0.0,1.0,9.0,,,,0.0,1.0,0.5,3.0,0.0,0.5,8.0
Tyler Baron,Defensive Edge,Miami,ACC,77.0,258.0,4.62,19.0,35.5,121.0,,,23.0,4,0,1,1,1,1,0,0.0,6.0,5.5,18.0,0.0,11.0,38.0,,,,0.0,0.0,1.0,2.0,5.0,6.0,16.0,0.0,10.5,28.0,0.0,5.0,2.5,10.0,0.0,6.5,19.0,,,,2.0,2.0,4.0,8.0,0.0,7.0,30.0
Ahmed Hassanein,Defensive Edge,Boise State,Mountain West,74.0,267.0,4.77,27.0,32.5,113.0,,,23.0,4,0,1,1,1,1,0,0.0,3.0,9.5,28.0,0.0,15.5,48.0,0.0,0.0,1.0,,,,0.0,7.0,12.5,29.0,0.0,16.5,50.0,0.0,0.0,2.0,8.0,0.0,2.0,14.0,,,,0.0,1.0,0.0,4.0,0.0,0.0,5.0
Antwaun Powell-Ryland,Defensive Edge,Virginia Tech,ACC,75.0,258.0,4.69,,36.5,124.0,,,23.0,4,0,1,1,1,1,0,0.0,8.0,15.5,29.0,0.0,18.5,42.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,6.0,9.5,22.0,0.0,13.5,38.0,1.0,3.0,3.0,11.0,0.0,6.0,27.0,,,,0.0,0.0,1.5,3.0,0.0,1.5,5.0
Fadil Diggs,Defensive Edge,Syracuse,ACC,76.0,257.0,4.57,,30.5,121.0,,,23.0,4,0,1,1,1,1,0,1.0,3.0,7.0,28.0,0.0,13.0,42.0,0.0,0.0,1.0,,,,2.0,6.0,4.0,22.0,0.0,11.0,36.0,0.0,1.0,3.0,15.0,0.0,5.0,28.0,,,,0.0,1.0,1.0,2.0,0.0,2.5,9.0
