name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC
Jaylen Samuels,Fullback,NC State,ACC,72.0,225.0,4.54,18.0,34.5,121.0,6.93,4.28,22.0,4,1,1,1,1,0,0,NC State,2.0,2.0,0.0,NC State,79.0,75.0,4.0,593.0,7.9,78.0,40.0,12.0,407.0,5.2,55.0,55.0,7.0,565.0,10.3,33.0,24.0,6.0,189.0,5.7,NC State,64.0,65.0,7.0,597.0,9.2,56.0,66.0,9.0,368.0,6.6,NC State,42.0,6.0,1.0,96.0,16.0,15.0,28.0,1.0,143.0,9.5,,,
Nick Bawden,Fullback,San Diego State,Mountain West,74.0,245.0,,,,,,,22.0,4,1,1,1,1,0,0,San Diego State,,,,San Diego State,24.0,15.0,1.0,103.0,6.9,,,,,,20.0,15.0,0.0,137.0,9.1,1.0,7.0,0.0,4.0,4.0,,,,,,,,,,,,San Diego State,,,,,,11.0,15.0,0.0,43.0,3.9,1.0,1.0,0.0
