name,position,college,conference,height,weight,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college
Thomas Fletcher,Long Snapper,Alabama,SEC,73.0,235.0,22.0,1,0,0,0,1,0,0,Alabama
Camaron Cheeseman,Long Snapper,Michigan,Big Ten,76.0,230.0,23.0,0,0,0,0,0,0,0,
