name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Jevon Holland,Safety,Oregon,Pac-12,73.0,207.0,4.48,19.0,35.5,126.0,,4.14,21.0,3,1,1,1,0,0,0,,,,,,,,,,,16.0,4.0,1.0,64.0,,,,,1.6,5.0,0.0,8.0,,,,,1.0,0.0,0.0,4.0,1.0,0.0,40.0,1.0,4.5,66.0,4.0,0.0,0.0,22.0,0.0,0.0,30.0,1.0,1.0,0.0,,,,,,,,,,
Richie Grant,Safety,UCF,American Athletic,72.0,197.0,4.49,12.0,34.5,129.0,6.78,4.27,23.0,4,0,1,1,1,1,0,5.0,1.0,1.0,49.0,0.0,3.5,72.0,0.0,0.0,2.0,39.0,1.0,1.0,39.0,8.3,3.0,0.0,25.0,6.5,6.0,0.0,39.0,,,,,,,,7.0,0.0,0.0,45.0,1.0,3.0,72.0,3.0,0.0,0.0,68.0,0.0,3.0,108.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,1.0,32.0
Trevon Moehrig,Safety,TCU,Big 12,73.0,202.0,4.5,,33.0,,,4.19,22.0,3,0,1,1,1,0,0,9.0,0.0,0.0,30.0,0.0,2.0,47.0,1.0,1.0,0.0,17.5,4.0,0.0,70.0,0.0,2.0,0.0,0.0,20.0,1.0,0.0,20.0,,,,,1.0,0.0,1.0,11.0,0.0,0.0,43.0,0.0,1.5,62.0,1.0,0.0,0.0,11.0,0.0,1.0,14.0,,,,,,,,,,,,,
Andre Cisco,Safety,Syracuse,ACC,73.0,216.0,,17.0,,,,,21.0,3,1,1,1,0,0,0,0.0,0.0,0.0,7.0,0.0,0.5,11.0,,,,13.4,5.0,1.0,67.0,29.0,1.0,0.0,29.0,6.7,7.0,0.0,47.0,,,,,,,,5.0,0.0,0.0,41.0,1.0,0.5,65.0,7.0,0.0,0.0,35.0,0.0,0.0,45.0,,,,,,,,,,,,,
Divine Deablo,Safety,Virginia Tech,ACC,75.0,226.0,4.42,19.0,34.0,126.0,7.12,4.4,23.0,4,0,1,1,1,1,0,4.0,1.0,0.0,32.0,0.0,2.0,55.0,,,,0.0,1.0,0.0,0.0,1.3,4.0,0.0,5.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,42.0,1.0,4.5,84.0,2.0,0.0,0.0,35.0,0.0,4.5,54.0,0.0,0.0,1.0,,,,3.0,0.0,0.5,6.0,0.0,1.5,8.0
Tyree Gillespie,Safety,Missouri,SEC,72.0,207.0,4.38,15.0,,,7.06,,23.0,4,0,0,1,1,1,0,4.0,1.0,0.0,29.0,0.0,0.5,46.0,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,34.0,0.0,4.0,50.0,1.0,2.0,1.0,37.0,0.0,1.5,48.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Jamien Sherwood,Safety,Auburn,SEC,74.0,216.0,4.76,15.0,36.0,123.0,7.15,4.36,21.0,3,1,1,1,0,0,0,3.0,1.0,1.0,44.0,0.0,3.0,75.0,0.0,0.0,3.0,,,,,,,,,0.0,1.0,0.0,0.0,,,,,0.0,0.0,1.0,5.0,1.0,0.0,21.0,0.0,4.0,43.0,3.0,1.0,1.5,12.0,0.0,1.5,23.0,,,,,,,,,,,,,
Caden Sterns,Safety,Texas,Big 12,72.0,202.0,4.41,14.0,42.0,128.0,6.96,4.13,21.0,3,1,1,1,0,0,0,3.0,0.0,0.0,30.0,0.0,1.5,52.0,,,,,,,,0.0,1.0,0.0,0.0,8.3,4.0,0.0,33.0,,,,,,,,1.0,0.0,1.0,42.0,0.0,4.0,57.0,4.0,0.0,1.0,46.0,0.0,3.0,62.0,,,,,,,,,,,,,
Michael Carter II,Safety,Duke,ACC,70.0,184.0,,,,,,,22.0,4,1,1,1,1,0,0,8.0,0.0,0.0,28.0,0.0,3.0,41.0,,,,0.0,1.0,0.0,0.0,16.5,2.0,0.0,33.0,5.0,1.0,0.0,5.0,,,,,,,,7.0,0.0,0.5,30.0,0.0,2.0,53.0,6.0,0.0,0.0,18.0,0.0,0.0,23.0,0.0,0.0,1.0,,,,2.0,1.0,1.0,12.0,0.0,2.5,18.0
Darrick Forrest,Safety,Cincinnati,American Athletic,72.0,206.0,4.42,21.0,39.0,132.0,6.91,4.23,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,31.0,0.0,1.0,40.0,,,,17.0,3.0,0.0,51.0,11.0,2.0,0.0,22.0,23.0,1.0,0.0,23.0,,,,,,,,3.0,0.0,0.0,63.0,0.0,3.5,106.0,2.0,0.0,0.0,29.0,0.0,0.0,49.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,3.0,0.0,0.0,5.0
