name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_college,Y3_college,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Patrick Payton,Defensive End,LSU,SEC,77.0,260,,,,,,,4,0,0,0,0,0,0,LSU,6.0,2.0,1.0,17.0,0.0,4.5,33.0,0.0,0.0,1.0,Florida State,,,,0.0,4.0,4.0,16.0,0.0,10.0,32.0,9.0,7.0,6.0,28.0,0.0,13.5,43.0,,,,Florida State,Florida State,3.0,1.0,5.0,21.0,0.0,6.0,30.0,,,
Trey Moore,Defensive End,Texas,SEC,74.0,243,4.54,,38.5,120.0,,4.43,2,0,0,0,0,0,0,Texas,3.0,6.0,3.0,21.0,0.0,5.0,34.0,0.0,0.0,1.0,Texas,0.0,0.0,2.0,1.0,6.0,6.5,23.0,0.0,10.5,36.0,,,,,,,,,,,,,,,,,,,,,,
Quintayvious Hutchins,Defensive End,Boston College,ACC,75.0,233,4.74,,37.0,,,,4,0,0,0,0,0,0,Boston College,1.0,7.0,2.0,16.0,0.0,3.5,36.0,,,,Boston College,0.0,0.0,2.0,0.0,8.0,3.5,14.0,0.0,5.5,29.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,,,,Boston College,Boston College,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,
Vincent Anthony,Defensive End,Duke,ACC,78.0,258,,,,,,,4,0,0,0,0,0,0,Duke,2.0,4.0,7.0,20.0,0.0,13.0,34.0,,,,Duke,,,,3.0,13.0,5.0,10.0,0.0,9.5,25.0,1.0,2.0,2.0,8.0,0.0,4.0,17.0,,,,Duke,Duke,2.0,3.0,0.5,12.0,0.0,2.5,24.0,0.0,0.0,1.0
Mikail Kamara,Defensive End,Indiana,Big Ten,72.0,265,,,,,,,2,0,0,0,0,0,0,Indiana,1.0,4.0,2.0,12.0,0.0,7.5,34.0,,,,Indiana,0.0,0.0,3.0,1.0,6.0,9.0,18.0,0.0,14.0,46.0,,,,,,,,,,,,,,,,,,,,,,
George Gumbs,Defensive End,Florida,SEC,76.0,245,,,,,,,2,0,0,0,0,0,0,Florida,0.0,4.0,2.0,14.0,0.0,6.5,31.0,0.0,0.0,1.0,Florida,0.0,0.0,1.0,2.0,4.0,5.5,20.0,0.0,8.5,36.0,,,,,,,,,,,,,,,,,,,,,,
Logan Fano,Defensive End,Utah,Pac-12,77.0,257,,,,,,,2,0,0,0,0,0,0,Utah,2.0,3.0,4.5,29.0,0.0,7.5,43.0,,,,Utah,0.0,0.0,1.0,1.0,4.0,2.5,15.0,0.0,6.5,35.0,,,,,,,,,,,,,,,,,,,,,,
Tyler Onyedim,Defensive End,Texas A&M,SEC,76.0,292,,,32.0,111.0,,,4,0,0,0,0,0,0,Texas A&M,0.0,2.0,3.0,19.0,0.0,9.0,48.0,,,,Iowa State,0.0,0.0,1.0,1.0,4.0,0.0,15.0,0.0,2.5,33.0,0.0,9.0,2.0,19.0,0.0,6.5,42.0,,,,Iowa State,Iowa State,0.0,1.0,1.0,3.0,0.0,3.0,11.0,,,
Eric O'Neill,Defensive End,Rutgers,Big Ten,75.0,250,,,,,,,1,0,0,0,0,0,0,Rutgers,1.0,10.0,2.5,16.0,0.0,10.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Pyburn,Defensive End,LSU,SEC,76.0,258,,,,,,,4,0,0,0,0,0,0,LSU,2.0,4.0,2.0,17.0,0.0,6.0,51.0,0.0,0.0,1.0,Florida,,,,0.0,0.0,1.0,20.0,0.0,4.0,60.0,0.0,0.0,0.0,6.0,0.0,1.0,17.0,,,,Florida,Florida,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,
