name,position,college,conference,height,weight,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y1_college,Y2_college,Y3_college,Y0_kicking_FGA,Y0_kicking_FGM,Y0_kicking_LONG,Y0_kicking_PCT,Y0_kicking_PTS,Y0_kicking_XPA,Y0_kicking_XPM,Y1_kicking_FGA,Y1_kicking_FGM,Y1_kicking_LONG,Y1_kicking_PCT,Y1_kicking_PTS,Y1_kicking_XPA,Y1_kicking_XPM,Y2_kicking_FGA,Y2_kicking_FGM,Y2_kicking_LONG,Y2_kicking_PCT,Y2_kicking_PTS,Y2_kicking_XPA,Y2_kicking_XPM,Y3_kicking_FGA,Y3_kicking_FGM,Y3_kicking_LONG,Y3_kicking_PCT,Y3_kicking_PTS,Y3_kicking_XPA,Y3_kicking_XPM
Jake Moody,Place Kicker,Michigan,Big Ten,73.0,209.0,23.0,4,0,1,1,1,1,0,Michigan,Michigan,Michigan,Michigan,35.0,29.0,59.0,0.829,147.0,60.0,60.0,25.0,23.0,52.0,0.92,125.0,56.0,56.0,4.0,1.0,40.0,0.25,12.0,9.0,9.0,9.0,6.0,43.0,0.667,36.0,18.0,18.0
Chad Ryland,Place Kicker,Maryland,Big Ten,72.0,190.0,23.0,4,0,1,1,1,1,0,Maryland,Eastern Michigan,Eastern Michigan,Eastern Michigan,23.0,19.0,53.0,0.826,96.0,39.0,39.0,22.0,19.0,55.0,0.864,104.0,47.0,47.0,13.0,11.0,52.0,0.846,51.0,19.0,18.0,19.0,14.0,52.0,0.737,77.0,38.0,35.0
Anders Carlson,Place Kicker,Auburn,SEC,,,25.0,4,0,0,0,1,1,1,Auburn,Auburn,Auburn,Auburn,17.0,12.0,46.0,0.706,58.0,22.0,22.0,21.0,14.0,49.0,0.667,77.0,36.0,35.0,22.0,20.0,50.0,0.909,84.0,25.0,24.0,25.0,18.0,52.0,0.72,102.0,49.0,48.0
