name,position,college,conference,height,weight,forty,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Drew Kendall,Center,Boston College,ACC,76.0,308.0,5.05,7.56,4.51,23.0,0,0,0,0,0,0,0
Jonah Monheim,Center,USC,Big Ten,76.0,302.0,,,,23.0,0,0,0,0,0,0,0
