name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Josh Reynolds,Wide Receiver,Texas A&M,SEC,75.0,194.0,4.52,,37.0,124.0,6.83,4.13,22.0,3,0,1,1,1,0,0,,,,,,,,,92.0,61.0,12.0,1039.0,17.0,,,,,,95.0,51.0,5.0,907.0,17.8,,,,,,,,,,,70.0,52.0,13.0,842.0,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Mack Hollins,Wide Receiver,North Carolina,ACC,76.0,221.0,4.53,,,,,,23.0,3,0,0,1,1,1,0,,,,,,,,,71.0,16.0,4.0,309.0,19.3,,,,,,74.0,30.0,8.0,745.0,24.8,,,,,,,,,,,91.0,35.0,8.0,613.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Josh Malone,Wide Receiver,Tennessee,SEC,75.0,208.0,4.4,10.0,30.5,121.0,7.05,4.19,21.0,3,1,1,1,0,0,0,,,,,,,,,67.0,50.0,11.0,972.0,19.4,,,,,,75.0,31.0,2.0,405.0,13.1,,,,,,,,,,,20.0,23.0,1.0,231.0,10.0,2.0,20.0,0.0,11.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Ryan Switzer,Wide Receiver,North Carolina,ACC,69.0,181.0,4.51,11.0,32.0,116.0,6.77,4.0,22.0,4,1,1,1,1,0,0,2.0,2.0,0.0,12.6,85.0,24.0,2.0,302.0,75.0,96.0,6.0,1112.0,11.6,3.0,7.0,0.0,14.0,4.7,89.0,55.0,6.0,697.0,12.7,3.0,13.0,0.0,6.0,2.0,17.0,17.0,1.0,0.0,17.0,75.0,61.0,4.0,757.0,12.4,8.0,13.0,0.0,29.0,3.6,,,,,,57.0,32.0,3.0,341.0,10.7,10.0,9.0,0.0,29.0,2.9,6.6,31.0,16.0,0.0,106.0,8.0,8.0,1.0,0.0,8.0,4.6,31.0,37.0,0.0,172.0,,,,,,20.1,86.0,25.0,5.0,502.0,2017,,,,,,,,,
Jehu Chesson,Wide Receiver,Michigan,Big Ten,75.0,204.0,4.47,10.0,35.5,132.0,6.7,4.09,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,,,,,,40.0,35.0,2.0,500.0,14.3,12.0,17.0,1.0,63.0,5.3,64.0,50.0,9.0,764.0,15.3,8.0,66.0,2.0,155.0,19.4,,,,,,28.0,14.0,0.0,154.0,11.0,,,,,,,,,,,58.0,15.0,1.0,221.0,14.7,2.0,2.0,0.0,1.0,0.5,,,,,,41.5,96.0,4.0,1.0,166.0,,,,,,18.0,19.0,2.0,0.0,36.0,,,,,,2017,,,,,,,,,
Chad Hansen,Wide Receiver,California,Pac-12,74.0,202.0,4.53,11.0,35.0,119.0,6.74,4.13,22.0,2,0,0,1,1,0,0,,,,,,,,,70.0,92.0,11.0,1249.0,13.6,,,,,,52.0,19.0,1.0,249.0,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Shelton Gibson,Wide Receiver,West Virginia,Big 12,71.0,191.0,4.5,8.0,32.0,118.0,6.83,4.2,23.0,3,0,0,1,1,1,0,,,,,,,,,71.0,43.0,8.0,951.0,22.1,2.0,25.0,0.0,29.0,14.5,70.0,37.0,9.0,887.0,24.0,,,,,,19.2,42.0,13.0,0.0,250.0,47.0,4.0,0.0,60.0,15.0,,,,,,21.8,51.0,29.0,0.0,633.0,,,,,,,,,,,,,,,,32.8,100.0,11.0,1.0,361.0,,,,,,,,,,,,,,,,2017,,,,,,,,,
Rodney Adams,Wide Receiver,South Florida,American Athletic,73.0,189.0,4.44,8.0,29.5,125.0,6.98,4.28,22.0,4,1,1,1,1,0,0,6.0,3.0,0.0,,,,,,84.0,67.0,5.0,822.0,12.3,23.0,92.0,5.0,231.0,10.0,68.0,45.0,9.0,822.0,18.3,10.0,34.0,1.0,81.0,8.1,17.3,37.0,7.0,0.0,121.0,67.0,23.0,2.0,323.0,14.0,5.0,26.0,1.0,52.0,10.4,24.3,52.0,22.0,0.0,534.0,10.0,2.0,0.0,15.0,7.5,1.0,5.0,0.0,5.0,5.0,,,,,,27.4,97.0,17.0,1.0,466.0,,,,,,8.5,9.0,2.0,0.0,17.0,,,,,,2017,,,,,,,,,
Isaiah McKenzie,Wide Receiver,Georgia,SEC,68.0,173.0,4.42,11.0,36.0,123.0,6.64,4.15,22.0,3,0,1,1,1,0,0,4.0,2.0,0.0,12.8,77.0,17.0,2.0,217.0,77.0,44.0,7.0,633.0,14.4,19.0,55.0,2.0,134.0,7.1,30.0,10.0,0.0,123.0,12.3,11.0,26.0,2.0,117.0,10.6,28.1,90.0,11.0,1.0,309.0,36.0,6.0,0.0,67.0,11.2,7.0,49.0,0.0,78.0,11.1,12.0,24.0,2.0,0.0,24.0,,,,,,,,,,,9.8,82.0,25.0,1.0,245.0,10.5,18.0,4.0,0.0,42.0,11.5,59.0,20.0,2.0,230.0,,,,,,,,,,,2017,,,,,,,,,
Trent Taylor,Wide Receiver,Louisiana Tech,Conference USA,68.0,181.0,4.63,13.0,33.0,117.0,6.74,4.01,23.0,4,0,1,1,1,1,0,3.0,2.0,0.0,5.9,26.0,14.0,0.0,83.0,76.0,136.0,12.0,1803.0,13.3,,,,,,63.0,99.0,9.0,1282.0,12.9,,,,,,,,,,,40.0,64.0,9.0,834.0,13.0,,,,,,16.0,16.0,1.0,0.0,16.0,36.0,28.0,2.0,260.0,9.3,,,,,,10.5,32.0,17.0,0.0,178.0,0.0,0.0,1.0,0.0,0.0,7.3,22.0,23.0,0.0,168.0,,,,,,7.6,24.0,7.0,0.0,53.0,2017,,,,,,,,,
Robert Davis,Wide Receiver,Georgia State,Sun Belt,75.0,219.0,4.44,19.0,41.0,136.0,6.82,4.28,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,,,,,,65.0,67.0,5.0,968.0,14.4,,,,,,75.0,61.0,6.0,980.0,16.1,,,,,,,,,,,75.0,50.0,2.0,732.0,14.6,1.0,3.0,0.0,3.0,3.0,,,,,,80.0,44.0,4.0,711.0,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Stacy Coley,Wide Receiver,Miami,ACC,72.0,195.0,4.45,10.0,34.0,122.0,,,23.0,4,0,1,1,1,1,0,,,,,,,,,55.0,63.0,9.0,754.0,12.0,,,,,,67.0,48.0,4.0,693.0,14.4,1.0,15.0,0.0,15.0,15.0,22.5,41.0,24.0,0.0,541.0,22.0,23.0,0.0,184.0,8.0,5.0,16.0,0.0,30.0,6.0,,,,,,81.0,33.0,7.0,591.0,17.9,2.0,73.0,1.0,80.0,40.0,,,,,,31.0,31.0,1.0,0.0,31.0,7.0,29.0,15.0,0.0,105.0,25.9,88.0,22.0,1.0,570.0,20.0,79.0,11.0,1.0,220.0,2017,,,,,,,,,
Isaiah Ford,Wide Receiver,Virginia Tech,ACC,73.0,194.0,4.61,14.0,35.5,127.0,6.94,4.34,21.0,3,1,1,1,0,0,0,,,,,,,,,53.0,79.0,7.0,1094.0,13.8,6.0,26.0,0.0,33.0,5.5,75.0,75.0,11.0,1164.0,15.5,7.0,10.0,0.0,51.0,7.3,,,,,,33.0,56.0,6.0,709.0,12.7,4.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Noah Brown,Wide Receiver,Ohio State,Big Ten,74.0,222.0,,19.0,,,7.07,4.33,21.0,3,1,1,1,0,0,0,,,,,,,,,37.0,32.0,7.0,402.0,12.6,,,,,,,,,,,,,,,,23.0,23.0,1.0,0.0,23.0,9.0,1.0,0.0,9.0,9.0,1.0,0.0,0.0,-4.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
Malachi Dupre,Wide Receiver,LSU,SEC,75.0,196.0,4.52,11.0,39.5,135.0,7.19,4.26,21.0,3,1,1,1,0,0,0,,,,,,,,,63.0,41.0,3.0,593.0,14.5,,,,,,55.0,43.0,6.0,698.0,16.2,,,,,,,,,,,52.0,14.0,5.0,318.0,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,
D.J. Moore,Wide Receiver,Maryland,Big Ten,72.0,210.0,4.42,15.0,39.5,132.0,6.95,4.07,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,,,,,,52.0,80.0,8.0,1033.0,12.9,5.0,24.0,1.0,61.0,12.2,92.0,41.0,6.0,637.0,15.5,11.0,15.0,0.0,55.0,5.0,,,,,,52.0,25.0,3.0,357.0,14.3,1.0,9.0,0.0,9.0,9.0,,,,,,,,,,,,,,,,10.2,33.0,15.0,0.0,153.0,22.3,35.0,15.0,0.0,334.0,,,,,,,,,,,,,,,,2018,1.0,0.0,0.0,,,,,,
Calvin Ridley,Wide Receiver,Alabama,SEC,73.0,189.0,4.43,15.0,31.0,110.0,6.88,4.41,23.0,3,0,0,1,1,1,0,,,,1.3,6.0,3.0,0.0,4.0,78.0,63.0,5.0,967.0,15.3,2.0,13.0,0.0,17.0,8.5,52.0,72.0,7.0,769.0,10.7,5.0,7.0,1.0,21.0,4.2,,,,,,81.0,89.0,7.0,1045.0,11.7,1.0,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,1.0,0.0,0.0,,,,,,
Courtland Sutton,Wide Receiver,SMU,American Athletic,75.0,218.0,4.54,18.0,35.5,124.0,6.57,4.11,22.0,4,1,1,1,1,0,0,,,,,,,,,62.0,68.0,12.0,1085.0,16.0,1.0,2.0,1.0,2.0,2.0,88.0,76.0,10.0,1246.0,16.4,,,,,,,,,,,51.0,49.0,9.0,862.0,17.6,,,,,,,,,,,20.0,2.0,0.0,27.0,13.5,,,,,,,,,,,,,,,,-8.0,-8.0,1.0,0.0,-8.0,,,,,,,,,,,2018,,,,,,,,,
Dante Pettis,Wide Receiver,Washington,Pac-12,73.0,186.0,,,,,,,22.0,4,1,1,1,1,0,0,3.0,2.0,0.0,11.0,68.0,26.0,2.0,287.0,73.0,63.0,7.0,761.0,12.1,3.0,32.0,0.0,50.0,16.7,61.0,53.0,15.0,822.0,15.5,,,,,,,,,,,33.0,30.0,1.0,414.0,13.8,1.0,0.0,0.0,-8.0,-8.0,,,,,,48.0,17.0,1.0,259.0,15.2,,,,,,19.5,77.0,22.0,4.0,428.0,,,,,,16.9,89.0,16.0,2.0,271.0,,,,,,9.9,87.0,29.0,1.0,288.0,2018,2.0,1.0,0.0,,,,,,
Christian Kirk,Wide Receiver,Texas A&M,SEC,70.0,201.0,4.47,20.0,35.5,115.0,7.09,4.45,21.0,3,1,1,1,0,0,0,3.0,2.0,0.0,20.1,93.0,14.0,3.0,282.0,81.0,71.0,10.0,919.0,12.9,4.0,28.0,0.0,31.0,7.8,69.0,83.0,9.0,928.0,11.2,8.0,20.0,0.0,35.0,4.4,17.5,40.0,22.0,0.0,385.0,66.0,80.0,7.0,1009.0,12.6,11.0,11.0,0.0,54.0,4.9,22.3,100.0,22.0,1.0,490.0,,,,,,,,,,,19.1,90.0,10.0,1.0,191.0,28.8,66.0,6.0,0.0,173.0,24.4,79.0,14.0,2.0,341.0,,,,,,,,,,,2018,2.0,2.0,0.0,,,,,,
Anthony Miller,Wide Receiver,Memphis,American Athletic,71.0,201.0,,22.0,,,,,23.0,3,0,0,1,1,1,0,3.0,1.0,0.0,6.5,17.0,15.0,0.0,97.0,89.0,96.0,18.0,1462.0,15.2,10.0,7.0,0.0,25.0,2.5,84.0,95.0,14.0,1434.0,15.1,12.0,41.0,1.0,69.0,5.8,26.3,47.0,4.0,0.0,105.0,82.0,47.0,5.0,694.0,14.8,9.0,15.0,2.0,54.0,6.0,15.5,17.0,2.0,0.0,31.0,,,,,,,,,,,5.5,6.0,2.0,0.0,11.0,,,,,,9.3,18.0,3.0,0.0,28.0,,,,,,,,,,,2018,2.0,0.0,0.0,,,,,,
James Washington,Wide Receiver,Oklahoma State,Big 12,71.0,213.0,4.54,14.0,34.5,120.0,7.11,4.32,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,,,,,,86.0,74.0,13.0,1549.0,20.9,3.0,11.0,1.0,12.0,4.0,91.0,71.0,10.0,1380.0,19.4,4.0,16.0,0.0,28.0,7.0,19.7,27.0,3.0,0.0,59.0,75.0,53.0,10.0,1087.0,20.5,1.0,10.0,0.0,10.0,10.0,,,,,,68.0,28.0,6.0,456.0,16.3,1.0,20.0,0.0,20.0,20.0,,,,,,2.0,2.0,1.0,0.0,2.0,,,,,,22.0,22.0,1.0,0.0,22.0,,,,,,2018,,,,,,,,,
D.J. Chark,Wide Receiver,LSU,SEC,75.0,199.0,4.34,16.0,40.0,129.0,,,21.0,3,1,1,1,0,0,0,2.0,1.0,0.0,,,,,,68.0,40.0,3.0,874.0,21.9,12.0,20.0,1.0,63.0,5.3,80.0,26.0,3.0,466.0,17.9,12.0,35.0,2.0,122.0,10.2,,,,,,11.0,0.0,0.0,11.0,0.0,1.0,79.0,1.0,79.0,79.0,12.0,12.0,1.0,0.0,12.0,,,,,,,,,,,10.6,75.0,18.0,2.0,190.0,,,,,,,,,,,,,,,,,,,,,2018,1.0,1.0,0.0,,,,,,
Michael Gallup,Wide Receiver,Colorado State,Mountain West,73.0,205.0,4.51,10.0,36.0,122.0,6.95,4.37,22.0,2,0,0,1,1,0,0,,,,,,,,,76.0,100.0,7.0,1413.0,14.1,,,,,,65.0,76.0,14.0,1272.0,16.7,4.0,12.0,0.0,15.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,2.0,2.0,0.0,,,,,,
Tre'Quan Smith,Wide Receiver,UCF,American Athletic,74.0,210.0,,,,,,,22.0,3,0,1,1,1,0,0,,,,,,,,,79.0,59.0,13.0,1171.0,19.8,5.0,15.0,1.0,23.0,4.6,72.0,57.0,5.0,853.0,15.0,,,,,,,,,,,44.0,52.0,4.0,724.0,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,
Keke Coutee,Wide Receiver,Texas Tech,Big 12,70.0,181.0,4.43,14.0,34.5,113.0,6.93,4.15,21.0,3,1,1,1,0,0,0,,,,14.0,14.0,1.0,0.0,14.0,77.0,93.0,10.0,1429.0,15.4,5.0,11.0,0.0,15.0,3.0,80.0,55.0,7.0,890.0,16.2,3.0,6.0,1.0,2.0,0.7,,,,,,23.0,11.0,0.0,105.0,9.5,,,,,,31.5,92.0,10.0,1.0,315.0,,,,,,,,,,,,,,,,16.2,24.0,6.0,0.0,97.0,,,,,,,,,,,,,,,,2018,1.0,0.0,0.0,,,,,,
Antonio Callaway,Wide Receiver,Florida,SEC,71.0,200.0,4.41,,34.0,121.0,,,21.0,3,1,1,1,0,0,0,,,,8.4,39.0,26.0,0.0,218.0,,,,,,,,,,,78.0,54.0,3.0,721.0,13.4,5.0,24.0,1.0,32.0,6.4,26.3,37.0,3.0,0.0,79.0,66.0,35.0,4.0,678.0,19.4,3.0,9.0,0.0,19.0,6.3,,,,,,,,,,,,,,,,,,,,,32.3,44.0,3.0,1.0,97.0,14.5,85.0,30.0,2.0,435.0,,,,,,,,,,,2018,5.0,1.0,0.0,,,,,,
DaeSean Hamilton,Wide Receiver,Penn State,Big Ten,73.0,203.0,,,,,,,23.0,4,0,1,1,1,1,0,,,,,,,,,48.0,53.0,9.0,857.0,16.2,1.0,2.0,0.0,2.0,2.0,54.0,34.0,1.0,506.0,14.9,1.0,0.0,0.0,-12.0,-12.0,,,,,,48.0,45.0,6.0,580.0,12.9,,,,,,,,,,,51.0,82.0,2.0,899.0,11.0,8.0,11.0,0.0,32.0,4.0,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,2018,,,,,,,,,
