name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Ja'Marr Chase,Wide Receiver,LSU,SEC,72.0,201.0,4.34,,41.0,132.0,6.96,3.99,21.0,3,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,78.0,84.0,20.0,1780.0,21.2,1.0,5.0,0.0,5.0,5.0,,,,,,45.0,23.0,3.0,313.0,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,
Jaylen Waddle,Wide Receiver,Alabama,SEC,70.0,180.0,,,,,,,22.0,3,0,1,1,1,0,0,,,,24.4,77.0,20.0,1.0,487.0,90.0,28.0,4.0,591.0,21.1,3.0,11.0,0.0,12.0,4.0,58.0,33.0,6.0,560.0,17.0,1.0,5.0,0.0,5.0,5.0,,,,,,94.0,45.0,7.0,848.0,18.8,,,,,,9.8,22.0,4.0,0.0,39.0,,,,,,,,,,,6.5,11.0,2.0,0.0,13.0,35.0,98.0,5.0,1.0,175.0,12.9,63.0,18.0,1.0,233.0,,,,,,,,,,,1.0,1.0,0.0,3.0,0.0,0.0,,,
DeVonta Smith,Wide Receiver,Alabama,SEC,72.0,170.0,,,,,,,22.0,4,1,1,1,1,0,0,0.0,0.0,1.0,,,,,,66.0,117.0,23.0,1856.0,15.9,4.0,14.0,1.0,6.0,1.5,85.0,68.0,14.0,1256.0,18.5,,,,,,,,,,,57.0,42.0,6.0,693.0,16.5,,,,,,13.0,22.0,4.0,0.0,52.0,41.0,8.0,3.0,160.0,20.0,,,,,,21.5,84.0,11.0,1.0,237.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,,,
Kadarius Toney,Wide Receiver,Florida,SEC,72.0,193.0,4.39,9.0,39.5,136.0,6.88,4.25,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,12.0,12.0,1.0,0.0,12.0,57.0,70.0,10.0,984.0,14.1,19.0,50.0,1.0,161.0,8.5,66.0,10.0,1.0,194.0,19.4,12.0,26.0,0.0,59.0,4.9,22.2,51.0,6.0,0.0,133.0,45.0,25.0,1.0,260.0,10.4,21.0,34.0,0.0,240.0,11.4,22.1,37.0,7.0,0.0,155.0,23.0,15.0,0.0,152.0,10.1,14.0,36.0,1.0,120.0,8.6,12.6,50.0,11.0,1.0,139.0,21.0,21.0,1.0,0.0,21.0,-4.0,0.0,1.0,0.0,-4.0,15.0,15.0,1.0,0.0,15.0,,,,,,,,,1.0,1.0,0.0,,,
Rashod Bateman,Wide Receiver,Minnesota,Big Ten,72.0,190.0,4.39,,36.0,123.0,,,21.0,3,1,1,1,0,0,0,,,,,,,,,39.0,36.0,2.0,472.0,13.1,,,,,,66.0,60.0,11.0,1219.0,20.3,,,,,,,,,,,86.0,51.0,6.0,704.0,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Moore,Wide Receiver,Ole Miss,SEC,70.0,178.0,4.35,17.0,36.0,121.0,6.63,4.07,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,6.1,55.0,14.0,0.0,86.0,91.0,86.0,8.0,1193.0,13.9,14.0,13.0,0.0,64.0,4.6,55.0,67.0,6.0,850.0,12.7,4.0,3.0,0.0,-1.0,-0.3,18.5,28.0,12.0,0.0,222.0,50.0,36.0,2.0,398.0,11.1,3.0,6.0,0.0,8.0,2.7,,,,,,,,,,,,,,,,3.7,10.0,3.0,0.0,11.0,,,,,,3.4,15.0,10.0,0.0,34.0,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Rondale Moore,Wide Receiver,Purdue,Big Ten,67.0,181.0,4.28,,42.5,,6.65,4.06,21.0,3,1,1,1,0,0,0,,,,7.2,28.0,5.0,0.0,36.0,33.0,35.0,0.0,270.0,7.7,6.0,11.0,1.0,32.0,5.3,70.0,29.0,2.0,387.0,13.3,3.0,4.0,0.0,3.0,1.0,20.1,48.0,33.0,0.0,662.0,70.0,114.0,12.0,1258.0,11.0,21.0,76.0,2.0,213.0,10.1,,,,,,,,,,,,,,,,,,,,,13.7,34.0,11.0,0.0,151.0,6.8,24.0,12.0,0.0,82.0,,,,,,,,,,,2.0,1.0,0.0,2.0,1.0,0.0,,,
D'Wayne Eskridge,Wide Receiver,Western Michigan,Mid-American,69.0,190.0,4.38,,35.0,124.0,6.93,4.22,24.0,4,0,0,1,1,1,1,1.0,0.0,0.0,,,,,,85.0,33.0,8.0,768.0,23.3,2.0,27.0,0.0,43.0,21.5,43.0,3.0,0.0,73.0,24.3,,,,,,,,,,,84.0,38.0,3.0,776.0,20.4,,,,,,27.5,100.0,17.0,1.0,467.0,50.0,30.0,3.0,506.0,16.9,4.0,12.0,0.0,13.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutu Atwell,Wide Receiver,Louisville,ACC,69.0,155.0,4.42,,33.0,117.0,6.89,4.14,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,21.0,50.0,4.0,0.0,84.0,66.0,46.0,7.0,625.0,13.6,2.0,2.0,1.0,-2.0,-1.0,90.0,70.0,12.0,1276.0,18.2,8.0,11.0,0.0,29.0,3.6,,,,,,53.0,24.0,2.0,406.0,16.9,1.0,0.0,0.0,-5.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,0.0,,,,,,
Terrace Marshall Jr.,Wide Receiver,LSU,SEC,75.0,205.0,4.4,19.0,39.0,125.0,,,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,,,,,,75.0,48.0,10.0,731.0,15.2,,,,,,41.0,46.0,13.0,671.0,14.6,,,,,,,,,,,52.0,12.0,0.0,192.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Palmer,Wide Receiver,Tennessee,SEC,73.0,210.0,,,,,,,21.0,4,1,1,1,0,0,0,,,,,,,,,36.0,33.0,4.0,475.0,14.4,,,,,,33.0,34.0,1.0,457.0,13.4,2.0,4.0,0.0,4.0,2.0,,,,,,53.0,23.0,2.0,484.0,21.0,5.0,20.0,1.0,27.0,5.4,,,,,,18.0,9.0,0.0,98.0,10.9,1.0,6.0,0.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,Wide Receiver,North Carolina,ACC,73.0,189.0,4.46,18.0,35.0,128.0,6.87,4.35,21.0,3,1,1,1,0,0,0,,,,,,,,,87.0,54.0,8.0,1084.0,20.1,,,,,,66.0,51.0,12.0,1034.0,20.3,1.0,2.0,0.0,2.0,2.0,,,,,,21.0,17.0,1.0,173.0,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amari Rodgers,Wide Receiver,Clemson,ACC,70.0,212.0,4.52,19.0,33.0,121.0,7.07,4.31,21.0,4,1,1,1,0,0,0,2.0,1.0,0.0,7.9,53.0,19.0,0.0,151.0,83.0,77.0,7.0,1020.0,13.2,,,,,,87.0,30.0,4.0,426.0,14.2,2.0,29.0,1.0,50.0,25.0,22.0,22.0,1.0,0.0,22.0,68.0,55.0,4.0,575.0,10.5,1.0,5.0,0.0,5.0,5.0,,,,,,16.0,19.0,0.0,123.0,6.5,3.0,4.0,0.0,-9.0,-3.0,7.1,21.0,9.0,0.0,64.0,,,,,,7.7,62.0,39.0,1.0,299.0,36.0,36.0,1.0,0.0,36.0,7.5,8.0,2.0,0.0,15.0,,,,3.0,2.0,0.0,,,
Nico Collins,Wide Receiver,Michigan,Big Ten,76.0,215.0,4.43,14.0,37.5,125.0,6.78,4.29,22.0,4,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,76.0,37.0,7.0,729.0,19.7,,,,,,,,,,,52.0,38.0,6.0,632.0,16.6,,,,,,,,,,,13.0,3.0,0.0,27.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Schwartz,Wide Receiver,Auburn,SEC,72.0,186.0,4.27,,32.0,123.0,7.13,4.25,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,,,,,,91.0,54.0,3.0,652.0,12.1,4.0,1.0,0.0,-6.0,-1.5,50.0,41.0,1.0,440.0,10.7,11.0,57.0,2.0,118.0,10.7,,,,,,76.0,23.0,2.0,392.0,17.0,27.0,23.0,5.0,211.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,,,
Dez Fitzpatrick,Wide Receiver,Louisville,ACC,74.0,208.0,4.43,,35.0,,7.09,4.26,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,,,,,,82.0,43.0,3.0,833.0,19.4,,,,,,74.0,35.0,6.0,635.0,18.1,,,,,,,,,,,43.0,31.0,3.0,422.0,13.6,,,,,,,,,,,48.0,45.0,9.0,699.0,15.5,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
