name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
L'Jarius Sneed,Safety,Louisiana Tech,Conference USA,73.0,192.0,4.37,12.0,41.0,131.0,,,23.0,4,0,1,1,1,1,0,6.0,0.0,0.0,43.0,1.0,3.5,73.0,,,,14.3,3.0,1.0,43.0,22.7,3.0,1.0,68.0,-5.0,1.0,0.0,-5.0,48.0,1.0,1.0,48.0,,,,6.0,0.0,1.5,39.0,1.0,1.0,53.0,6.0,0.0,1.0,29.0,0.0,1.0,30.0,,,,,,,0.0,0.0,0.0,12.0,1.0,0.0,17.0
Kenny Robinson,Safety,West Virginia,Big 12,74.0,198.0,,,,,,,21.0,3,1,1,1,0,0,0,,,,,,,,,,,14.5,4.0,0.0,58.0,,,,,56.7,3.0,2.0,170.0,,,,,0.0,0.0,1.0,4.0,0.0,0.0,52.0,0.0,2.0,77.0,3.0,0.0,0.0,32.0,2.0,2.0,46.0,,,,,,,,,,,,,
Daniel Thomas,Safety,Auburn,SEC,70.0,215.0,4.51,24.0,37.0,125.0,,,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,47.0,0.0,5.5,74.0,0.0,0.0,1.0,14.5,2.0,1.0,29.0,,,,,0.0,1.0,0.0,0.0,14.5,2.0,0.0,29.0,0.0,0.0,1.0,3.0,3.0,0.0,48.0,1.0,2.0,74.0,3.0,2.0,0.0,19.0,0.0,0.0,35.0,0.0,0.0,1.0,,,,1.0,0.0,0.0,10.0,0.0,1.5,16.0
Alohi Gilman,Safety,Notre Dame,FBS Independents,71.0,201.0,4.6,17.0,32.0,119.0,6.81,4.08,22.0,4,1,1,1,1,0,0,2.0,1.0,1.0,32.0,0.0,3.0,74.0,0.0,0.0,1.0,27.0,2.0,0.0,54.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,5.0,2.0,0.0,54.0,0.0,3.0,86.0,,,,,,,,,,,0.0,0.0,2.0,5.0,0.0,0.0,50.0,0.0,5.0,76.0
Antoine Brooks Jr.,Safety,Maryland,Big Ten,71.0,220.0,4.64,18.0,34.5,,,,22.0,4,0,1,1,1,0,0,5.0,0.0,0.0,69.0,0.0,8.5,87.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,3.0,1.0,2.5,47.0,0.0,9.5,68.0,1.0,0.0,1.0,53.0,0.0,9.5,77.0,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0
Jordan Fuller,Safety,Ohio State,Big Ten,74.0,203.0,4.67,,35.5,122.0,,4.27,22.0,4,1,1,1,1,0,0,4.0,0.0,0.0,42.0,0.0,0.0,62.0,,,,4.0,1.0,0.0,4.0,13.0,2.0,0.0,26.0,17.0,3.0,0.0,51.0,,,,,0.0,0.0,2.0,4.0,0.0,0.0,61.0,0.0,2.5,81.0,2.0,0.0,0.0,57.0,0.0,3.0,70.0,,,,,,,0.0,0.0,0.0,7.0,0.0,0.0,11.0
Josh Metellus,Safety,Michigan,Big Ten,71.0,209.0,4.55,20.0,36.5,124.0,6.94,4.4,22.0,4,1,1,1,1,0,0,5.0,0.0,0.0,41.0,0.0,4.0,74.0,0.0,0.0,1.0,34.7,3.0,1.0,104.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,5.0,0.0,0.0,31.0,1.0,3.5,47.0,3.0,0.0,0.0,29.0,0.0,1.0,51.0,,,,,,,0.0,0.0,1.0,8.0,0.0,1.0,15.0
Kamren Curl,Safety,Arkansas,SEC,73.0,206.0,4.6,24.0,34.5,125.0,,,21.0,3,1,1,1,0,0,0,2.0,0.0,2.0,46.0,0.0,4.0,76.0,0.0,0.0,2.0,,,,,11.0,2.0,0.0,22.0,,,,,,,,,,,,5.0,1.0,0.0,27.0,0.0,0.0,53.0,8.0,0.0,0.0,32.0,0.0,0.0,46.0,,,,,,,,,,,,,
Geno Stone,Safety,Iowa,Big Ten,70.0,207.0,4.62,12.0,33.5,116.0,,,21.0,3,1,1,1,0,0,0,4.0,2.0,1.0,46.0,0.0,3.0,70.0,,,,6.0,4.0,1.0,24.0,0.0,1.0,0.0,0.0,19.0,1.0,0.0,19.0,,,,,,,,3.0,0.0,0.0,29.0,1.0,1.0,39.0,0.0,0.0,0.0,5.0,0.0,0.0,17.0,1.0,0.0,0.0,,,,,,,,,,
Vernon Scott,Safety,TCU,Big 12,73.0,206.0,,,,,,,22.0,3,0,1,1,1,0,0,7.0,0.0,1.0,29.0,1.0,2.0,44.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,98.0,1.0,1.0,98.0,,,,,,,,,,,,2.0,0.0,0.0,17.0,0.0,0.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,,,,,,,,,,
Chris Jackson,Safety,Marshall,Conference USA,70.0,193.0,,,,,,,22.0,4,1,1,1,1,0,0,11.0,0.0,0.0,17.0,0.0,0.0,25.0,,,,21.0,1.0,0.0,21.0,35.0,1.0,0.0,35.0,36.0,3.0,1.0,108.0,18.0,2.0,0.0,36.0,1.0,0.0,1.0,15.0,0.0,0.0,38.0,0.0,0.0,59.0,10.0,0.0,0.5,31.0,1.0,2.5,62.0,1.0,1.0,1.0,,,,9.0,0.0,1.5,22.0,0.0,4.0,41.0
Brian Cole II,Safety,Mississippi State,SEC,74.0,213.0,4.52,,,,,,23.0,2,0,0,0,1,1,0,2.0,3.0,2.0,38.0,0.0,7.5,67.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1.0,5.0,0.0,3.0,11.0,,,,,,,,,,,,,,,,,,,,
