name,position,college,conference,height,weight,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_kicking_FGA,Y0_kicking_FGM,Y0_kicking_LONG,Y0_kicking_PCT,Y0_kicking_PTS,Y0_kicking_XPA,Y0_kicking_XPM,Y1_kicking_FGA,Y1_kicking_FGM,Y1_kicking_LONG,Y1_kicking_PCT,Y1_kicking_PTS,Y1_kicking_XPA,Y1_kicking_XPM,Y2_kicking_FGA,Y2_kicking_FGM,Y2_kicking_LONG,Y2_kicking_PCT,Y2_kicking_PTS,Y2_kicking_XPA,Y2_kicking_XPM,Y3_kicking_FGA,Y3_kicking_FGM,Y3_kicking_LONG,Y3_kicking_PCT,Y3_kicking_PTS,Y3_kicking_XPA,Y3_kicking_XPM
Andres Borregales,Place Kicker,Miami,ACC,71.0,170.0,22.0,4,1,1,1,1,0,0,19.0,18.0,56.0,0.947,116.0,62.0,62.0,26.0,22.0,51.0,0.846,110.0,45.0,44.0,20.0,17.0,49.0,0.85,83.0,32.0,32.0,21.0,17.0,55.0,0.81,96.0,45.0,45.0
Tyler Loop,Place Kicker,Arizona,Big 12,71.0,191.0,24.0,4,0,0,1,1,1,1,23.0,18.0,62.0,0.783,77.0,25.0,23.0,24.0,19.0,52.0,0.792,110.0,53.0,53.0,21.0,18.0,48.0,0.857,92.0,38.0,38.0,12.0,12.0,42.0,1.0,48.0,12.0,12.0
