name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,draft_year
D'Ante Smith,Offensive Tackle,East Carolina,American Athletic,77.0,305.0,5.29,24.0,29.0,113.0,7.96,4.81,23.0,0,0,0,0,0,0,0,2021
Tommy Doyle,Offensive Tackle,Miami (OH),Mid-American,80.0,320.0,,,,,,,23.0,0,0,0,0,0,0,0,2021
William Sherman,Offensive Tackle,Colorado,Pac-12,75.0,304.0,5.19,23.0,26.0,108.0,7.71,4.82,22.0,0,0,0,0,0,0,0,2021
Stone Forsythe,Offensive Tackle,Florida,SEC,80.0,307.0,5.14,25.0,27.5,103.0,7.47,4.65,23.0,0,0,0,0,0,0,0,2021
Cole Van Lanen,Offensive Tackle,Wisconsin,Big Ten,76.0,305.0,5.11,22.0,30.0,107.0,7.34,4.64,23.0,3,0,0,1,1,1,0,2021
Larnel Coleman,Offensive Tackle,Massachusetts,FBS Independents,78.0,315.0,,,,,,,23.0,0,0,0,0,0,0,0,2021
Will Fries,Offensive Tackle,Penn State,Big Ten,78.0,309.0,5.37,24.0,31.0,115.0,7.77,4.53,23.0,0,0,0,0,0,0,0,2021
Ikem Ekwonu,Offensive Tackle,NC State,ACC,76.0,310.0,4.93,,29.0,108.0,7.82,4.73,21.0,0,0,0,0,0,0,0,2022
Charles Cross,Offensive Tackle,Mississippi State,SEC,77.0,307.0,4.95,,26.0,112.0,7.88,4.61,21.0,0,0,0,0,0,0,0,2022
Tyler Smith,Offensive Tackle,Tulsa,American Athletic,77.0,324.0,5.02,,27.5,105.0,7.78,4.65,21.0,0,0,0,0,0,0,0,2022
Luke Goedeke,Offensive Tackle,Central Michigan,Mid-American,77.0,312.0,,26.0,,,,,23.0,0,0,0,0,0,0,0,2022
Abraham Lucas,Offensive Tackle,Washington State,Pac-12,78.0,315.0,4.92,24.0,27.0,107.0,7.25,4.4,23.0,0,0,0,0,0,0,0,2022
Bernhard Raimann,Offensive Tackle,Central Michigan,Mid-American,78.0,303.0,5.05,30.0,30.5,117.0,7.46,4.49,24.0,0,0,0,0,0,0,0,2022
Daniel Faalele,Offensive Tackle,Minnesota,Big Ten,80.0,384.0,,24.0,,,,,22.0,0,0,0,0,0,0,0,2022
Austin Deculus,Offensive Tackle,LSU,SEC,77.0,321.0,5.08,,28.5,109.0,,4.99,23.0,0,0,0,0,0,0,0,2022
Luke Tenuta,Offensive Tackle,Virginia Tech,ACC,80.0,319.0,5.41,,26.0,104.0,,4.77,23.0,0,0,0,0,0,0,0,2022
Thayer Munford,Offensive Tackle,Ohio State,Big Ten,78.0,328.0,5.39,,22.0,104.0,,,22.0,2,0,0,1,1,0,0,2022
Rasheed Walker,Offensive Tackle,Penn State,Big Ten,78.0,313.0,,,,,,,22.0,0,0,0,0,0,0,0,2022
AJ Arcuri,Offensive Tackle,Michigan State,Big Ten,79.0,320.0,,,,,,,25.0,0,0,0,0,0,0,0,2022
