name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Malaki Starks,Safety,Georgia,SEC,73.0,197.0,4.5,,33.0,,7.26,4.45,21.0,3,1,1,1,0,0,0,3.0,0.0,0.0,52.0,0.0,4.0,77.0,,,,15.7,3.0,0.0,47.0,0.0,1.0,0.0,0.0,21.0,2.0,0.0,42.0,,,,,,,,7.0,0.0,0.0,31.0,0.0,0.0,52.0,7.0,0.0,0.0,37.0,0.0,0.5,60.0,,,,,,,,,,,,,
Nick Emmanwori,Safety,South Carolina,SEC,75.0,220.0,4.38,20.0,43.0,138.0,,,21.0,3,1,1,1,0,0,0,2.0,0.0,0.0,57.0,2.0,3.0,88.0,,,,0.0,2.0,0.0,0.0,26.8,4.0,2.0,107.0,,,,,,,,,,,,8.0,1.0,0.0,47.0,0.0,0.0,71.0,1.0,2.0,0.0,59.0,0.0,1.0,78.0,0.0,0.0,1.0,,,,,,,,,,
Andrew Mukuba,Safety,Texas,SEC,71.0,186.0,4.45,,,,,,22.0,4,1,1,1,1,0,0,6.0,1.0,0.0,41.0,0.0,4.0,69.0,,,,,,,,2.4,5.0,0.0,12.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,1.0,6.0,0.0,0.0,25.0,0.0,1.5,35.0,3.0,0.0,0.0,25.0,0.0,0.0,40.0,,,,0.0,0.0,1.0,6.0,1.0,1.0,30.0,0.0,2.0,47.0
Kevin Winston Jr.,Safety,Penn State,Big Ten,74.0,215.0,,,,,,,21.0,3,1,1,1,0,0,0,0.0,0.0,0.0,8.0,0.0,0.0,13.0,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,2.0,5.0,0.0,0.0,35.0,0.0,2.5,60.0,0.0,0.0,0.0,10.0,0.0,1.0,14.0,,,,,,,,,,,,,
Jonas Sanker,Safety,Virginia,ACC,72.0,206.0,4.48,12.0,36.5,128.0,,,22.0,4,1,1,1,1,0,0,4.0,1.0,2.0,66.0,1.0,9.0,98.0,0.0,0.0,2.0,,,,,45.0,1.0,0.0,45.0,14.0,1.0,0.0,14.0,,,,,0.0,0.0,2.0,11.0,1.0,0.0,73.0,0.0,4.0,107.0,2.0,0.0,0.0,36.0,0.0,0.5,63.0,0.0,0.0,2.0,,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0
Xavier Watts,Safety,Notre Dame,FBS Independents,72.0,204.0,,,,,,,23.0,4,0,1,1,1,1,0,9.0,4.0,0.0,53.0,1.0,3.5,83.0,0.0,0.0,1.0,19.6,7.0,0.0,137.0,22.7,6.0,1.0,136.0,,,,,,,,,0.0,0.0,1.0,3.0,0.0,0.5,28.0,0.0,3.0,47.0,2.0,0.0,1.0,22.0,0.0,2.0,36.0,,,,,,,0.0,0.0,0.0,11.0,0.0,0.0,15.0
Craig Woodson,Safety,California,ACC,72.0,200.0,4.45,13.0,36.0,127.0,,,24.0,3,0,0,0,1,1,1,7.0,1.0,0.0,45.0,0.0,2.5,70.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,20.5,2.0,1.0,41.0,,,,,,,,4.0,0.0,0.5,54.0,0.0,4.0,80.0,3.0,2.0,0.0,54.0,1.0,3.0,76.0,,,,,,,,,,,,,
Billy Bowman Jr.,Safety,Oklahoma,SEC,70.0,192.0,4.42,17.0,35.5,123.0,,,22.0,4,1,1,1,1,0,0,3.0,1.0,0.0,34.0,1.0,2.5,55.0,1.0,0.0,2.0,39.7,6.0,3.0,238.0,1.0,2.0,0.0,2.0,3.7,3.0,0.0,11.0,,,,,,,,3.0,0.0,0.0,36.0,3.0,2.5,60.0,6.0,0.0,0.0,34.0,0.0,1.0,56.0,1.0,0.0,3.0,,,,1.0,0.0,0.0,16.0,0.0,2.0,20.0
Lathan Ransom,Safety,Ohio State,Big Ten,72.0,206.0,,,,,,,23.0,4,0,1,1,1,1,0,2.0,1.0,1.0,46.0,1.0,8.5,75.0,0.0,0.0,1.0,15.0,1.0,0.0,15.0,24.0,1.0,0.0,24.0,0.0,1.0,0.0,0.0,,,,,,,,2.0,1.0,0.0,21.0,0.0,1.5,34.0,3.0,0.0,1.5,44.0,0.0,3.5,65.0,0.0,0.0,1.0,,,,5.0,0.0,1.0,21.0,0.0,2.5,38.0
Malachi Moore,Safety,Alabama,SEC,71.0,196.0,,,,,,,23.0,4,0,1,1,1,1,0,8.0,3.0,1.0,40.0,0.0,3.0,70.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,36.0,2.0,0.0,72.0,,,,,-1.0,1.0,0.0,-1.0,,,,4.0,1.0,0.0,30.0,0.0,5.0,51.0,5.0,0.0,1.5,17.0,1.0,1.5,28.0,,,,,,,1.0,1.0,0.0,10.0,0.0,2.0,16.0
Dante Trader Jr.,Safety,Maryland,Big Ten,71.0,196.0,,12.0,31.0,117.0,7.09,4.32,22.0,4,1,1,1,1,0,0,4.0,0.0,0.0,37.0,0.0,0.0,59.0,,,,10.5,2.0,0.0,21.0,17.0,1.0,0.0,17.0,23.0,2.0,0.0,46.0,,,,,,,,7.0,0.0,0.0,38.0,0.0,0.5,53.0,3.0,1.0,0.0,32.0,0.0,0.5,58.0,,,,,,,1.0,0.0,0.0,14.0,0.0,1.0,16.0
