name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Taylor Moton,Offensive Tackle,Western Michigan,Mid-American,77.0,319.0,5.18,23.0,30.5,109.0,7.73,4.58,23.0,0,0,0,0,0,0,0
Antonio Garcia,Offensive Tackle,Troy,Sun Belt,78.0,302.0,5.15,24.0,31.0,108.0,7.98,4.94,23.0,0,0,0,0,0,0,0
Zach Banner,Offensive Tackle,USC,Pac-12,80.0,353.0,5.58,22.0,23.5,92.0,8.31,5.21,23.0,0,0,0,0,0,0,0
