name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_rushing_CAR,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Caleb Williams,Quarterback,USC,Pac-12,0.375,0.4523809523809524,,,,,,0.25,3,0,1,1,1,0,0,0.43238095238095237,0.4470899470899471,0.8,0.6363636363636365,0.37254901960784315,0.5149625935162094,0.576923076923077,0.3619047619047619,0.55,0.20492241840556447,0.4736842105263158,0.43023255813953487,0.47619047619047616,0.30670553935860057,0.5592105263157895,0.4785276073619632,0.375,0.5383244206773619,0.6206896551724137,0.7845659163987139,0.7448275862068966,0.7252747252747253,0.4000000000000001,0.9318181818181818,0.974025974025974,0.28571428571428564,0.3250388802488336,0.30357142857142855,0.6923076923076923,0.8206106870229007,0.5526315789473685,0.41874726237406923,0.8504672897196262,,,,,,,,,,,,2024,0.9,0.9,1.0,,0.9
Jayden Daniels,Quarterback,LSU,SEC,0.75,0.35714285714285715,,,,,,0.5,4,0,1,1,1,1,0,0.3161904761904762,0.36772486772486773,0.8666666666666667,0.7851239669421486,0.5686274509803921,0.552161263507897,1.0192307692307692,0.5333333333333333,0.5,0.7501337613697164,1.105263157894737,0.7131782945736435,0.5238095238095238,0.6,0.6513157894736842,0.8404907975460123,0.375,0.7771836007130125,0.5960591133004925,0.6061093247588425,0.593103448275862,0.8351648351648352,0.4656250000000001,0.36363636363636365,0.6169931763152102,0.14285714285714282,0.46500777604976673,0.43973214285714285,0.23076923076923073,0.8320610687022901,0.2631578947368421,0.5212439772229522,0.7383177570093459,0.164021164021164,0.3076923076923077,0.32252085264133457,0.7984496124031009,0.21372031662269128,0.19747899159663865,0.9333333333333333,0.551876379690949,0.21739130434782608,0.24782923299565845,0.6372549019607845,2024,1.0,1.0,0.9,0.9,1.0
Drake Maye,Quarterback,North Carolina,ACC,0.75,0.6666666666666666,,,,,,0.25,3,0,1,1,1,0,0,0.5028571428571429,0.455026455026455,0.5333333333333333,0.4173553719008264,0.2549019607843137,0.5097672485453034,0.40384615384615385,0.4238095238095238,0.45,0.38362760834670945,0.719298245614035,0.7054263565891473,0.3333333333333333,0.4915451895043732,0.5855263157894737,0.03067484662576687,0.0,0.19964349376114082,0.8522167487684729,0.8118971061093248,0.767816091954023,0.6153846153846154,0.39375000000000004,0.8409090909090909,0.9269205370900286,0.2232142857142857,0.012441679626749611,0.015625,1.0,0.8905852417302798,0.02631578947368421,0.019491896627244855,0.8317757009345795,,,,,,,,,,,,2024,0.9,0.9,0.9,,0.9
Michael Penix Jr.,Quarterback,Washington,Pac-12,0.5,0.5,,,,,,0.75,4,0,0,1,1,1,1,0.7523809523809524,0.7037037037037037,0.4,0.5,0.49019607843137253,0.7788861180382377,0.4615384615384617,0.05714285714285714,0.15,0.1476725521669342,0.3859649122807018,0.12790697674418605,0.19047619047619047,0.13760932944606413,0.506578947368421,0.09815950920245399,0.125,0.12299465240641712,0.27586206896551724,0.8729903536977492,0.8137931034482758,0.5604395604395604,0.36250000000000004,0.6818181818181818,0.9973585736297601,0.2232142857142857,0.24883359253499224,0.19419642857142858,0.46153846153846156,0.683206106870229,0.10526315789473684,0.20565045992115638,0.5420560747663552,0.08465608465608465,0.15384615384615385,0.13901760889712697,0.3798449612403101,0.5699208443271768,0.5084033613445378,0.7333333333333334,0.5055187637969095,0.6086956521739131,0.5908104196816208,0.5588235294117647,2024,0.9,0.9,1.0,1.0,0.9
J.J. McCarthy,Quarterback,Michigan,Big Ten,0.625,0.5714285714285714,,,,0.09210526315789513,0.22388059701492594,0.0,3,1,1,1,0,0,0,0.32571428571428573,0.3783068783068783,0.8666666666666667,0.7892561983471073,0.21568627450980393,0.38154613466334164,0.5,0.19523809523809524,0.15,0.25147137506688066,0.6491228070175439,0.26356589147286824,0.23809523809523808,0.26239067055393583,0.625,0.15950920245398773,0.125,0.2549019607843137,0.5714285714285714,0.5,0.45977011494252873,0.7252747252747253,0.340625,0.4772727272727273,0.574290116662998,0.2232142857142857,0.08864696734059098,0.07589285714285714,0.8461538461538461,0.7328244274809159,0.13157894736842105,0.11300919842312747,0.8130841121495327,,,,,,,,,,,,2024,1.0,1.0,1.0,,1.0
Bo Nix,Quarterback,Oregon,Pac-12,0.5,0.4523809523809524,,,,,,0.75,2,0,0,0,0,1,1,0.5885714285714285,0.7063492063492064,0.9333333333333333,1.0,0.6666666666666666,0.6967996674979219,0.6153846153846153,0.14761904761904762,0.3,0.2685928303905832,0.7456140350877193,0.3333333333333333,0.6666666666666666,0.3836734693877551,0.7171052631578947,,,,,0.6382636655948553,0.6574712643678161,0.6153846153846154,0.575,0.6363636363636364,0.7668941228263262,0.25892857142857145,,,,,,,,,,,,,,,,,,,2024,0.9,0.9,,,0.9
Spencer Rattler,Quarterback,South Carolina,SEC,0.25,0.38095238095238093,0.0896819137962437,0.5714285714285714,0.3870967741935484,0.605263157894737,0.43283582089552247,0.5,4,0,1,1,1,1,0,0.4533333333333333,0.4708994708994709,0.6,0.6487603305785121,0.1568627450980392,0.422069825436409,0.30769230769230765,0.35714285714285715,0.2,0.19796682718031033,0.45614035087719296,0.2713178294573643,0.14285714285714285,0.11720116618075802,0.3881578947368421,0.25766871165644173,0.1875,0.21301247771836007,0.43349753694581283,0.6157556270096463,0.5839080459770115,0.34065934065934067,0.4000000000000001,0.38636363636363635,0.6385648250055029,0.15178571428571422,0.28771384136858474,0.3125,0.6153846153846154,0.9529262086513994,0.2894736842105263,0.32479194042925974,0.7383177570093459,0.41798941798941797,0.46153846153846156,0.26413345690454126,0.4263565891472868,0.8284960422163589,0.8907563025210085,0.5333333333333333,0.7549668874172186,1.2173913043478262,1.0908104196816208,0.7647058823529412,2024,1.0,1.0,1.0,1.0,1.0
Jordan Travis,Quarterback,Florida State,ACC,0.375,0.11904761904761904,,,,,,0.75,4,0,0,1,1,1,1,0.31047619047619046,0.291005291005291,1.0,0.4421487603305785,0.17647058823529413,0.33042394014962595,0.40384615384615385,0.23809523809523808,0.35,0.2375601926163724,0.5789473684210525,0.31007751937984496,0.3333333333333333,0.3271137026239067,0.6710526315789473,0.8159509202453987,0.4375,0.6167557932263814,0.541871921182266,0.5498392282958199,0.5011494252873563,0.7252747252747253,0.32187499999999997,0.5227272727272727,0.6832489544353951,0.28571428571428564,0.2986003110419907,0.27232142857142855,0.5384615384615384,0.8002544529262087,0.39473684210526316,0.33705650459921155,0.7383177570093459,0.5026455026455027,0.5384615384615384,0.6367006487488415,0.7209302325581396,0.33773087071240104,0.29411764705882354,0.6,0.479028697571744,0.2608695652173913,0.37626628075253254,0.6176470588235294,2024,0.9,0.9,0.9,0.9,0.9
Joe Milton III,Quarterback,Tennessee,SEC,0.875,0.9523809523809523,,,,,,0.75,4,0,0,1,1,1,1,0.36952380952380953,0.35185185185185186,0.8,0.47933884297520657,0.17647058823529413,0.34476309226932667,0.2884615384615385,0.2619047619047619,0.35,0.30337078651685395,0.7017543859649122,0.06201550387596899,0.0,0.12886297376093295,0.6184210526315789,0.1656441717791411,0.125,0.25935828877005346,0.5714285714285714,0.11414790996784566,0.10344827586206896,1.0,0.340625,0.20454545454545456,0.18952234206471494,0.5267857142857143,0.09331259720062209,0.07142857142857142,1.0,0.6564885496183206,0.05263157894736842,0.0821287779237845,0.5607476635514019,0.19047619047619047,0.07692307692307693,0.21686746987951808,0.49612403100775193,0.3641160949868074,0.3277310924369748,0.7333333333333334,0.5165562913907283,0.17391304347826086,0.3838639652677279,0.5686274509803921,2024,1.0,1.0,1.0,1.0,1.0
Devin Leary,Quarterback,Kentucky,SEC,0.375,0.47619047619047616,,,,,,0.75,4,0,0,1,1,1,1,0.4,0.2962962962962963,0.33333333333333337,0.12809917355371866,0.27450980392156865,0.33063175394846217,0.19230769230769235,0.09047619047619047,0.05,0.11128945960406635,0.2456140350877193,0.08139534883720931,0.14285714285714285,0.08454810495626822,0.3355263157894737,0.32515337423312884,0.125,0.07932263814616755,0.27586206896551724,0.29260450160771706,0.25287356321839083,0.7802197802197802,0.2312499999999999,0.22727272727272727,0.2542372881355932,0.06249999999999993,0.6671850699844479,0.6316964285714286,0.6153846153846154,0.8358778625954199,0.9210526315789473,0.7518615856329391,0.7476635514018692,0.08994708994708994,0.0,0.12233549582947173,0.3023255813953488,0.2796833773087071,0.2647058823529412,0.8666666666666667,0.5805739514348784,0.34782608695652173,0.3122286541244573,0.6176470588235294,2024,1.0,0.9,0.9,0.9,1.0
