name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Tyler Linderbaum,Center,Iowa,Big Ten,74.0,296.0,,,,,,,22.0,0,0,0,0,0,0,0
Cameron Jurgens,Center,Nebraska,Big Ten,75.0,303.0,4.92,25.0,,,,,23.0,0,0,0,0,0,0,0
Luke Fortner,Center,Kentucky,SEC,76.0,307.0,5.21,,24.0,102.0,7.75,4.95,24.0,0,0,0,0,0,0,0
Luke Wattenberg,Center,Washington,Pac-12,76.0,299.0,5.2,,29.5,113.0,7.45,4.57,24.0,0,0,0,0,0,0,0
Doug Kramer,Center,Illinois,Big Ten,,,,,,,,,24.0,0,0,0,0,0,0,0
Dawson Deaton,Center,Texas Tech,Big 12,78.0,306.0,5.12,24.0,29.0,108.0,7.52,4.49,23.0,0,0,0,0,0,0,0
