name,position,college,conference,height,weight,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_kicking_FGA,Y0_kicking_FGM,Y0_kicking_LONG,Y0_kicking_PCT,Y0_kicking_PTS,Y0_kicking_XPA,Y0_kicking_XPM,Y1_kicking_FGA,Y1_kicking_FGM,Y1_kicking_LONG,Y1_kicking_PCT,Y1_kicking_PTS,Y1_kicking_XPA,Y1_kicking_XPM,Y2_kicking_FGA,Y2_kicking_FGM,Y2_kicking_LONG,Y2_kicking_PCT,Y2_kicking_PTS,Y2_kicking_XPA,Y2_kicking_XPM,Y3_kicking_FGA,Y3_kicking_FGM,Y3_kicking_LONG,Y3_kicking_PCT,Y3_kicking_PTS,Y3_kicking_XPA,Y3_kicking_XPM
Matt Gay,Place Kicker,Utah,Pac-12,72.0,232.0,25.0,2,0,0,0,0,0,1,30.0,25.0,55.0,0.833,123.0,45.0,45.0,34.0,30.0,56.0,0.882,130.0,40.0,40.0,,,,,,,,,,,,,,
Austin Seibert,Place Kicker,Oklahoma,Big 12,69.0,213.0,22.0,4,1,1,1,1,0,0,16.0,14.0,42.0,0.875,138.0,88.0,87.0,21.0,17.0,51.0,0.81,132.0,81.0,81.0,15.0,11.0,39.0,0.733,105.0,74.0,72.0,23.0,18.0,46.0,0.783,124.0,72.0,70.0
