name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Mekhi Becton,Offensive Tackle,Louisville,ACC,79.0,364.0,5.1,23.0,,,,,21.0,0,0,0,0,0,0,0
Tristan Wirfs,Offensive Tackle,Iowa,Big Ten,77.0,320.0,4.85,24.0,36.5,121.0,7.65,4.68,21.0,0,0,0,0,0,0,0
Austin Jackson,Offensive Tackle,USC,Pac-12,77.0,322.0,5.07,27.0,31.0,115.0,7.95,,21.0,0,0,0,0,0,0,0
Ezra Cleveland,Offensive Tackle,Boise State,Mountain West,78.0,311.0,4.93,30.0,30.0,111.0,7.26,4.46,22.0,0,0,0,0,0,0,0
Lucas Niang,Offensive Tackle,TCU,Big 12,78.0,315.0,,,,,,,22.0,0,0,0,0,0,0,0
Matt Peart,Offensive Tackle,UConn,American Athletic,79.0,318.0,5.06,26.0,30.0,113.0,8.01,4.92,23.0,0,0,0,0,0,0,0
Cameron Clark,Offensive Tackle,Charlotte,Conference USA,77.0,308.0,5.29,26.0,25.0,101.0,,,22.0,0,0,0,0,0,0,0
Colton McKivitz,Offensive Tackle,West Virginia,Big 12,78.0,306.0,5.35,20.0,26.0,106.0,7.87,5.0,24.0,0,0,0,0,0,0,0
Blake Brandel,Offensive Tackle,Oregon State,Pac-12,79.0,303.0,,,,,,,23.0,0,0,0,0,0,0,0
Simon Stepaniak,Offensive Tackle,Indiana,Big Ten,76.0,313.0,,37.0,,,,,23.0,0,0,0,0,0,0,0
Prince Tega Wanogho,Offensive Tackle,Auburn,SEC,77.0,308.0,,,,,,,22.0,0,0,0,0,0,0,0
