name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y2_college,Y3_college,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS
Jalen Huskey,Safety,Maryland,Big Ten,73.0,196,,,,,,2,0,0,0,0,0,0,Maryland,2.0,0.0,0.0,58.0,0.0,1.5,72.0,,,,19.5,4.0,0.0,78.0,Maryland,0.0,0.0,1.0,1.0,0.0,0.0,21.0,0.0,2.5,45.0,12.3,3.0,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeShon Singleton,Safety,Nebraska,Big Ten,75.0,205,,,39.5,130.0,,4,0,0,0,0,0,0,Nebraska,4.0,2.0,1.0,44.0,0.0,4.0,70.0,0.0,0.0,1.0,3.5,2.0,0.0,7.0,Nebraska,0.0,0.0,1.0,3.0,0.0,0.0,45.0,0.0,1.0,71.0,7.0,1.0,0.0,7.0,1.0,0.0,0.0,8.0,0.0,2.5,19.0,,,,,,,,Nebraska,Nebraska,0.0,0.0,0.0,1.0,0.0,0.0,3.0,,,,,,,
Bishop Fitzgerald,Safety,USC,Pac-12,71.0,201,4.55,12.0,33.0,,,3,0,0,0,0,0,0,USC,3.0,0.0,1.0,34.0,1.0,2.5,51.0,,,,17.2,5.0,1.0,86.0,NC State,,,,8.0,2.0,0.0,35.0,0.0,7.0,55.0,15.7,3.0,0.0,47.0,3.0,0.0,0.0,16.0,0.0,0.5,42.0,,,,0.0,2.0,0.0,0.0,NC State,,,,,,,,,,,,,,,
Lorenzo Styles Jr.,Safety,Ohio State,Big Ten,73.0,194,4.27,,39.0,,,4,0,0,0,0,0,0,Ohio State,2.0,0.0,0.0,18.0,1.0,1.5,30.0,,,,,,,,Ohio State,,,,4.0,0.0,0.0,10.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,Notre Dame,,,,,,,,,,,,,,
Louis Moore,Safety,Indiana,Big Ten,71.0,191,,,,,,4,0,0,0,0,0,0,Indiana,3.0,0.0,0.0,45.0,0.0,2.5,90.0,,,,10.6,5.0,0.0,53.0,Ole Miss,0.0,0.0,1.0,1.0,0.0,0.5,17.0,0.0,2.0,37.0,,,,,1.0,0.0,0.0,60.0,1.0,1.0,84.0,,,,16.3,3.0,1.0,49.0,Indiana,Indiana,0.0,0.0,1.0,6.0,0.0,1.0,9.0,,,,,,,
Jakobe Thomas,Safety,Miami (FL),,73.0,211,,,,,,2,0,0,0,0,0,0,Miami,6.0,0.0,3.5,45.0,1.0,4.0,75.0,0.0,0.0,2.0,14.6,5.0,1.0,73.0,Tennessee,0.0,0.0,1.0,2.0,0.0,1.0,14.0,0.0,3.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Nwankpa,Safety,Iowa,Big Ten,74.0,208,4.48,,37.5,,,4,0,0,0,0,0,0,Iowa,0.0,1.0,0.0,50.0,0.0,1.0,76.0,,,,28.0,1.0,0.0,28.0,Iowa,,,,1.0,0.0,0.0,29.0,0.0,0.0,41.0,,,,,2.0,2.0,1.0,27.0,0.0,2.0,42.0,,,,0.0,1.0,0.0,0.0,Iowa,Iowa,1.0,0.0,0.0,4.0,1.0,0.0,4.0,,,,52.0,1.0,1.0,52.0
Robert Spears-Jennings,Safety,Oklahoma,SEC,74.0,205,4.32,,35.0,125.0,4.43,4,0,0,0,0,0,0,Oklahoma,2.0,0.0,0.0,33.0,0.0,1.5,59.0,,,,37.0,1.0,0.0,37.0,Oklahoma,0.0,0.0,2.0,1.0,0.0,2.5,43.0,0.0,5.0,66.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,1.0,35.0,,,,,,,,Oklahoma,Oklahoma,0.0,0.0,0.0,7.0,0.0,0.5,13.0,,,,,,,
Dalton Johnson,Safety,Arizona,Pac-12,71.0,192,4.41,,36.0,119.0,,2,0,0,0,0,0,0,Arizona,7.0,0.0,1.0,48.0,0.0,2.0,97.0,0.0,0.0,1.0,9.8,4.0,0.0,39.0,Arizona,,,,2.0,0.0,0.0,39.0,0.0,5.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Brown,Safety,Wisconsin,Big Ten,73.0,215,,,,,,4,0,0,0,0,0,0,Wisconsin,3.0,0.0,0.0,28.0,0.0,0.0,41.0,,,,,,,,Wisconsin,,,,3.0,0.0,1.0,30.0,0.0,2.0,51.0,,,,,2.0,0.0,1.0,26.0,0.0,1.0,36.0,,,,,,,,Wisconsin,Wisconsin,0.0,1.0,0.0,2.0,0.0,0.0,2.0,,,,,,,
Ahmaad Moses,Safety,SMU,American Athletic,69.0,196,,,38.0,,,2,0,0,0,0,0,0,SMU,3.0,0.0,1.0,54.0,1.0,5.5,104.0,0.0,0.0,2.0,22.0,5.0,1.0,110.0,SMU,,,,3.0,0.0,0.0,36.0,1.0,5.5,64.0,32.3,3.0,1.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Stroman,Safety,Notre Dame,FBS Independents,73.0,201,,,,,,4,0,0,0,0,0,0,Notre Dame,2.0,0.0,1.0,30.0,1.0,3.0,37.0,,,,44.0,1.0,1.0,44.0,Virginia Tech,,,,0.0,0.0,0.0,4.0,0.0,0.0,5.0,,,,,2.0,1.0,0.0,24.0,0.0,2.0,55.0,,,,,,,,Virginia Tech,Virginia Tech,2.0,0.0,0.0,22.0,0.0,0.0,43.0,,,,,,,
Malik Spencer,Safety,Michigan State,Big Ten,73.0,192,,,,,,4,0,0,0,0,0,0,Michigan State,5.0,1.0,2.0,35.0,0.0,3.0,52.0,,,,0.0,1.0,0.0,0.0,Michigan State,,,,2.0,0.0,0.0,28.0,0.0,1.0,44.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,41.0,0.0,2.0,72.0,,,,,,,,Michigan State,Michigan State,0.0,0.0,0.0,1.0,0.0,0.0,5.0,,,,,,,
Nick Andersen,Safety,Wake Forest,ACC,71.0,197,,,,,,3,0,0,0,0,0,0,Wake Forest,7.0,0.0,1.5,47.0,0.0,7.0,107.0,,,,,,,,Wake Forest,0.0,0.0,1.0,1.0,1.0,0.0,56.0,0.0,1.0,122.0,15.0,2.0,0.0,30.0,3.0,1.0,0.5,19.0,0.0,0.5,33.0,,,,0.0,1.0,0.0,0.0,Wake Forest,,,,,,,,,,,,,,,
Cole Wisniewski,Safety,Texas Tech,Big 12,75.0,218,,,,,,1,0,0,0,0,0,0,Texas Tech,6.0,0.0,1.0,38.0,0.0,5.5,75.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Catalon,Safety,Missouri,SEC,70.0,205,,,,,,4,0,0,0,0,0,0,Missouri,1.0,1.0,0.0,17.0,0.0,0.0,39.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,15.0,0.0,1.0,17.0,,,,,,,,Texas,Arkansas,0.0,1.0,0.0,5.0,0.0,0.0,8.0,,,,,,,
Clayton Powell-Lee,Safety,Georgia Tech,ACC,74.0,200,,,,,,4,0,0,0,0,0,0,Georgia Tech,2.0,1.0,0.0,32.0,0.0,0.0,65.0,,,,,,,,Georgia Tech,0.0,0.0,1.0,3.0,1.0,1.0,32.0,0.0,1.5,53.0,,,,,2.0,0.0,0.0,29.0,0.0,0.5,62.0,,,,0.0,1.0,0.0,0.0,Georgia Tech,Georgia Tech,2.0,0.0,0.0,30.0,0.0,1.0,46.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0
Daylan Carnell,Safety,Missouri,SEC,74.0,225,,,,,,4,0,0,0,0,0,0,Missouri,4.0,1.0,0.0,22.0,0.0,6.5,41.0,,,,0.0,1.0,0.0,0.0,Missouri,0.0,0.0,1.0,6.0,0.0,0.0,28.0,1.0,5.0,51.0,,,,,7.0,8.0,3.0,30.0,1.0,6.0,51.0,,,,38.0,1.0,1.0,38.0,Missouri,Missouri,3.0,0.0,0.0,20.0,1.0,2.0,26.0,0.0,0.0,4.0,13.7,3.0,1.0,41.0
Isaiah Nwokobia,Safety,SMU,American Athletic,73.0,202,,,,,,2,0,0,0,0,0,0,SMU,7.0,0.0,0.0,41.0,0.0,2.0,80.0,0.0,0.0,1.0,21.5,2.0,0.0,43.0,SMU,,,,3.0,2.0,0.5,51.0,0.0,2.5,95.0,4.3,3.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapena Gushiken,Safety,Ole Miss,SEC,72.0,190,,,,,,1,0,0,0,0,0,0,Ole Miss,5.0,1.0,0.0,38.0,0.0,0.5,55.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Dunnam,Safety,UCF,Big 12,73.0,195,,,,,,4,0,0,0,0,0,0,UCF,2.0,0.0,0.0,44.0,1.0,3.0,60.0,,,,27.0,3.0,1.0,81.0,,,,,,,,,,,,,,,,6.0,0.0,0.0,39.0,0.0,1.0,53.0,,,,9.3,3.0,0.0,28.0,Indiana,Indiana,1.0,0.0,0.0,1.0,0.0,0.0,5.0,,,,,,,
