name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Marvin Harrison Jr.,Wide Receiver,Ohio State,Big Ten,75.0,209.0,,,,,,,22.0,3,0,1,1,1,0,0,,,,,,,,,75.0,67.0,14.0,1211.0,18.1,2.0,19.0,1.0,26.0,13.0,58.0,77.0,14.0,1263.0,16.4,2.0,18.0,0.0,32.0,16.0,,,,,,25.0,11.0,3.0,139.0,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Malik Nabers,Wide Receiver,LSU,SEC,72.0,199.0,,,,,,,21.0,3,1,1,1,0,0,0,,,,0.0,0.0,2.0,0.0,0.0,51.0,89.0,14.0,1569.0,17.6,1.0,1.0,0.0,1.0,1.0,75.0,72.0,3.0,1017.0,14.1,1.0,5.0,0.0,5.0,5.0,,,,,,67.0,28.0,4.0,417.0,14.9,4.0,13.0,0.0,23.0,5.8,,,,,,,,,,,,,,,,,,,,,15.5,17.0,2.0,0.0,31.0,,,,,,,,,,,,,,,,3.0,2.0,0.0,,,,,,
Rome Odunze,Wide Receiver,Washington,Pac-12,75.0,212.0,4.45,,39.0,124.0,6.88,4.03,22.0,4,1,1,1,1,0,0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,92.0,13.0,1640.0,17.8,2.0,23.0,1.0,37.0,18.5,61.0,75.0,7.0,1145.0,15.3,3.0,5.0,1.0,6.0,2.0,,,,,,55.0,41.0,4.0,415.0,10.1,2.0,7.0,0.0,13.0,6.5,8.5,18.0,2.0,0.0,17.0,25.0,6.0,0.0,72.0,12.0,3.0,0.0,0.0,-16.0,-5.3,43.5,83.0,2.0,1.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr.,Wide Receiver,LSU,SEC,75.0,209.0,,,,,,,21.0,3,1,1,1,0,0,0,2.0,0.0,0.0,,,,,,86.0,68.0,17.0,1177.0,17.3,1.0,0.0,0.0,-6.0,-6.0,57.0,32.0,5.0,372.0,11.6,,,,,,,,,,,42.0,28.0,2.0,359.0,12.8,2.0,5.0,0.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Worthy,Wide Receiver,Texas,Big 12,71.0,165.0,4.21,,41.0,131.0,,,21.0,3,1,1,1,0,0,0,3.0,2.0,1.0,9.7,29.0,15.0,0.0,146.0,54.0,75.0,5.0,1014.0,13.5,4.0,16.0,0.0,35.0,8.8,46.0,60.0,9.0,760.0,12.7,2.0,7.0,0.0,14.0,7.0,16.5,18.0,2.0,0.0,33.0,75.0,62.0,12.0,981.0,15.8,1.0,7.0,0.0,7.0,7.0,,,,,,,,,,,,,,,,16.1,74.0,23.0,1.0,371.0,,,,,,15.7,20.0,3.0,0.0,47.0,,,,,,,,,,,1.0,1.0,0.0,2.0,1.0,0.0,,,
Ricky Pearsall,Wide Receiver,Florida,SEC,73.0,189.0,4.41,17.0,42.0,129.0,6.64,4.05,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,6.8,13.0,4.0,0.0,27.0,61.0,64.0,4.0,970.0,15.2,3.0,39.0,2.0,62.0,20.7,52.0,33.0,5.0,661.0,20.0,8.0,76.0,1.0,113.0,14.1,,,,,,65.0,48.0,4.0,580.0,12.1,6.0,26.0,1.0,44.0,7.3,,,,,,31.0,6.0,1.0,86.0,14.3,3.0,29.0,1.0,33.0,11.0,11.5,40.0,11.0,0.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Legette,Wide Receiver,South Carolina,SEC,73.0,221.0,4.39,,40.0,126.0,,,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,,,,,,76.0,71.0,7.0,1255.0,17.7,9.0,7.0,0.0,-9.0,-1.0,42.0,18.0,3.0,167.0,9.3,7.0,19.0,0.0,21.0,3.0,,,,,,20.0,8.0,1.0,63.0,7.9,,,,,,21.3,40.0,10.0,0.0,213.0,42.0,7.0,0.0,113.0,16.1,,,,,,,,,,,29.4,100.0,15.0,1.0,441.0,,,,,,,,,,,,,,,,,,,,,,,,
Keon Coleman,Wide Receiver,Florida State,ACC,75.0,213.0,4.61,,38.0,127.0,,,21.0,3,1,1,1,0,0,0,3.0,0.0,0.0,,,,,,58.0,50.0,11.0,658.0,13.2,1.0,2.0,0.0,2.0,2.0,51.0,58.0,7.0,798.0,13.8,,,,,,,,,,,12.0,7.0,1.0,50.0,7.1,,,,,,,,,,,,,,,,,,,,,12.0,72.0,25.0,0.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey,Wide Receiver,Georgia,SEC,72.0,186.0,4.39,13.0,36.0,124.0,,,22.0,3,0,1,1,1,0,0,,,,12.0,39.0,16.0,0.0,192.0,54.0,30.0,2.0,478.0,15.9,2.0,27.0,1.0,38.0,19.0,37.0,58.0,7.0,762.0,13.1,7.0,70.0,2.0,134.0,19.1,,,,,,60.0,31.0,5.0,447.0,14.4,4.0,24.0,1.0,44.0,11.0,15.0,15.0,1.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,16.4,34.0,5.0,0.0,82.0,,,,,,,,,,,3.0,2.0,0.0,,,,,,
Ja'Lynn Polk,Wide Receiver,Washington,Pac-12,73.0,203.0,4.52,,37.5,129.0,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,,,,,,92.0,69.0,9.0,1159.0,16.8,4.0,27.0,1.0,32.0,8.0,76.0,41.0,6.0,694.0,16.9,1.0,15.0,0.0,15.0,15.0,,,,,,55.0,5.0,1.0,114.0,22.8,,,,,,,,,,,60.0,28.0,2.0,264.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0
