name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Jaycee Horn,Cornerback,South Carolina,SEC,73.0,205.0,4.39,19.0,41.5,133.0,,,21.0,3,1,1,1,0,0,0,6.0,0.0,0.0,10.0,0.0,1.0,16.0,,,,,,,,,,,,,,,,,,,,17.0,2.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,1.0,29.0,0.0,2.0,40.0,6.0,0.0,2.0,27.0,0.0,4.0,40.0,,,,,,,
Pat Surtain II,Cornerback,Alabama,SEC,74.0,208.0,,,,,,,21.0,3,1,1,1,0,0,0,11.0,2.0,0.0,20.0,1.0,3.5,35.0,12.0,2.0,0.0,24.0,,,,,,,,,,,,,,,,25.0,1.0,1.0,25.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,20.0,1.0,0.0,20.0,,,,,,,,,,,,,,,8.0,1.0,0.0,32.0,0.0,1.0,42.0,7.0,1.0,0.0,28.0,0.0,1.5,37.0,,,,,,,
Caleb Farley,Cornerback,Virginia Tech,ACC,74.0,197.0,,,,,,,22.0,3,0,1,1,1,0,0,,,,,,,,3.5,4.0,1.0,14.0,,,,,,21.7,32.0,7.0,0.0,152.0,,,,,,,,,,,,,,,1.5,3.0,2.0,0.0,3.0,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,12.0,1.0,0.0,14.0,1.0,0.0,20.0,7.0,1.0,1.0,29.0,0.0,1.0,36.0,,,,,,,
Greg Newsome II,Cornerback,Northwestern,Big Ten,72.0,192.0,,,,,,,21.0,3,1,1,1,0,0,0,9.0,0.0,0.0,8.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,0.0,28.0,0.0,1.0,36.0,4.0,0.0,0.0,19.0,0.0,0.0,23.0,,,,,,,
Eric Stokes,Cornerback,Georgia,SEC,73.0,194.0,4.31,14.0,38.5,128.0,6.96,4.36,22.0,3,0,1,1,1,0,0,4.0,1.0,0.0,14.0,2.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,23.5,4.0,2.0,94.0,,,,,,,,,,,27.0,8.0,1.0,1.0,27.0,,,,,,,,,,,,,,,,,,,9.0,1.0,1.0,30.0,0.0,1.0,38.0,9.0,0.0,0.0,16.0,1.0,1.0,20.0,,,,,,,
Tyson Campbell,Cornerback,Georgia,SEC,73.0,193.0,4.4,12.0,34.5,124.0,7.15,4.45,21.0,3,1,1,1,0,0,0,5.0,0.0,0.0,20.0,0.0,2.5,29.0,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,40.0,1.0,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,8.0,0.0,0.5,14.0,1.0,0.0,0.0,29.0,1.0,0.5,45.0,,,,,,,
Kelvin Joseph,Cornerback,Kentucky,SEC,72.0,197.0,4.34,,35.0,128.0,7.21,4.22,21.0,3,1,1,1,0,0,0,1.0,0.0,0.0,14.0,1.0,0.5,25.0,,,,,,,,,,,,,,,,,,,,15.5,4.0,1.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,11.0,0.0,0.0,12.0,,,,,,,
Asante Samuel Jr.,Cornerback,Florida State,ACC,70.0,180.0,4.45,12.0,35.0,124.0,6.95,4.13,21.0,3,1,1,1,0,0,0,6.0,0.0,0.0,22.0,0.0,1.0,30.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,24.7,3.0,0.0,74.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,14.0,0.0,0.0,34.0,0.0,1.0,48.0,9.0,0.0,0.0,13.0,0.0,1.0,15.0,,,,,,,
Aaron Robinson,Cornerback,UCF,American Athletic,72.0,186.0,4.39,15.0,37.0,123.0,6.89,4.29,22.0,3,0,1,1,1,0,0,6.0,0.0,0.0,31.0,0.0,1.0,41.0,13.3,3.0,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,0.0,37.0,0.0,4.0,49.0,1.0,0.0,0.0,8.0,0.0,0.0,9.0,,,,,,,
Benjamin St-Juste,Cornerback,Minnesota,Big Ten,75.0,202.0,4.51,11.0,34.5,119.0,6.63,3.96,23.0,4,0,0,0,1,1,0,3.0,0.0,0.0,11.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,36.0,0.0,1.5,45.0,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,3.0
