name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Gennings Dunker,Offensive Guard,Iowa,Big Ten,77.0,319,5.18,32.5,108.0,,4.63,0,0,0,0,0,0,0
Micah Morris,Offensive Guard,Georgia,SEC,77.0,334,5.09,29.5,112.0,,,0,0,0,0,0,0,0
Jeremiah Wright,Offensive Guard,Auburn,SEC,77.0,331,,,,,,0,0,0,0,0,0,0
Logan Taylor,Offensive Guard,Boston College,ACC,79.0,314,5.19,31.0,108.0,7.75,4.84,0,0,0,0,0,0,0
Dillon Wade,Offensive Guard,Auburn,SEC,75.0,316,5.02,28.5,104.0,,,0,0,0,0,0,0,0
Kobe Baynes,Offensive Guard,Kansas,Big 12,76.0,315,,,,,,0,0,0,0,0,0,0
Josh Gesky,Offensive Guard,Illinois,Big Ten,76.0,335,,,,,,0,0,0,0,0,0,0
Henry Lutovsky,Offensive Guard,Nebraska,Big Ten,78.0,320,,,,,,0,0,0,0,0,0,0
Tomas Rimac,Offensive Guard,Virginia Tech,ACC,78.0,318,,,,,,0,0,0,0,0,0,0
