name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC
Sam Rogers,Fullback,Virginia Tech,ACC,70.0,231.0,4.93,19.0,32.0,114.0,7.27,4.34,22.0,4,1,1,1,1,0,0,52.0,24.0,4.0,301.0,12.5,67.0,32.0,2.0,283.0,4.2,51.0,16.0,2.0,193.0,12.1,61.0,29.0,2.0,260.0,4.3,26.0,20.0,1.0,230.0,11.5,32.0,17.0,0.0,140.0,4.4,18.0,12.0,0.0,78.0,6.5,5.0,3.0,0.0,9.0,1.8
Marquez Williams,Fullback,Miami,ACC,70.0,259.0,,,,,,,23.0,1,0,0,0,0,1,0,15.0,2.0,1.0,19.0,9.5,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
