name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y2_college
Cesar Ruiz,Center,Michigan,Big Ten,75.0,307.0,5.08,28.0,33.0,113.0,7.91,4.64,21.0,0,0,0,0,0,0,0,
Matt Hennessy,Center,Temple,American Athletic,76.0,307.0,5.18,23.0,30.0,110.0,7.45,4.6,22.0,3,0,1,1,1,0,0,Temple
Tyler Biadasz,Center,Wisconsin,Big Ten,76.0,314.0,,,,,,,22.0,0,0,0,0,0,0,0,
Keith Ismael,Center,San Diego State,Mountain West,75.0,309.0,5.34,,32.0,108.0,8.14,4.65,22.0,0,0,0,0,0,0,0,
Jake Hanson,Center,Oregon,Pac-12,76.0,303.0,5.5,33.0,,,,,23.0,0,0,0,0,0,0,0,
