name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y2_college,Y3_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Mason Graham,Defensive Tackle,Michigan,Big Ten,76.0,296.0,,24.0,,,,,22.0,3,0,1,1,1,0,0,Michigan,1.0,3.0,3.5,24.0,0.0,7.0,46.0,,,,Michigan,Michigan,,0.0,0.0,1.0,1.0,2.0,3.0,22.0,0.0,7.5,32.0,1.0,1.0,2.5,11.0,0.0,2.5,24.0,,,,,,,,,,,,,
Kenneth Grant,Defensive Tackle,Michigan,Big Ten,76.0,331.0,,22.0,,,,,21.0,3,1,1,1,0,0,0,Michigan,5.0,3.0,3.0,18.0,0.0,6.5,32.0,1.0,1.0,2.0,Michigan,Michigan,,0.0,0.0,1.0,3.0,5.0,2.5,14.0,0.0,4.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,,,,,,,,,,,,,
Walter Nolen,Defensive Tackle,Ole Miss,SEC,76.0,296.0,,,,,,,21.0,3,1,1,1,0,0,0,Ole Miss,2.0,4.0,5.5,25.0,0.0,13.0,47.0,0.0,0.0,2.0,Texas A&M,Texas A&M,,,,,1.0,0.0,3.5,20.0,0.0,8.0,36.0,0.0,1.0,1.0,17.0,0.0,2.5,29.0,0.0,0.0,2.0,,,,,,,,,,
Derrick Harmon,Defensive Tackle,Oregon,Big Ten,77.0,313.0,4.95,,,,,,22.0,4,0,1,1,1,0,0,Oregon,2.0,10.0,5.0,25.0,0.0,10.5,43.0,0.0,0.0,2.0,Michigan State,Michigan State,Michigan State,,,,1.0,2.0,1.5,16.0,0.0,3.5,40.0,1.0,3.0,2.0,8.0,0.0,3.0,28.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tyleik Williams,Defensive Tackle,Ohio State,Big Ten,75.0,334.0,,,,,,,22.0,4,1,1,1,1,0,0,Ohio State,1.0,1.0,2.5,16.0,0.0,8.0,46.0,,,,Ohio State,Ohio State,Ohio State,0.0,0.0,1.0,5.0,1.0,3.0,20.0,0.0,10.0,54.0,1.0,0.0,1.0,10.0,0.0,2.5,21.0,,,,,,,2.0,2.0,5.0,10.0,0.0,6.5,16.0
T.J. Sanders,Defensive Tackle,South Carolina,SEC,76.0,297.0,,,31.5,112.0,7.7,4.67,22.0,4,1,1,1,1,0,0,South Carolina,1.0,6.0,4.0,29.0,0.0,7.0,51.0,,,,South Carolina,South Carolina,South Carolina,,,,4.0,4.0,4.5,28.0,0.0,9.5,43.0,1.0,2.0,1.0,5.0,0.0,1.0,12.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Alfred Collins,Defensive Tackle,Texas,SEC,78.0,332.0,,,26.0,96.0,,,23.0,4,0,1,1,1,1,0,Texas,6.0,1.0,1.0,27.0,0.0,5.5,55.0,,,,Texas,Texas,Texas,,,,1.0,4.0,2.0,12.0,0.0,2.0,22.0,0.0,2.0,1.0,7.0,0.0,3.0,16.0,,,,,,,0.0,4.0,2.0,15.0,0.0,5.0,25.0
Shemar Turner,Defensive Tackle,Texas A&M,SEC,75.0,290.0,,,,,,,22.0,4,1,1,1,1,0,0,Texas A&M,1.0,1.0,2.0,20.0,0.0,5.5,36.0,,,,Texas A&M,Texas A&M,Texas A&M,,,,0.0,3.0,4.5,15.0,0.0,9.0,31.0,0.0,3.0,0.5,13.0,0.0,4.0,32.0,,,,,,,0.0,1.0,1.5,5.0,0.0,2.0,14.0
Omarr Norman-Lott,Defensive Tackle,Tennessee,SEC,74.0,291.0,,,31.5,113.0,,,23.0,4,0,1,1,1,1,0,Tennessee,0.0,3.0,4.0,8.0,0.0,4.0,18.0,,,,Tennessee,Arizona State,Arizona State,0.0,0.0,1.0,0.0,1.0,5.5,15.0,0.0,6.0,26.0,2.0,2.0,2.0,9.0,0.0,3.5,15.0,,,,,,,0.0,0.0,2.0,16.0,0.0,3.5,30.0
Darius Alexander,Defensive Tackle,Toledo,Mid-American,76.0,305.0,4.95,28.0,31.5,111.0,7.6,4.79,25.0,4,0,0,0,1,1,1,Toledo,4.0,2.0,3.5,17.0,1.0,7.5,40.0,,,,Toledo,Toledo,Toledo,,,,3.0,6.0,3.5,12.0,0.0,5.5,36.0,3.0,1.0,1.5,8.0,0.0,6.0,19.0,0.0,0.0,2.0,,,,2.0,0.0,0.0,4.0,0.0,1.0,20.0
Vernon Broughton,Defensive Tackle,Texas,SEC,77.0,311.0,,,,,,,24.0,4,0,0,1,1,1,1,Texas,2.0,5.0,4.0,24.0,0.0,4.5,39.0,0.0,0.0,3.0,Texas,Texas,Texas,0.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,4.0,15.0,0.0,4.0,0.0,4.0,0.0,1.0,6.0,,,,,,,0.0,0.0,0.5,1.0,0.0,0.5,5.0
Jamaree Caldwell,Defensive Tackle,Oregon,Big Ten,74.0,332.0,5.16,,27.0,,,,25.0,3,0,0,0,0,1,1,Oregon,3.0,0.0,0.0,16.0,0.0,4.5,28.0,,,,Houston,Houston,,,,,0.0,0.0,6.5,22.0,0.0,8.5,26.0,0.0,0.0,1.5,5.0,0.0,3.0,9.0,,,,,,,,,,,,,
Deone Walker,Defensive Tackle,Kentucky,SEC,79.0,331.0,,,25.0,104.0,,,21.0,3,1,1,1,0,0,0,Kentucky,2.0,0.0,1.5,13.0,0.0,5.0,37.0,0.0,0.0,1.0,Kentucky,Kentucky,,,,,2.0,8.0,7.5,28.0,0.0,12.5,55.0,2.0,5.0,1.0,11.0,0.0,3.5,39.0,,,,,,,,,,,,,
Ty Robinson,Defensive Tackle,Nebraska,Big Ten,77.0,288.0,4.83,28.0,33.5,119.0,7.58,4.5,24.0,4,0,0,1,1,1,1,Nebraska,4.0,7.0,6.0,21.0,0.0,12.5,37.0,,,,Nebraska,Nebraska,Nebraska,0.0,0.0,1.0,6.0,11.0,1.0,7.0,0.0,4.0,29.0,1.0,1.0,2.0,14.0,0.0,4.0,25.0,,,,,,,1.0,1.0,2.0,13.0,0.0,4.0,27.0
CJ West,Defensive Tackle,Indiana,Big Ten,73.0,316.0,4.95,,33.0,,,,23.0,4,0,1,1,1,1,0,Indiana,1.0,0.0,2.0,14.0,0.0,7.5,42.0,0.0,0.0,1.0,Kent State,Kent State,Kent State,,,,0.0,4.0,1.0,19.0,0.0,6.0,39.0,0.0,1.0,1.0,13.0,0.0,4.5,26.0,,,,0.0,0.0,1.0,1.0,0.0,5.0,22.0,0.0,9.0,42.0
Tonka Hemingway,Defensive Tackle,South Carolina,SEC,75.0,284.0,,,32.0,112.0,7.36,4.48,23.0,4,0,1,1,1,1,0,South Carolina,1.0,6.0,4.0,17.0,0.0,4.0,25.0,0.0,0.0,2.0,South Carolina,South Carolina,South Carolina,0.0,0.0,2.0,7.0,6.0,1.5,19.0,0.0,4.5,32.0,1.0,4.0,4.0,17.0,0.0,7.0,29.0,0.0,0.0,4.0,,,,0.0,0.0,0.0,4.0,0.0,0.0,6.0
Joshua Farmer,Defensive Tackle,Florida State,ACC,75.0,305.0,5.11,26.0,29.0,112.0,,,22.0,4,0,1,1,1,0,0,Florida State,0.0,6.0,4.0,11.0,0.0,8.0,28.0,,,,Florida State,Florida State,Florida State,,,,2.0,2.0,5.0,9.0,0.0,7.0,31.0,0.0,1.0,2.0,9.0,0.0,6.0,13.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cam Jackson,Defensive Tackle,Florida,SEC,78.0,328.0,5.17,,24.5,93.0,,,23.0,4,0,1,1,1,1,0,Florida,2.0,1.0,2.0,14.0,0.0,4.5,37.0,,,,Florida,Memphis,Memphis,,,,2.0,0.0,0.0,18.0,0.0,0.5,32.0,1.0,4.0,1.0,19.0,0.0,2.5,41.0,,,,,,,0.0,1.0,1.5,6.0,0.0,2.5,9.0
Rylie Mills,Defensive Tackle,Notre Dame,FBS Independents,77.0,291.0,,,,,,,24.0,4,0,0,1,1,1,1,Notre Dame,0.0,4.0,7.5,19.0,0.0,8.5,37.0,,,,Notre Dame,Notre Dame,Notre Dame,0.0,0.0,2.0,0.0,4.0,2.5,17.0,0.0,5.5,42.0,0.0,0.0,2.5,6.0,0.0,4.5,20.0,,,,,,,0.0,3.0,3.0,8.0,0.0,3.0,16.0
Jordan Phillips,Defensive Tackle,Maryland,Big Ten,74.0,312.0,,29.0,31.0,108.0,8.19,4.65,21.0,3,0,1,1,0,0,0,Maryland,0.0,2.0,0.0,17.0,0.0,1.0,29.0,,,,Maryland,Tennessee,,,,,0.0,2.0,0.0,14.0,0.0,1.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
Ty Hamilton,Defensive Tackle,Ohio State,Big Ten,75.0,299.0,,,,,,,23.0,4,0,1,1,1,1,0,Ohio State,0.0,1.0,3.5,14.0,0.0,6.0,51.0,0.0,0.0,1.0,Ohio State,Ohio State,Ohio State,,,,0.0,1.0,2.0,17.0,0.0,4.5,38.0,1.0,2.0,0.5,6.0,0.0,0.5,12.0,,,,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,2.0,12.0
Yahya Black,Defensive Tackle,Iowa,Big Ten,78.0,336.0,5.39,,25.5,101.0,7.63,4.72,23.0,4,0,1,1,1,1,0,Iowa,2.0,2.0,1.0,18.0,0.0,7.0,34.0,,,,Iowa,Iowa,Iowa,,,,4.0,2.0,3.5,22.0,0.0,4.5,50.0,1.0,0.0,1.0,3.0,0.0,1.5,10.0,,,,,,,2.0,0.0,0.0,7.0,0.0,0.0,18.0
