name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Micah Parsons,Inside Linebacker,Penn State,Big Ten,75.0,246.0,4.39,19.0,34.0,126.0,6.89,4.4,22.0,3,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,5.0,4.0,5.0,52.0,0.0,14.0,109.0,0.0,5.0,1.5,48.0,0.0,5.0,83.0,,,,,,,,,,,,,
Jamin Davis,Inside Linebacker,Kentucky,SEC,76.0,234.0,4.47,,42.0,132.0,,,22.0,3,0,1,1,1,0,0,2.0,1.0,1.5,48.0,1.0,4.0,102.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,30.0,3.0,1.0,90.0,18.0,1.0,0.0,18.0,,,,,,,,0.0,2.0,1.0,12.0,0.0,1.0,32.0,1.0,0.0,0.0,6.0,0.0,0.0,10.0,,,,,,,,,,,,,
Jeremiah Owusu-Koramoah,Inside Linebacker,Notre Dame,FBS Independents,74.0,221.0,,,36.5,124.0,6.8,4.15,21.0,2,0,1,1,0,0,0,3.0,1.0,1.5,41.0,0.0,11.0,61.0,0.0,0.0,2.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.0,2.0,4.0,3.0,8.5,52.0,0.0,13.5,79.0,,,,,,,,,,,,,,,,,,,,
Nick Bolton,Inside Linebacker,Missouri,SEC,71.0,237.0,4.6,24.0,32.0,,7.4,4.5,21.0,3,1,1,1,0,0,0,5.0,1.0,2.0,53.0,0.0,8.0,95.0,0.0,0.0,1.0,19.0,2.0,1.0,38.0,,,,,,,,,,,,,,,,8.0,3.0,1.0,70.0,1.0,7.5,100.0,0.0,0.0,1.0,12.0,0.0,1.0,22.0,,,,,,,,,,,,,
Pete Werner,Inside Linebacker,Ohio State,Big Ten,75.0,238.0,4.58,20.0,39.5,122.0,6.95,4.38,22.0,4,0,1,1,1,0,0,1.0,2.0,1.0,28.0,0.0,2.5,54.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,3.0,0.0,0.0,39.0,0.0,5.5,64.0,7.0,1.0,3.0,38.0,0.0,7.5,58.0,,,,,,,0.0,0.0,0.0,6.0,0.0,0.5,9.0
Chazz Surratt,Inside Linebacker,North Carolina,ACC,74.0,229.0,4.58,25.0,31.0,,7.02,4.16,24.0,4,0,0,1,1,1,1,3.0,6.0,6.0,49.0,0.0,7.5,91.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,3.0,10.0,6.5,66.0,0.0,15.0,115.0,,,,,,,,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Monty Rice,Inside Linebacker,Georgia,SEC,72.0,233.0,4.58,,32.0,121.0,7.34,4.33,22.0,4,1,1,1,1,0,0,1.0,2.0,1.0,30.0,1.0,4.0,49.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,50.0,0.0,3.0,89.0,1.0,0.0,1.0,25.0,0.0,1.5,59.0,,,,,,,0.0,0.0,0.0,10.0,0.0,2.0,22.0
Ernest Jones,Inside Linebacker,South Carolina,SEC,74.0,230.0,4.65,,38.5,,,,21.0,3,1,1,1,0,0,0,0.0,3.0,1.0,42.0,0.0,5.0,86.0,0.0,0.0,1.0,0.5,2.0,0.0,1.0,,,,,,,,,,,,,,,,5.0,1.0,1.0,59.0,0.0,5.5,97.0,0.0,2.0,0.0,10.0,0.0,0.0,16.0,0.0,0.0,1.0,,,,,,,,,,
Derrick Barnes,Inside Linebacker,Purdue,Big Ten,72.0,238.0,4.57,29.0,37.0,119.0,,4.27,22.0,4,1,1,1,1,0,0,1.0,2.0,0.0,40.0,0.0,5.5,54.0,,,,,,,,9.0,1.0,0.0,9.0,,,,,,,,,0.0,0.0,1.0,2.0,3.0,7.5,47.0,0.0,11.0,63.0,0.0,0.0,3.0,47.0,0.0,4.0,72.0,,,,,,,0.0,0.0,0.0,11.0,0.0,0.5,17.0
Jabril Cox,Inside Linebacker,LSU,SEC,75.0,232.0,,,,,,,23.0,1,0,0,0,0,1,0,5.0,4.0,1.0,37.0,1.0,6.5,58.0,0.0,0.0,1.0,,,,,21.3,3.0,1.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
