name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_college,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS
Corn Elder,Cornerback,Miami,ACC,70.0,183.0,4.55,,,,,,22.0,4,1,1,1,1,0,0,Miami,12.0,1.0,3.0,55.0,0.0,4.5,76.0,Miami,23.5,2.0,0.0,47.0,13.8,72.0,11.0,1.0,152.0,,,,,,,,,,,,Miami,2.0,1.0,0.0,2.0,,,,,,21.1,91.0,8.0,1.0,169.0,,,,,,,,,,23.4,39.0,7.0,0.0,164.0,0.0,0.0,1.0,0.0,0.0,,,,
Nate Hairston,Cornerback,Temple,American Athletic,72.0,196.0,4.52,14.0,35.5,118.0,,,23.0,1,0,0,0,0,1,0,Temple,3.0,0.0,0.0,23.0,0.0,3.0,27.0,,,,,,,,,,,,,,,,,12.0,12.0,1.0,0.0,12.0,,14.5,2.0,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treston Decoud,Cornerback,Oregon State,Pac-12,74.0,206.0,,,,,,,24.0,1,0,0,0,0,0,1,Oregon State,10.0,0.0,0.0,46.0,0.0,2.0,58.0,,,,,,,,,,,,,,,,,,,,,,,44.0,2.0,0.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Allen,Cornerback,Utah,Pac-12,75.0,215.0,4.48,15.0,34.5,117.0,6.64,4.34,23.0,2,0,0,0,1,1,0,Utah,6.0,0.0,1.0,27.0,0.0,4.5,35.0,Utah,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Clark,Cornerback,Michigan,Big Ten,75.0,220.0,,20.0,,,,,23.0,2,0,0,0,1,1,0,Michigan,2.0,0.0,0.0,7.0,0.0,0.0,11.0,Michigan,6.7,3.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Jones,Cornerback,Ole Miss,SEC,74.0,189.0,,,,,,,22.0,1,0,0,0,1,0,0,Ole Miss,3.0,0.0,0.0,15.0,1.0,1.5,21.0,,,,,,,,,,,,,,,,,,,,,,,27.0,2.0,1.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Wilson,Cornerback,Houston,American Athletic,70.0,198.0,,,,,,,23.0,2,0,0,0,1,1,0,Houston,5.0,0.0,2.0,29.0,0.0,4.0,43.0,Houston,51.0,1.0,1.0,51.0,,,,,,,,,,,,24.3,56.0,21.0,0.0,510.0,,0.0,1.0,0.0,0.0,,,,,,26.6,100.0,23.0,2.0,611.0,,,,,,,,,,,,,,,,,,,,,,,
Marquez White,Cornerback,Florida State,ACC,72.0,194.0,4.59,,36.0,123.0,,,22.0,4,1,1,1,1,0,0,Florida State,4.0,0.0,0.0,19.0,0.0,2.0,25.0,Florida State,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,Florida State,7.0,2.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0
Jalen Myrick,Cornerback,Minnesota,Big Ten,70.0,200.0,4.28,13.0,37.5,124.0,7.06,4.22,22.0,3,0,1,1,1,0,0,Minnesota,11.0,0.0,0.0,29.0,0.0,3.5,41.0,Minnesota,10.0,3.0,1.0,30.0,,,,,,Minnesota,26.7,100.0,19.0,1.0,508.0,22.1,56.0,13.0,0.0,287.0,,0.0,1.0,0.0,0.0,4.9,17.0,9.0,0.0,44.0,21.4,29.0,12.0,0.0,257.0,,,,,,31.0,1.0,1.0,31.0,,,,,,,,,,,,,,
Jack Tocho,Cornerback,NC State,ACC,72.0,202.0,4.54,21.0,35.0,125.0,,,21.0,4,1,1,1,0,0,0,NC State,9.0,0.0,1.0,33.0,0.0,2.0,37.0,NC State,8.0,1.0,0.0,8.0,,,,,,NC State,,,,,,,,,,,NC State,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,25.0,2.0,0.0,50.0
