name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_college,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Cam Ward,Quarterback,Miami,ACC,74.0,219.0,,,,,,23.0,3,0,0,1,1,1,0,Miami,3.0,3.0,0.0,Washington State,454.0,305.0,7.0,0.672,39.0,4313.0,9.5,60.0,24.0,4.0,204.0,3.4,120.0,22.0,8.0,122.0,1.0,Washington State,106.0,17.0,5.0,70.0,0.7,486.0,324.0,7.0,0.667,25.0,3732.0,7.7,496.0,319.0,9.0,0.643,23.0,3218.0,6.5,,,,,,,,,,,,,,12.0,8.0,1.0,6.0,2.0,0.0,,,
Jaxson Dart,Quarterback,Ole Miss,SEC,74.0,223.0,,,,,,22.0,4,1,1,1,1,0,0,Ole Miss,2.0,0.0,0.0,Ole Miss,398.0,276.0,6.0,0.693,29.0,4279.0,10.8,124.0,35.0,3.0,495.0,4.0,119.0,68.0,8.0,391.0,3.3,Ole Miss,128.0,36.0,1.0,613.0,4.8,359.0,233.0,5.0,0.649,23.0,3364.0,9.4,361.0,226.0,10.0,0.626,20.0,2975.0,8.2,USC,22.0,18.0,2.0,43.0,2.0,189.0,117.0,5.0,0.619,9.0,1353.0,7.2,4.0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0
Tyler Shough,Quarterback,Louisville,ACC,77.0,219.0,4.63,32.0,117.0,,,25.0,4,0,0,0,1,1,1,Louisville,1.0,1.0,0.0,Texas Tech,389.0,244.0,6.0,0.627,23.0,3195.0,8.2,42.0,46.0,1.0,19.0,0.5,48.0,58.0,2.0,149.0,3.1,Texas Tech,72.0,36.0,4.0,269.0,3.7,111.0,67.0,4.0,0.604,7.0,746.0,6.7,177.0,106.0,4.0,0.599,7.0,1304.0,7.4,Texas Tech,16.0,14.0,2.0,14.0,0.9,92.0,64.0,3.0,0.696,6.0,872.0,9.5,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Jalen Milroe,Quarterback,Alabama,SEC,74.0,217.0,,,,,,22.0,4,1,1,1,1,0,0,Alabama,9.0,6.0,0.0,Alabama,319.0,205.0,11.0,0.643,16.0,2844.0,8.9,168.0,72.0,20.0,726.0,4.3,161.0,53.0,12.0,531.0,3.3,Alabama,31.0,77.0,1.0,265.0,8.5,284.0,187.0,6.0,0.658,23.0,2834.0,10.0,53.0,31.0,3.0,0.585,5.0,297.0,5.6,Alabama,15.0,15.0,0.0,57.0,3.8,7.0,3.0,0.0,0.429,1.0,41.0,5.9,3.0,2.0,0.0,4.0,2.0,0.0,,,
Dillon Gabriel,Quarterback,Oregon,Big Ten,71.0,205.0,,,,,,24.0,4,0,0,1,1,1,1,Oregon,3.0,2.0,0.0,Oklahoma,447.0,326.0,6.0,0.729,30.0,3857.0,8.6,75.0,54.0,7.0,149.0,2.0,93.0,44.0,12.0,373.0,4.0,Oklahoma,88.0,61.0,6.0,324.0,3.7,384.0,266.0,6.0,0.693,30.0,3660.0,9.5,367.0,230.0,6.0,0.627,25.0,3168.0,8.6,UCF,24.0,44.0,2.0,125.0,5.2,102.0,70.0,3.0,0.686,9.0,814.0,8.0,4.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0
Shedeur Sanders,Quarterback,Colorado,Big 12,74.0,212.0,,,,,,23.0,2,0,0,0,1,1,0,Colorado,4.0,1.0,0.0,Colorado,477.0,353.0,10.0,0.74,37.0,4134.0,8.7,100.0,17.0,4.0,-50.0,-0.5,111.0,38.0,4.0,-77.0,-0.7,,,,,,,430.0,298.0,3.0,0.693,27.0,3230.0,7.5,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,,,,,,
Kyle McCord,Quarterback,Syracuse,ACC,75.0,218.0,,,,,,22.0,4,1,1,1,1,0,0,Syracuse,5.0,0.0,0.0,Ohio State,592.0,391.0,12.0,0.66,34.0,4779.0,8.1,67.0,29.0,3.0,-65.0,-1.0,32.0,9.0,0.0,-65.0,-2.0,Ohio State,3.0,3.0,0.0,4.0,1.3,348.0,229.0,6.0,0.658,24.0,3170.0,9.1,20.0,16.0,0.0,0.8,1.0,190.0,9.5,Ohio State,9.0,7.0,0.0,-16.0,-1.8,38.0,25.0,2.0,0.658,2.0,416.0,10.9,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Will Howard,Quarterback,Ohio State,Big Ten,76.0,236.0,,31.5,112.0,7.13,4.33,23.0,4,0,1,1,1,1,0,Ohio State,7.0,1.0,0.0,Kansas State,423.0,309.0,10.0,0.73,35.0,4010.0,9.5,105.0,19.0,7.0,226.0,2.2,80.0,70.0,9.0,364.0,4.6,Kansas State,35.0,14.0,3.0,22.0,0.6,358.0,219.0,10.0,0.612,24.0,2643.0,7.4,198.0,119.0,4.0,0.601,15.0,1633.0,8.2,Kansas State,32.0,71.0,4.0,184.0,5.8,55.0,30.0,1.0,0.545,1.0,332.0,6.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0
Riley Leonard,Quarterback,Notre Dame,FBS Independents,76.0,216.0,,,,,,22.0,4,1,1,1,1,0,0,Notre Dame,2.0,1.0,0.0,Duke,403.0,269.0,8.0,0.667,21.0,2861.0,7.1,184.0,50.0,17.0,906.0,4.9,58.0,44.0,4.0,352.0,6.1,Duke,124.0,74.0,13.0,698.0,5.6,165.0,95.0,3.0,0.576,3.0,1102.0,6.7,391.0,250.0,6.0,0.639,20.0,2967.0,7.6,Duke,47.0,35.0,2.0,173.0,3.7,62.0,37.0,1.0,0.597,1.0,381.0,6.1,4.0,1.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0
Graham Mertz,Quarterback,Florida,SEC,,,,,,,,24.0,4,0,0,1,1,1,1,Florida,2.0,1.0,0.0,Florida,94.0,72.0,2.0,0.766,6.0,791.0,8.4,18.0,16.0,1.0,56.0,3.1,61.0,12.0,4.0,-63.0,-1.0,Wisconsin,50.0,15.0,2.0,-40.0,-0.8,357.0,260.0,3.0,0.728,20.0,2878.0,8.1,286.0,164.0,10.0,0.573,19.0,2136.0,7.5,Wisconsin,37.0,15.0,4.0,-25.0,-0.7,284.0,169.0,11.0,0.595,10.0,1958.0,6.9,6.0,3.0,0.0,3.0,1.0,1.0,6.0,4.0,0.0
