name,position,college,conference,height,weight,forty,vertical,broad_jump,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y1_college,Y2_college,Y3_college,Y0_punting_In 20,Y0_punting_LONG,Y0_punting_NO,Y0_punting_TB,Y0_punting_YDS,Y0_punting_YPP,Y1_punting_In 20,Y1_punting_LONG,Y1_punting_NO,Y1_punting_TB,Y1_punting_YDS,Y1_punting_YPP,Y2_punting_In 20,Y2_punting_LONG,Y2_punting_NO,Y2_punting_TB,Y2_punting_YDS,Y2_punting_YPP,Y3_punting_In 20,Y3_punting_LONG,Y3_punting_NO,Y3_punting_TB,Y3_punting_YDS,Y3_punting_YPP
Mitch Wishnowsky,Punter,Utah,Pac-12,74.0,218.0,4.63,32.5,117.0,27.0,3,0,0,0,0,0,0,Utah,Utah,Utah,,24.0,68.0,59.0,4.0,2669.0,45.2,1.0,60.0,52.0,0.0,2282.0,43.9,1.0,66.0,64.0,0.0,3053.0,47.7,,,,,,
Jake Bailey,Punter,Stanford,Pac-12,73.0,200.0,4.72,33.0,117.0,22.0,4,1,1,1,1,0,0,Stanford,Stanford,Stanford,Stanford,26.0,84.0,68.0,10.0,2995.0,44.0,3.0,65.0,57.0,0.0,2586.0,45.4,0.0,61.0,50.0,0.0,2176.0,43.5,0.0,56.0,10.0,0.0,347.0,34.7
