name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Landon Dickerson,Center,Alabama,SEC,78.0,333.0,,,,,,,22.0,0,0,0,0,0,0,0
Creed Humphrey,Center,Oklahoma,Big 12,76.0,302.0,5.11,29.0,33.0,112.0,7.5,4.49,22.0,0,0,0,0,0,0,0
Kendrick Green,Center,Illinois,Big Ten,76.0,315.0,4.89,25.0,35.5,119.0,7.79,4.67,22.0,0,0,0,0,0,0,0
Drew Dalman,Center,Stanford,Pac-12,75.0,299.0,5.11,33.0,33.0,109.0,7.33,4.52,22.0,0,0,0,0,0,0,0
Trey Hill,Center,Georgia,SEC,76.0,319.0,5.5,,,,,,21.0,0,0,0,0,0,0,0
Jimmy Morrissey,Center,Pittsburgh,ACC,75.0,303.0,5.31,26.0,31.0,105.0,7.39,4.47,23.0,0,0,0,0,0,0,0
