name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y2_college,Y3_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Tyree Wilson,Defensive End,Texas Tech,Big 12,78.0,271.0,,23.0,,,,,23.0,4,0,1,1,1,1,0,Texas Tech,0.0,8.0,6.5,35.0,0.0,13.5,61.0,0.0,0.0,2.0,Texas Tech,Texas Tech,Texas A&M,,,,1.0,5.0,7.0,25.0,0.0,12.5,37.0,0.0,2.0,1.5,7.0,0.0,1.5,10.0,,,,,,,0.0,1.0,1.5,7.0,0.0,3.0,12.0
Lukas Van Ness,Defensive End,Iowa,Big Ten,77.0,272.0,4.58,17.0,31.0,118.0,7.02,4.32,22.0,2,0,0,1,1,0,0,Iowa,0.0,4.0,6.0,16.0,0.0,9.5,33.0,,,,Iowa,,,,,,1.0,3.0,7.0,17.0,0.0,8.5,33.0,,,,,,,,,,,,,,,,,,,,
Myles Murphy,Defensive End,Clemson,ACC,77.0,268.0,,25.0,,,,,21.0,3,1,1,1,0,0,0,Clemson,2.0,4.0,6.5,21.0,0.0,11.0,37.0,,,,Clemson,Clemson,,,,,2.0,4.0,7.5,21.0,0.0,14.0,38.0,1.0,0.0,4.0,18.0,0.0,10.5,37.0,,,,,,,,,,,,,
Felix Anudike-Uzomah,Defensive End,Kansas State,Big 12,75.0,255.0,,,,,,,21.0,3,1,1,1,0,0,0,Kansas State,1.0,3.0,8.5,27.0,0.0,11.0,40.0,,,,Kansas State,Kansas State,,,,,0.0,3.0,11.0,37.0,0.0,14.5,52.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,
Isaiah Foskey,Defensive End,Notre Dame,FBS Independents,77.0,264.0,4.58,22.0,34.0,125.0,7.28,4.41,22.0,4,1,1,1,1,0,0,Notre Dame,0.0,6.0,10.5,23.0,0.0,13.5,44.0,0.0,0.0,2.0,Notre Dame,Notre Dame,Notre Dame,0.0,0.0,1.0,1.0,7.0,11.0,38.0,0.0,12.5,52.0,1.0,5.0,4.5,11.0,1.0,5.0,19.0,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,5.0
Keion White,Defensive End,Georgia Tech,ACC,77.0,285.0,,30.0,34.0,117.0,,,24.0,4,0,0,1,1,1,1,Georgia Tech,1.0,2.0,7.5,29.0,0.0,14.0,54.0,,,,Georgia Tech,,Old Dominion,,,,0.0,0.0,0.0,2.0,0.0,0.5,4.0,,,,,,,,,,,0.0,0.0,1.0,1.0,4.0,3.5,30.0,0.0,19.0,62.0
Zach Harrison,Defensive End,Ohio State,Big Ten,78.0,274.0,,25.0,,,,,22.0,4,1,1,1,1,0,0,Ohio State,4.0,6.0,3.5,18.0,0.0,7.0,31.0,,,,Ohio State,Ohio State,Ohio State,,,,4.0,2.0,3.0,22.0,0.0,8.0,33.0,2.0,0.0,2.0,6.0,0.0,4.5,14.0,0.0,0.0,1.0,,,,0.0,1.0,3.5,14.0,0.0,5.5,24.0
Byron Young,Defensive End,Tennessee,SEC,74.0,250.0,,24.0,26.0,108.0,7.68,,25.0,2,0,0,0,0,0,1,Tennessee,0.0,14.0,7.0,21.0,0.0,12.0,36.0,,,,Tennessee,,,,,,1.0,8.0,5.5,20.0,0.0,11.5,46.0,,,,,,,,,,,,,,,,,,,,
YaYa Diaby,Defensive End,Louisville,ACC,75.0,263.0,4.51,,37.0,120.0,,,24.0,3,0,0,0,1,1,1,Louisville,1.0,4.0,8.0,20.0,0.0,12.0,33.0,0.0,0.0,2.0,Louisville,Louisville,,,,,0.0,7.0,1.5,24.0,0.0,3.0,39.0,0.0,2.0,0.0,10.0,0.0,2.5,18.0,,,,,,,,,,,,,
Dylan Horton,Defensive End,TCU,Big 12,76.0,257.0,,18.0,34.0,120.0,,,23.0,4,0,1,1,1,1,0,TCU,3.0,6.0,10.0,25.0,0.0,13.5,39.0,,,,TCU,TCU,New Mexico,,,,0.0,4.0,4.0,34.0,0.0,9.0,51.0,0.0,0.0,1.0,4.0,0.0,1.0,8.0,,,,,,,1.0,2.0,1.5,13.0,0.0,2.5,23.0
Adetomiwa Adebawore,Defensive End,Northwestern,Big Ten,74.0,282.0,4.49,27.0,37.5,125.0,,,22.0,3,0,1,1,1,0,0,Northwestern,1.0,3.0,5.0,27.0,0.0,9.0,38.0,,,,Northwestern,Northwestern,,,,,3.0,12.0,4.5,25.0,0.0,8.5,36.0,2.0,7.0,2.0,11.0,0.0,6.0,17.0,,,,,,,,,,,,,
Isaiah McGuire,Defensive End,Missouri,SEC,76.0,268.0,4.76,,36.5,122.0,7.39,,22.0,4,1,1,1,1,0,0,Missouri,0.0,4.0,7.0,24.0,0.0,13.0,39.0,,,,Missouri,Missouri,Missouri,0.0,0.0,1.0,1.0,3.0,6.0,38.0,0.0,14.0,55.0,0.0,3.0,3.0,8.0,0.0,4.0,18.0,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,4.0
Viliami Fehoko,Defensive End,San José State,Mountain West,76.0,276.0,,,,,,,23.0,4,0,1,1,1,1,0,San José State,1.0,6.0,10.0,40.0,0.0,18.5,64.0,0.0,0.0,2.0,San José State,San José State,San José State,,,,6.0,5.0,7.0,21.0,0.0,12.5,37.0,1.0,2.0,6.0,23.0,0.0,12.5,36.0,0.0,0.0,1.0,,,,4.0,2.0,1.0,16.0,0.0,3.0,44.0
Tyler Lacy,Defensive End,Oklahoma State,Big 12,76.0,279.0,5.11,30.0,28.5,116.0,7.6,,23.0,4,0,1,1,1,1,0,Oklahoma State,1.0,4.0,3.0,12.0,0.0,8.5,27.0,0.0,0.0,1.0,Oklahoma State,Oklahoma State,Oklahoma State,0.0,0.0,1.0,1.0,8.0,3.5,21.0,0.0,11.5,34.0,0.0,6.0,3.0,19.0,0.0,8.0,32.0,,,,,,,2.0,4.0,1.0,7.0,0.0,2.0,20.0
K.J. Henry,Defensive End,Clemson,ACC,76.0,251.0,,,,,,,24.0,4,0,0,1,1,1,1,Clemson,6.0,12.0,3.5,26.0,0.0,9.0,49.0,0.0,0.0,1.0,Clemson,Clemson,Clemson,0.0,0.0,1.0,0.0,5.0,4.5,14.0,0.0,7.0,22.0,2.0,0.0,3.5,12.0,0.0,6.0,23.0,,,,,,,3.0,1.0,2.0,6.0,0.0,4.5,23.0
Mike Morris,Defensive End,Michigan,Big Ten,77.0,275.0,4.95,22.0,28.5,110.0,,,22.0,3,0,0,1,1,0,0,Michigan,2.0,4.0,7.0,14.0,0.0,10.5,21.0,,,,Michigan,Michigan,,,,,1.0,1.0,0.5,7.0,0.0,1.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,
Robert Beal Jr.,Defensive End,Georgia,SEC,76.0,247.0,,,,,,,24.0,4,0,0,1,1,1,1,Georgia,0.0,2.0,2.5,12.0,0.0,2.5,19.0,0.0,0.0,2.0,Georgia,,Georgia,,,,2.0,2.0,6.5,12.0,0.0,7.5,23.0,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.5,8.0
Karl Brooks,Defensive End,Bowling Green,Mid-American,75.0,303.0,,,,,,,23.0,4,0,1,1,1,1,0,Bowling Green,3.0,6.0,10.0,30.0,0.0,17.5,49.0,0.0,0.0,1.0,Bowling Green,Bowling Green,Bowling Green,,,,0.0,3.0,6.5,14.0,0.0,11.5,41.0,0.0,0.0,2.0,3.0,0.0,2.5,10.0,,,,,,,1.0,4.0,4.5,16.0,0.0,8.5,33.0
Ochaun Mathis,Defensive End,Nebraska,Big Ten,77.0,250.0,4.74,21.0,33.5,118.0,,4.38,24.0,4,0,0,1,1,1,1,Nebraska,2.0,6.0,3.5,24.0,0.0,5.0,50.0,,,,TCU,TCU,TCU,,,,3.0,4.0,4.0,30.0,0.0,7.0,45.0,0.0,2.0,5.0,22.0,0.0,10.0,38.0,0.0,0.0,1.0,,,,1.0,6.0,2.5,20.0,0.0,9.0,40.0
Moro Ojomo,Defensive End,Texas,Big 12,75.0,292.0,5.04,29.0,33.0,112.0,,,22.0,4,1,1,1,1,0,0,Texas,0.0,2.0,3.0,15.0,0.0,5.5,31.0,,,,Texas,Texas,Texas,,,,1.0,2.0,0.0,15.0,0.0,2.0,25.0,1.0,3.0,2.0,10.0,0.0,2.5,21.0,,,,0.0,0.0,1.0,0.0,3.0,0.0,8.0,0.0,2.5,14.0
Desjuan Johnson,Defensive End,Toledo,Mid-American,,,,,,,,,24.0,4,0,0,1,1,1,1,Toledo,0.0,2.0,5.5,23.0,0.0,12.5,61.0,,,,Toledo,Toledo,Toledo,0.0,0.0,1.0,0.0,5.0,4.5,33.0,0.0,12.5,70.0,0.0,2.0,2.5,8.0,0.0,6.5,26.0,,,,,,,0.0,5.0,1.0,14.0,0.0,7.0,32.0
