name,position,college,conference,height,weight,forty,vertical,broad_jump,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Ricky Stromberg,Center,Arkansas,SEC,75.0,306.0,5.26,32.5,111.0,22.0,1,0,0,0,1,0,0
Olusegun Oluwatimi,Center,Michigan,Big Ten,75.0,309.0,5.38,29.0,110.0,24.0,0,0,0,0,0,0,0
