name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Montae Nicholson,Safety,Michigan State,Big Ten,74.0,212.0,4.42,,35.0,125.0,,,21.0,2,0,1,1,0,0,0,2.0,0.0,0.0,39.0,0.0,2.0,86.0,0.0,0.0,1.0,20.0,3.0,0.0,60.0,10.0,1.0,0.0,10.0,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Gerry,Safety,Nebraska,Big Ten,74.0,218.0,,,,,,,22.0,3,0,1,1,1,0,0,8.0,1.0,0.5,47.0,0.0,6.5,74.0,,,,22.5,4.0,0.0,90.0,4.5,4.0,0.0,18.0,18.4,5.0,0.0,92.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck Clark,Safety,Virginia Tech,ACC,72.0,208.0,4.54,16.0,34.0,122.0,6.85,4.07,22.0,3,0,1,1,1,0,0,2.0,0.0,0.0,50.0,0.0,2.5,93.0,,,,0.0,1.0,0.0,0.0,,,,,13.0,1.0,0.0,13.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Tyson,Safety,Cincinnati,American Athletic,73.0,204.0,,,,,,,24.0,4,0,0,1,1,1,1,5.0,0.0,0.0,29.0,0.0,4.5,46.0,,,,,,,,6.2,5.0,0.0,31.0,,,,,51.5,2.0,0.0,103.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Woods,Safety,Louisiana Tech,Conference USA,71.0,197.0,4.54,19.0,33.5,122.0,6.72,4.13,22.0,3,0,1,1,1,0,0,6.0,1.0,3.0,60.0,0.0,6.5,89.0,,,,9.7,3.0,0.0,29.0,9.0,5.0,0.0,45.0,29.0,6.0,2.0,174.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon McQuay III,Safety,USC,Pac-12,73.0,197.0,,,,,,,22.0,4,1,1,1,1,0,0,6.0,0.0,1.0,32.0,0.0,4.0,50.0,,,,,,,,16.0,2.0,0.0,32.0,11.0,2.0,0.0,22.0,2.0,1.0,0.0,2.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shalom Luani,Safety,Washington State,Pac-12,71.0,202.0,4.55,12.0,31.0,116.0,6.87,4.21,23.0,2,0,0,0,1,1,0,6.0,2.0,2.0,47.0,0.0,8.5,67.0,1.0,0.0,0.0,22.5,4.0,1.0,90.0,27.3,4.0,0.0,109.0,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Colbert,Safety,Miami,ACC,73.0,200.0,,,,,,,23.0,4,0,1,1,1,1,0,3.0,0.0,0.0,13.0,0.0,2.5,22.0,,,,,,,,46.0,1.0,0.0,46.0,0.0,1.0,0.0,0.0,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Harvey-Clemons,Safety,Louisville,ACC,76.0,217.0,,12.0,31.5,121.0,,,23.0,4,0,1,1,1,1,0,2.0,0.0,1.0,37.0,0.0,3.0,60.0,,,,2.3,3.0,0.0,7.0,,,,,,,,,18.0,1.0,0.0,18.0,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minkah Fitzpatrick,Safety,Alabama,SEC,72.0,204.0,4.46,14.0,33.0,121.0,,,21.0,3,1,1,1,0,0,0,8.0,3.0,1.5,38.0,0.0,8.0,60.0,,,,31.0,6.0,2.0,186.0,0.0,1.0,0.0,0.0,44.0,2.0,2.0,88.0,,,,,2018,,,,7.0,0.0,1.5,42.0,2.0,5.5,66.0,,,,,,,,,,,,,,,,,,,,
