name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Chris Lindstrom,Offensive Guard,Boston College,ACC,76.0,308.0,4.91,25.0,30.5,117.0,7.61,4.54,22.0,0,0,0,0,0,0,0
Michael Deiter,Offensive Guard,Wisconsin,Big Ten,77.0,309.0,5.23,21.0,28.0,105.0,7.88,4.81,23.0,0,0,0,0,0,0,0
Nate Davis,Offensive Guard,Charlotte,Conference USA,75.0,316.0,5.23,23.0,26.0,107.0,7.94,4.83,22.0,0,0,0,0,0,0,0
Connor McGovern,Offensive Guard,Penn State,Big Ten,77.0,308.0,,28.0,,112.0,7.66,4.57,21.0,0,0,0,0,0,0,0
Hjalte Froholdt,Offensive Guard,Arkansas,SEC,77.0,306.0,5.2,31.0,27.5,105.0,7.51,4.54,23.0,0,0,0,0,0,0,0
Ben Powers,Offensive Guard,Oklahoma,Big 12,76.0,307.0,,21.0,,,,,22.0,0,0,0,0,0,0,0
Phil Haynes,Offensive Guard,Wake Forest,ACC,76.0,322.0,5.2,33.0,31.0,108.0,7.76,4.95,23.0,0,0,0,0,0,0,0
Wes Martin,Offensive Guard,Indiana,Big Ten,75.0,311.0,,,,,,,23.0,0,0,0,0,0,0,0
Ross Pierschbacher,Offensive Guard,Alabama,SEC,76.0,307.0,5.2,20.0,22.5,,7.83,4.7,24.0,0,0,0,0,0,0,0
Derwin Gray,Offensive Guard,Maryland,Big Ten,77.0,320.0,5.26,26.0,,90.0,,,24.0,0,0,0,0,0,0,0
George Asafo-Adjei,Offensive Guard,Kentucky,SEC,76.0,305.0,,,,,,,22.0,0,0,0,0,0,0,0
