name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y0_conf_prestige,Y1_conf_prestige,Y2_conf_prestige,Y3_conf_prestige,conference_prestige
Dalton Kincaid,Tight End,Utah,Pac-12,0.3333333333333333,0.3333333333333333,,,,,,,0.5,3,0,0,1,1,1,0,0.7647058823529411,0.5,0.7859128822984245,0.424,,,,,0.4451510333863275,0.5470085470085471,0.4548026805658973,0.6376811594202898,0.125,0.0,0.2396694214876033,0.5,0.0,0.0,0.01300578034682081,0.43269230769230765,,,,,,,,,2023,0.9,0.9,0.9,,0.9
Sam LaPorta,Tight End,Iowa,Big Ten,0.16666666666666666,0.3055555555555556,0.7203799405958716,,0.5517241379310345,0.5769230769230769,0.8401752057873934,0.8180147137351794,0.3333333333333333,4,1,1,1,1,0,0,0.6235294117647059,0.0625,0.5690454124189064,0.31200000000000006,0.18181818181818182,0.0,0.08695652173913043,0.043478260869565216,0.6613672496025437,0.20512820512820512,0.5977661950856292,0.5603864734299517,,,,,0.52,0.09090909090909091,0.38439306358381503,0.24038461538461536,0.4117647058823529,0.0,0.4080717488789238,0.38235294117647056,,,,,2023,1.0,1.0,1.0,1.0,1.0
Michael Mayer,Tight End,Notre Dame,FBS Independents,0.5,0.4166666666666667,0.3501964086836398,,0.3793103448275862,0.38461538461538464,,,0.3333333333333333,3,0,1,1,1,0,0,0.7294117647058823,0.5625,0.7108433734939759,0.376,,,,,0.890302066772655,0.47863247863247865,0.7496649292628444,0.5217391304347827,,,,,0.82,0.18181818181818182,0.6430635838150289,0.2740384615384615,,,,,,,,,2023,0.9,0.9,0.9,,0.9
Luke Musgrave,Tight End,Oregon State,Pac-12,0.6666666666666666,0.5277777777777778,0.658766448451838,,0.6206896551724138,0.6538461538461539,,,0.5,4,0,1,1,1,1,0,0.07058823529411765,0.0625,0.11770157553290084,0.6400000000000001,,,,,0.2670906200317965,0.06837606837606838,0.2707371556217424,0.6183574879227054,0.125,0.0,0.0743801652892562,0.08333333333333333,0.2,0.0,0.17485549132947978,0.3125,0.029411764705882353,0.0,0.026905829596412557,0.17647058823529413,,,,,2023,0.9,0.9,0.9,0.9,0.9
Luke Schoonmaker,Tight End,Michigan,Big Ten,0.5,0.4722222222222222,0.5912379641367415,,0.4482758620689655,0.7307692307692307,,0.787901305782284,0.6666666666666666,4,0,0,1,1,1,1,0.35294117647058826,0.1875,0.3484708063021316,0.36000000000000004,,,,,0.20349761526232116,0.20512820512820512,0.14653760238272526,0.42028985507246375,,,,,,,,,0.029411764705882353,0.16666666666666666,0.10762331838565023,1.2352941176470589,,,,,2023,1.0,1.0,,1.0,1.0
Brenton Strange,Tight End,Penn State,Big Ten,0.3333333333333333,0.5277777777777778,0.3501964086836398,0.8636363636363636,0.6206896551724138,0.6153846153846154,0.14801566081656248,0.257073275238903,0.3333333333333333,4,1,1,1,1,0,0,0.3176470588235294,0.3125,0.2965708989805375,0.31200000000000006,0.09090909090909091,0.0,0.0,0.0,0.24165341812400637,0.20512820512820512,0.20014892032762474,0.497584541062802,,,,,0.32,0.18181818181818182,0.22976878612716764,0.22115384615384612,0.0,0.16666666666666666,-0.004484304932735426,-0.11764705882352941,,,,,2023,1.0,1.0,1.0,1.0,1.0
Darnell Washington,Tight End,Georgia,SEC,0.8333333333333334,0.8333333333333334,0.5559977581104663,0.7727272727272727,0.27586206896551724,0.5384615384615384,,0.9546245426512907,0.3333333333333333,3,0,1,1,1,0,0,0.27058823529411763,0.125,0.3818350324374421,0.7040000000000001,,,,,0.11446740858505565,0.06837606837606838,0.13670886075949368,0.6956521739130436,,,,,0.12,0.0,0.23265895953757226,0.8990384615384615,,,,,,,,,2023,1.0,1.0,1.0,,1.0
Cameron Latu,Tight End,Alabama,SEC,0.3333333333333333,0.2222222222222222,,,,,,,0.5,4,0,1,1,1,1,0,0.29411764705882354,0.25,0.31047265987025024,0.416,,,,,0.3179650238473768,0.5470085470085471,0.36545048399106483,0.7149758454106281,,,,,,,,,,,,,,,,,2023,1.0,1.0,,1.0,1.0
Josh Whyle,Tight End,Cincinnati,American Athletic,0.8333333333333334,0.3888888888888889,0.3818503103600758,,0.4482758620689655,0.2692307692307692,,,0.5,4,0,1,1,1,1,0,0.3176470588235294,0.1875,0.2632066728452271,0.22399999999999995,,,,,0.3179650238473768,0.41025641025641024,0.2957557706626955,0.570048309178744,,,,,0.54,0.5454545454545454,0.5028901734104047,0.36538461538461536,0.029411764705882353,0.0,0.10089686098654709,1.1470588235294117,,,,,2023,0.9,0.9,0.9,0.9,0.55
Will Mallory,Tight End,Miami,ACC,0.5,0.1388888888888889,0.8429366880129184,0.7272727272727273,0.6551724137931034,0.5,,,0.6666666666666666,4,0,0,1,1,1,1,0.43529411764705883,0.1875,0.45968489341983315,0.4320000000000001,,,,,0.3688394276629571,0.27350427350427353,0.3091586001489204,0.5120772946859904,,,,,0.42,0.36363636363636365,0.4682080924855491,0.4807692307692307,0.4411764705882353,0.3333333333333333,0.6434977578475336,0.723529411764706,,,,,2023,0.9,0.9,0.9,0.9,0.9
Payne Durham,Tight End,Purdue,Big Ten,0.6666666666666666,0.5277777777777778,0.04905417389756236,,0.5172413793103449,0.34615384615384615,,,0.5,4,0,1,1,1,1,0,0.6,0.5,0.48007414272474513,0.208,0.09090909090909091,0.0,0.057971014492753624,0.057971014492753624,0.5596184419713831,0.41025641025641024,0.41638123603871935,0.45410628019323673,,,,,0.3,0.2727272727272727,0.23265895953757226,0.25961538461538464,0.23529411764705882,0.6666666666666666,0.17040358744394618,0.18235294117647058,,,,,2023,1.0,1.0,1.0,1.0,1.0
Davis Allen,Tight End,Clemson,ACC,0.6666666666666666,0.3055555555555556,0.07820742538015438,,0.7931034482758621,0.6538461538461539,,,0.3333333333333333,4,1,1,1,1,0,0,0.4,0.3125,0.3716404077849861,0.32000000000000006,,,,,0.34340222575516693,0.20512820512820512,0.18495904690990322,0.3091787439613527,,,,,0.3,0.36363636363636365,0.34971098265895956,0.5,0.11764705882352941,0.0,0.10538116591928251,0.27058823529411763,,,,,2023,0.9,0.9,0.9,0.9,0.9
Zack Kuntz,Tight End,Old Dominion,Sun Belt,0.8333333333333334,0.5833333333333334,0.8219630120556142,0.8636363636363636,0.896551724137931,0.7692307692307693,0.8713817934619045,0.9345015530732493,0.6666666666666666,4,0,0,1,1,1,1,0.08235294117647059,0.125,0.09453197405004633,0.36800000000000005,,,,,0.9157392686804452,0.3418803418803419,0.6174236783320924,0.4106280193236715,,,,,,,,,0.029411764705882353,0.0,0.026905829596412557,0.17647058823529413,,,,,2023,0.35,0.35,,1.0,0.35
Brayden Willis,Tight End,Oklahoma,Big 12,0.3333333333333333,0.19444444444444445,,0.7272727272727273,0.3448275862068966,0.34615384615384615,0.0974888806752924,0.5779895382572842,0.5,4,0,1,1,1,1,0,0.4,0.4375,0.43744207599629287,0.46399999999999997,0.9090909090909091,0.0,0.37681159420289856,0.03768115942028986,0.178060413354531,0.13675213675213677,0.15725986597170516,0.5217391304347827,,,,,0.16,0.09090909090909091,0.15173410404624277,0.3461538461538461,0.29411764705882354,0.5,0.3632286995515695,0.5470588235294118,0.2,0.0,0.013513513513513514,0.057692307692307696,2023,1.0,1.0,1.0,1.0,0.9
