name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y2_college,Y3_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Jaelan Phillips,Defensive End,Miami,ACC,78.0,260.0,4.56,21.0,36.0,125.0,,,22.0,4,1,1,1,1,0,0,Miami,3.0,5.0,7.0,21.0,0.0,15.5,45.0,,,,,UCLA,UCLA,,,,,,,,,,,0.0,1.0,1.0,12.0,0.0,1.0,20.0,,,,,,,2.0,0.0,3.5,16.0,0.0,7.0,21.0
Kwity Paye,Defensive End,Michigan,Big Ten,75.0,261.0,4.52,36.0,35.3,118.0,,,22.0,4,1,1,1,1,0,0,Michigan,0.0,2.0,2.0,11.0,0.0,4.0,13.0,,,,Michigan,Michigan,Michigan,0.0,0.0,1.0,0.0,3.0,6.5,26.0,0.0,12.5,50.0,1.0,2.0,2.0,21.0,0.0,5.5,27.0,,,,,,,0.0,0.0,1.0,0.0,0.0,1.5,4.0
Payton Turner,Defensive End,Houston,American Athletic,78.0,268.0,,23.0,35.5,,6.98,4.33,22.0,4,1,1,1,1,0,0,Houston,0.0,1.0,5.0,17.0,0.0,10.5,25.0,,,,Houston,Houston,Houston,,,,4.0,5.0,4.0,20.0,0.0,8.0,34.0,4.0,4.0,0.0,21.0,0.0,4.5,42.0,,,,,,,1.0,3.0,1.0,10.0,0.0,2.0,14.0
Gregory Rousseau,Defensive End,Miami,ACC,79.0,266.0,4.68,21.0,30.0,115.0,,,21.0,3,0,1,1,0,0,0,,,,,,,,,,,,Miami,Miami,,0.0,0.0,1.0,1.0,7.0,15.5,34.0,0.0,19.5,54.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,
Dayo Odeyingbo,Defensive End,Vanderbilt,SEC,77.0,285.0,,,,,,,21.0,4,1,1,1,0,0,0,Vanderbilt,1.0,9.0,5.5,15.0,0.0,8.0,32.0,,,,Vanderbilt,Vanderbilt,Vanderbilt,,,,0.0,7.0,1.5,20.0,0.0,12.0,45.0,2.0,6.0,2.5,17.0,1.0,6.5,28.0,0.0,0.0,1.0,,,,0.0,1.0,2.5,11.0,0.0,4.5,21.0
Carlos Basham Jr.,Defensive End,Wake Forest,ACC,75.0,274.0,,,,,,,23.0,4,0,1,1,1,1,0,Wake Forest,1.0,2.0,5.0,20.0,0.0,5.5,28.0,,,,Wake Forest,Wake Forest,Wake Forest,,,,3.0,13.0,11.0,26.0,0.0,18.0,57.0,1.0,5.0,4.5,36.0,1.0,11.0,64.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,15.0,0.0,2.0,24.0
Joseph Ossai,Defensive End,Texas,Big 12,76.0,256.0,4.63,19.0,41.5,131.0,,,21.0,3,1,1,1,0,0,0,Texas,2.0,2.0,5.5,25.0,0.0,15.5,55.0,0.0,0.0,2.0,Texas,Texas,,,,,1.0,9.0,5.0,61.0,0.0,13.5,90.0,0.0,0.0,1.0,13.0,0.0,1.0,20.0,,,,,,,,,,,,,
Chauncey Golston,Defensive End,Iowa,Big Ten,77.0,269.0,4.79,,36.0,119.0,7.52,4.65,23.0,4,0,1,1,1,1,0,Iowa,1.0,3.0,5.5,24.0,0.0,8.5,45.0,,,,Iowa,Iowa,Iowa,,,,5.0,7.0,3.0,26.0,0.0,9.5,47.0,1.0,3.0,3.5,17.0,0.0,9.0,33.0,0.0,0.0,2.0,,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Patrick Jones II,Defensive End,Pittsburgh,ACC,76.0,261.0,,,,,,,22.0,4,1,1,1,1,0,0,Pittsburgh,3.0,5.0,8.5,24.0,0.0,12.5,42.0,0.0,0.0,1.0,Pittsburgh,Pittsburgh,Pittsburgh,,,,1.0,18.0,8.5,26.0,0.0,11.5,42.0,0.0,3.0,3.5,14.0,0.0,6.0,19.0,,,,,,,0.0,0.0,0.5,3.0,0.0,1.0,7.0
Ronnie Perkins,Defensive End,Oklahoma,Big 12,75.0,253.0,4.71,25.0,32.0,115.0,,4.69,21.0,3,1,1,1,0,0,0,Oklahoma,0.0,8.0,5.5,16.0,0.0,10.5,23.0,,,,Oklahoma,Oklahoma,,,,,0.0,6.0,6.0,28.0,0.0,13.5,38.0,1.0,4.0,5.0,17.0,0.0,8.0,37.0,,,,,,,,,,,,,
Cameron Sample,Defensive End,Tulane,American Athletic,75.0,267.0,4.72,23.0,37.0,116.0,7.39,4.48,21.0,4,1,1,1,0,0,0,Tulane,1.0,3.0,5.0,29.0,0.0,7.5,52.0,,,,Tulane,Tulane,Tulane,0.0,0.0,1.0,4.0,3.0,1.5,30.0,0.0,5.5,44.0,1.0,1.0,4.0,17.0,0.0,5.5,40.0,,,,,,,1.0,1.0,0.0,15.0,0.0,2.0,26.0
Jordan Smith,Defensive End,UAB,Conference USA,78.0,264.0,4.8,16.0,33.0,117.0,,,23.0,2,0,0,0,1,1,0,UAB,1.0,8.0,4.5,23.0,0.0,9.0,42.0,,,,UAB,,,,,,1.0,8.0,10.0,34.0,0.0,17.0,52.0,,,,,,,,,,,,,,,,,,,,
Janarius Robinson,Defensive End,Florida State,ACC,77.0,263.0,,,,,,,22.0,4,1,1,1,1,0,0,Florida State,1.0,5.0,3.0,12.0,0.0,7.0,26.0,,,,Florida State,Florida State,Florida State,0.0,0.0,2.0,1.0,3.0,3.0,24.0,0.0,9.0,48.0,1.0,3.0,1.0,18.0,0.0,3.0,27.0,,,,,,,0.0,0.0,1.0,1.0,0.0,1.5,4.0
