name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y2_college,Y3_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Jordan Davis,Defensive Tackle,Georgia,SEC,78.0,341.0,4.78,,32.0,123.0,,,22.0,4,1,1,1,1,0,0,Georgia,1.0,1.0,2.0,17.0,0.0,5.5,32.0,,,,Georgia,Georgia,Georgia,,,,0.0,0.0,1.0,7.0,0.0,1.0,16.0,0.0,1.0,2.5,7.0,0.0,4.0,17.0,,,,,,,0.0,0.0,1.5,6.0,0.0,1.5,25.0
Devonte Wyatt,Defensive Tackle,Georgia,SEC,75.0,304.0,4.77,,29.0,111.0,,,24.0,4,0,0,1,1,1,1,Georgia,1.0,3.0,2.5,18.0,0.0,7.0,39.0,0.0,0.0,1.0,Georgia,Georgia,Georgia,,,,1.0,1.0,0.0,12.0,0.0,2.0,25.0,0.0,1.0,1.0,11.0,0.0,1.5,30.0,,,,,,,1.0,0.0,1.5,8.0,0.0,1.5,19.0
Phidarian Mathis,Defensive Tackle,Alabama,SEC,76.0,310.0,,,23.5,109.0,,4.91,24.0,4,0,0,1,1,1,1,Alabama,2.0,6.0,9.0,20.0,0.0,11.5,53.0,0.0,0.0,2.0,Alabama,Alabama,Alabama,,,,3.0,3.0,1.0,15.0,0.0,4.5,29.0,0.0,2.0,0.0,13.0,0.0,0.5,27.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,18.0
Travis Jones,Defensive Tackle,UConn,FBS Independents,76.0,325.0,4.92,,28.5,110.0,7.33,4.58,22.0,4,1,1,1,1,0,0,UConn,0.0,7.0,4.5,16.0,0.0,7.5,48.0,,,,,UConn,UConn,,,,,,,,,,,0.0,3.0,3.5,14.0,0.0,6.0,40.0,0.0,0.0,1.0,,,,0.0,0.0,0.5,17.0,0.0,5.5,46.0
Zachary Carter,Defensive Tackle,Florida,SEC,76.0,282.0,4.99,19.0,27.5,110.0,,,23.0,4,0,1,1,1,1,0,Florida,2.0,3.0,8.0,15.0,0.0,11.5,31.0,,,,Florida,Florida,Florida,0.0,0.0,2.0,2.0,12.0,5.0,14.0,1.0,9.5,36.0,2.0,4.0,4.5,10.0,0.0,6.0,30.0,,,,,,,2.0,1.0,0.0,1.0,0.0,1.0,8.0
Perrion Winfrey,Defensive Tackle,Oklahoma,Big 12,76.0,290.0,4.89,,,,,,22.0,2,0,0,1,1,0,0,Oklahoma,0.0,2.0,5.5,11.0,0.0,11.0,23.0,,,,Oklahoma,,,,,,3.0,1.0,0.5,9.0,0.0,5.5,17.0,,,,,,,,,,,,,,,,,,,,
Neil Farrell Jr.,Defensive Tackle,LSU,SEC,76.0,330.0,,,,,,,23.0,4,0,1,1,1,1,0,LSU,2.0,1.0,2.0,20.0,0.0,9.5,45.0,,,,LSU,LSU,LSU,,,,1.0,0.0,1.0,8.0,0.0,1.5,24.0,1.0,4.0,3.0,15.0,0.0,7.0,46.0,,,,,,,1.0,2.0,1.5,10.0,0.0,4.0,23.0
D.J. Davidson,Defensive Tackle,Arizona State,Pac-12,75.0,327.0,,,,,,,22.0,4,1,1,1,1,0,0,Arizona State,4.0,1.0,0.5,21.0,0.0,6.0,57.0,0.0,0.0,1.0,Arizona State,Arizona State,Arizona State,,,,0.0,0.0,1.0,9.0,0.0,1.5,19.0,1.0,2.0,1.5,26.0,0.0,4.5,51.0,,,,,,,1.0,0.0,2.0,6.0,0.0,3.5,10.0
Thomas Booker,Defensive Tackle,Stanford,Pac-12,75.0,301.0,4.94,,,110.0,7.33,4.41,22.0,4,1,1,1,1,0,0,Stanford,1.0,6.0,1.5,28.0,0.0,5.0,59.0,,,,Stanford,Stanford,Stanford,,,,2.0,0.0,1.0,15.0,0.0,3.0,21.0,3.0,2.0,4.0,32.0,0.0,8.5,50.0,,,,0.0,0.0,1.0,2.0,1.0,3.5,14.0,0.0,4.0,29.0
Otito Ogbonnia,Defensive Tackle,UCLA,Pac-12,76.0,324.0,,29.0,,,,,22.0,4,1,1,1,1,0,0,UCLA,2.0,2.0,2.0,15.0,0.0,5.0,27.0,0.0,0.0,1.0,UCLA,UCLA,UCLA,,,,2.0,1.0,1.5,7.0,0.0,1.5,16.0,1.0,0.0,1.0,9.0,0.0,2.0,12.0,,,,,,,1.0,1.0,0.0,9.0,0.0,0.0,21.0
