name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college
Tyler Booker,Offensive Guard,Alabama,SEC,77.0,321.0,5.38,27.0,94.0,7.96,4.84,21.0,0,0,0,0,0,0,0,
Donovan Jackson,Offensive Guard,Ohio State,Big Ten,76.0,315.0,,,,,,22.0,0,0,0,0,0,0,0,
Jonah Savaiinaea,Offensive Guard,Arizona,Big 12,76.0,324.0,4.95,29.0,106.0,,4.66,21.0,0,0,0,0,0,0,0,
Dylan Fairchild,Offensive Guard,Georgia,SEC,77.0,318.0,,27.5,111.0,,,22.0,1,0,0,0,1,0,0,Georgia
Wyatt Milum,Offensive Guard,West Virginia,Big 12,79.0,313.0,5.27,30.0,108.0,,4.69,22.0,0,0,0,0,0,0,0,
Jalen Rivers,Offensive Guard,Miami,ACC,78.0,319.0,5.29,,108.0,,,22.0,0,0,0,0,0,0,0,
Miles Frazier,Offensive Guard,LSU,SEC,78.0,317.0,5.24,31.0,108.0,,,23.0,0,0,0,0,0,0,0,
Hayden Conner,Offensive Guard,Texas,SEC,78.0,314.0,,,,7.9,4.88,23.0,0,0,0,0,0,0,0,
Connor Colby,Offensive Guard,Iowa,Big Ten,78.0,309.0,5.11,28.5,110.0,7.78,4.63,22.0,0,0,0,0,0,0,0,
