name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Samuel Womack,Cornerback,Toledo,Mid-American,70.0,187.0,,,,,,,23.0,4,0,1,1,1,1,0,15.0,1.0,0.0,16.0,0.0,1.0,32.0,,,,,,,,,,,,,,,,,,,,29.0,2.0,0.0,58.0,,,,,,,,,,,,,,,,2.5,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,7.0,0.0,0.5,12.0,0.0,1.5,20.0,15.0,0.0,0.0,49.0,0.0,0.5,59.0,1.0,0.0,0.0,8.0,0.0,1.5,12.0
Derion Kendrick,Cornerback,Georgia,SEC,72.0,194.0,,,,,,,22.0,4,1,1,1,1,0,0,3.0,0.0,0.0,24.0,0.0,2.0,41.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,25.5,32.0,2.0,0.0,51.0,,,,,,3.5,4.0,0.0,14.0,,,,,,,,,,,1.8,9.0,9.0,0.0,16.0,26.0,2.0,1.0,52.0,23.0,40.0,13.0,0.0,299.0,,,,,,,,,,6.0,0.0,1.0,12.0,0.0,1.5,18.0,5.0,0.0,0.0,30.0,1.0,1.5,43.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
Ja'Sir Taylor,Cornerback,Wake Forest,ACC,70.0,185.0,,,,,,,23.0,4,0,1,1,1,1,0,5.0,0.0,0.0,47.0,1.0,4.0,60.0,22.5,2.0,1.0,45.0,,,,,,,,,,,26.3,99.0,8.0,1.0,210.0,24.0,2.0,0.0,48.0,,,,,,,,,,,12.5,25.0,2.0,0.0,25.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,6.0,0.0,0.0,34.0,1.0,1.0,42.0,2.0,1.0,1.0,26.0,0.0,2.0,30.0,6.0,0.0,0.0,22.0,0.0,1.0,26.0
Tariq Castro-Fields,Cornerback,Penn State,Big Ten,73.0,197.0,4.38,,,,,,23.0,4,0,1,1,1,1,0,7.0,0.0,0.0,26.0,0.0,0.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,8.0,,,,,,-2.0,0.0,1.0,0.0,-2.0,,,,,1.0,0.0,0.0,6.0,0.0,0.0,12.0,8.0,0.0,0.0,32.0,0.0,3.0,52.0,7.0,0.0,1.0,21.0,0.0,5.5,32.0
Montaric Brown,Cornerback,Arkansas,SEC,72.0,196.0,4.55,,,,,,23.0,4,0,1,1,1,1,0,6.0,0.0,0.0,24.0,0.0,1.0,54.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,12.0,1.0,0.0,12.0,,,,,,,,,,,,,,,6.0,0.0,0.0,20.0,0.0,2.0,31.0,3.0,0.0,0.0,23.0,0.0,1.0,36.0,1.0,0.0,0.0,8.0,0.0,0.0,9.0
Faion Hicks,Cornerback,Wisconsin,Big Ten,70.0,192.0,,,,,,,24.0,4,0,0,1,1,1,1,8.0,1.0,0.0,21.0,0.0,0.0,27.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,13.0,1.0,0.0,0.0,26.0,0.0,1.0,32.0,3.0,0.0,0.0,27.0,0.0,1.0,33.0
Deane Leonard,Cornerback,Ole Miss,SEC,72.0,195.0,,,,,,,22.0,2,0,0,1,1,0,0,6.0,0.0,0.0,28.0,0.0,1.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,8.0,0.0,0.0,14.0,,,,,,,,,,,,,,
Chase Lucas,Cornerback,Arizona State,Pac-12,71.0,180.0,4.48,,39.0,128.0,,,25.0,4,0,0,0,1,1,1,6.0,0.0,0.0,30.0,0.0,1.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.0,0.0,21.0,,,,,,,,,,,7.3,3.0,0.0,22.0,5.0,0.0,0.0,14.0,0.0,0.0,15.0,4.0,0.0,0.0,50.0,0.0,4.0,53.0,4.0,0.0,2.0,38.0,0.0,6.0,50.0
Christian Holmes,Cornerback,Oklahoma State,Big 12,73.0,205.0,,,,,,,24.0,4,0,0,1,1,1,1,7.0,0.0,0.0,33.0,0.0,0.0,39.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2.0,1.0,42.0,5.0,0.0,0.0,18.0,0.0,3.0,24.0,4.0,0.0,0.0,24.0,0.0,2.5,29.0,12.0,0.0,0.0,26.0,1.0,1.5,35.0
Kalon Barnes,Cornerback,Baylor,Big 12,72.0,183.0,4.23,,,,,,23.0,4,0,1,1,1,1,0,5.0,0.0,0.0,21.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,18.0,1.0,0.0,18.0,,,,,,,,,,,,,,,3.0,0.0,0.0,11.0,0.0,2.0,13.0,5.0,0.0,0.0,13.0,0.0,0.5,22.0,1.0,0.0,0.0,7.0,0.0,0.0,10.0
Jaylen Watson,Cornerback,Washington State,Pac-12,74.0,197.0,4.51,18.0,,,,,23.0,2,0,0,0,1,1,0,3.0,0.0,0.0,23.0,0.0,1.0,31.0,,,,,,,,,,,,,,,,,,,,5.5,2.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,11.0,0.0,1.0,13.0,,,,,,,,,,,,,,
