name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Stephen Sullivan,Tight End,LSU,SEC,77.0,248.0,4.66,,36.5,123.0,7.51,4.62,23.0,3,0,0,1,1,1,0,,,,30.0,12.0,0.0,130.0,10.8,,,,,,42.0,23.0,2.0,363.0,15.8,2.0,11.0,0.0,20.0,10.0,46.0,11.0,1.0,219.0,19.9,2.0,4.0,1.0,5.0,2.5,,,,,,,,,,,2020,,,,,,,,,
Kyle Pitts,Tight End,Florida,SEC,78.0,245.0,4.44,22.0,33.5,129.0,7.12,4.3,20.0,3,1,1,0,0,0,0,,,,71.0,43.0,12.0,770.0,17.9,,,,,,32.0,54.0,5.0,649.0,12.0,,,,,,52.0,3.0,1.0,73.0,24.3,,,,,,,,,,,,,,,,2021,,,,,,,,,
Pat Freiermuth,Tight End,Penn State,Big Ten,77.0,251.0,,26.0,,,,,22.0,3,0,1,1,1,0,0,,,,74.0,23.0,1.0,310.0,13.5,,,,,,28.0,43.0,7.0,507.0,11.8,,,,,,27.0,26.0,8.0,368.0,14.2,,,,,,,,,,,,,,,,2021,1.0,0.0,0.0,,,,,,
Hunter Long,Tight End,Boston College,ACC,77.0,254.0,,,,,,,23.0,3,0,0,1,1,1,0,,,,36.0,57.0,5.0,685.0,12.0,,,,,,72.0,28.0,2.0,509.0,18.2,,,,,,35.0,4.0,2.0,103.0,25.8,,,,,,,,,,,,,,,,2021,1.0,1.0,0.0,,,,,,
Tommy Tremble,Tight End,Notre Dame,FBS Independents,75.0,241.0,4.6,20.0,36.5,122.0,,,21.0,2,0,1,1,0,0,0,,,,30.0,19.0,0.0,217.0,11.4,1.0,4.0,0.0,4.0,4.0,29.0,16.0,4.0,183.0,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,
Tre' McKitty,Tight End,Georgia,SEC,76.0,246.0,,,,,,,22.0,4,1,1,1,1,0,0,,,,40.0,6.0,1.0,108.0,18.0,,,,,,30.0,23.0,0.0,241.0,10.5,,,,,,32.0,26.0,2.0,256.0,9.8,,,,,,23.0,1.0,0.0,23.0,23.0,,,,,,2021,,,,1.0,1.0,0.0,,,
John Bates,Tight End,Boise State,Mountain West,77.0,250.0,4.84,19.0,31.5,120.0,6.85,4.35,23.0,4,0,1,1,1,1,0,,,,28.0,12.0,0.0,117.0,9.8,,,,,,28.0,22.0,1.0,273.0,12.4,,,,,,30.0,10.0,1.0,155.0,15.5,,,,,,17.0,3.0,0.0,34.0,11.3,,,,,,2021,,,,,,,,,
Kylen Granson,Tight End,SMU,American Athletic,74.0,241.0,,,,,,,23.0,4,0,1,1,1,1,0,,,,42.0,35.0,5.0,536.0,15.3,1.0,0.0,0.0,0.0,0.0,58.0,43.0,9.0,721.0,16.8,2.0,9.0,0.0,11.0,5.5,,,,,,,,,,,41.0,18.0,0.0,241.0,13.4,6.0,21.0,0.0,51.0,8.5,2021,,,,,,,1.0,1.0,0.0
Luke Farrell,Tight End,Ohio State,Big Ten,78.0,251.0,4.79,22.0,36.5,118.0,7.14,4.36,23.0,4,0,1,1,1,1,0,,,,16.0,5.0,1.0,37.0,7.4,,,,,,22.0,7.0,2.0,119.0,17.0,,,,,,24.0,20.0,1.0,205.0,10.3,,,,,,14.0,2.0,0.0,19.0,9.5,,,,,,2021,,,,,,,,,
Brevin Jordan,Tight End,Miami,ACC,75.0,247.0,4.64,17.0,31.0,116.0,,,21.0,3,1,1,1,0,0,0,,,,76.0,38.0,7.0,576.0,15.2,2.0,1.0,0.0,1.0,0.5,51.0,35.0,2.0,495.0,14.1,1.0,0.0,0.0,0.0,0.0,41.0,32.0,4.0,295.0,9.2,,,,,,,,,,,,,,,,2021,,,,,,,,,
Noah Gray,Tight End,Duke,ACC,75.0,240.0,4.55,15.0,35.0,115.0,6.83,4.37,22.0,4,1,1,1,1,0,0,,,,24.0,28.0,2.0,278.0,9.9,2.0,2.0,0.0,3.0,1.5,23.0,51.0,3.0,392.0,7.7,,,,,,26.0,20.0,1.0,234.0,11.7,,,,,,17.0,5.0,2.0,37.0,7.4,,,,,,2021,,,,,,,,,
Trey McBride,Tight End,Colorado State,Mountain West,76.0,246.0,,18.0,33.0,117.0,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,50.0,90.0,1.0,1121.0,12.5,1.0,69.0,1.0,69.0,69.0,38.0,21.0,4.0,318.0,15.1,,,,,,69.0,45.0,4.0,560.0,12.4,,,,,,48.0,8.0,1.0,99.0,12.4,2.0,2.0,0.0,3.0,1.5,2022,,,,,,,,,
Jelani Woods,Tight End,Virginia,ACC,79.0,253.0,4.61,24.0,,,,,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,40.0,44.0,8.0,598.0,13.6,1.0,1.0,0.0,1.0,1.0,46.0,8.0,1.0,129.0,16.1,1.0,5.0,0.0,5.0,5.0,30.0,16.0,1.0,112.0,7.0,,,,,,32.0,8.0,2.0,135.0,16.9,,,,,,2022,,,,,,,,,
Greg Dulcich,Tight End,UCLA,Pac-12,76.0,243.0,4.69,16.0,34.0,122.0,7.05,4.37,22.0,4,1,1,1,1,0,0,,,,75.0,42.0,5.0,725.0,17.3,,,,,,69.0,26.0,5.0,517.0,19.9,,,,,,31.0,8.0,1.0,105.0,13.1,,,,,,6.0,1.0,0.0,6.0,6.0,,,,,,2022,,,,,,,,,
Jeremy Ruckert,Tight End,Ohio State,Big Ten,78.0,252.0,,19.0,,,,,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,30.0,26.0,3.0,309.0,11.9,,,,,,36.0,13.0,5.0,151.0,11.6,,,,,,25.0,14.0,4.0,142.0,10.1,,,,,,13.0,1.0,0.0,13.0,13.0,,,,,,2022,,,,,,,,,
Cade Otton,Tight End,Washington,Pac-12,77.0,247.0,,,,,,,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,25.0,28.0,1.0,250.0,8.9,,,,,,42.0,18.0,3.0,258.0,14.3,,,,,,36.0,32.0,2.0,344.0,10.8,,,,,,24.0,13.0,3.0,174.0,13.4,,,,,,2022,,,,1.0,0.0,0.0,,,
Daniel Bellinger,Tight End,San Diego State,Mountain West,77.0,253.0,4.63,22.0,34.5,125.0,7.05,4.47,21.0,4,1,1,1,0,0,0,,,,73.0,31.0,2.0,357.0,11.5,1.0,2.0,0.0,2.0,2.0,21.0,21.0,0.0,203.0,9.7,,,,,,28.0,15.0,3.0,201.0,13.4,1.0,0.0,0.0,-6.0,-6.0,10.0,1.0,0.0,10.0,10.0,,,,,,2022,,,,,,,,,
Charlie Kolar,Tight End,Iowa State,Big 12,79.0,252.0,,,,,,,23.0,4,0,1,1,1,1,0,2.0,0.0,0.0,34.0,62.0,6.0,756.0,12.2,,,,,,44.0,44.0,7.0,591.0,13.4,,,,,,49.0,51.0,7.0,697.0,13.7,,,,,,29.0,11.0,3.0,137.0,12.5,,,,,,2022,,,,,,,,,
Jake Ferguson,Tight End,Wisconsin,Big Ten,77.0,250.0,4.81,15.0,31.5,118.0,7.03,4.48,23.0,4,0,1,1,1,1,0,,,,35.0,46.0,3.0,450.0,9.8,,,,,,34.0,30.0,4.0,305.0,10.2,,,,,,28.0,33.0,2.0,407.0,12.3,,,,,,36.0,35.0,4.0,452.0,12.9,,,,,,2022,1.0,1.0,0.0,1.0,1.0,0.0,,,
Isaiah Likely,Tight End,Coastal Carolina,Sun Belt,77.0,245.0,,,36.0,,,4.57,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,99.0,59.0,12.0,912.0,15.5,3.0,12.0,0.0,10.0,3.3,75.0,30.0,5.0,601.0,20.0,,,,,,51.0,32.0,5.0,431.0,13.5,,,,,,31.0,12.0,5.0,106.0,8.8,,,,,,2022,,,,,,,,,
Chigoziem Okonkwo,Tight End,Maryland,Big Ten,75.0,238.0,4.52,,35.5,,,,22.0,4,1,1,1,1,0,0,,,,32.0,52.0,5.0,447.0,8.6,,,,,,,,,,,,,,,,23.0,19.0,2.0,201.0,10.6,,,,,,25.0,6.0,1.0,69.0,11.5,3.0,54.0,2.0,72.0,24.0,2022,,,,,,,,,
Cole Turner,Tight End,Nevada,Mountain West,79.0,249.0,4.76,17.0,27.0,120.0,7.06,4.41,22.0,4,1,1,1,1,0,0,1.0,1.0,0.0,30.0,62.0,10.0,677.0,10.9,,,,,,50.0,49.0,9.0,605.0,12.3,,,,,,18.0,4.0,0.0,51.0,12.8,,,,,,24.0,2.0,1.0,37.0,18.5,,,,,,2022,,,,,,,,,
Teagan Quitoriano,Tight End,Oregon State,Pac-12,78.0,256.0,,22.0,,,,,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,34.0,19.0,3.0,214.0,11.3,,,,,,46.0,14.0,1.0,185.0,13.2,,,,,,28.0,5.0,2.0,100.0,20.0,,,,,,8.0,2.0,0.0,13.0,6.5,,,,,,2022,,,,,,,,,
James Mitchell,Tight End,Virginia Tech,ACC,76.0,249.0,,,,,,,23.0,3,0,0,1,1,1,0,,,,20.0,5.0,1.0,42.0,8.4,1.0,1.0,0.0,1.0,1.0,57.0,26.0,4.0,435.0,16.7,1.0,1.0,1.0,1.0,1.0,67.0,21.0,2.0,363.0,17.3,5.0,3.0,4.0,7.0,1.4,,,,,,,,,,,2022,1.0,1.0,0.0,,,,,,
Grant Calcaterra,Tight End,SMU,American Athletic,76.0,241.0,4.62,20.0,,,,,23.0,4,0,1,1,1,1,0,,,,29.0,38.0,4.0,465.0,12.2,,,,,,,,,,,,,,,,24.0,5.0,0.0,79.0,15.8,,,,,,35.0,26.0,6.0,396.0,15.2,,,,,,2022,,,,,,,1.0,1.0,0.0
John FitzPatrick,Tight End,Georgia,SEC,79.0,262.0,,,,,,,22.0,3,0,1,1,1,0,0,,,,28.0,6.0,0.0,83.0,13.8,,,,,,18.0,10.0,1.0,95.0,9.5,,,,,,22.0,1.0,0.0,22.0,22.0,,,,,,,,,,,,,,,,2022,,,,,,,,,
Ko Kieft,Tight End,Minnesota,Big Ten,77.0,265.0,,,,,,,24.0,4,0,0,1,1,1,1,,,,37.0,7.0,1.0,101.0,14.4,,,,,,15.0,2.0,1.0,29.0,14.5,1.0,0.0,0.0,-2.0,-2.0,,,,,,,,,,,19.0,1.0,0.0,19.0,19.0,,,,,,2022,,,,,,,,,
Nick Muse,Tight End,South Carolina,SEC,77.0,249.0,,,,,,,23.0,3,0,0,1,1,1,0,,,,29.0,20.0,2.0,222.0,11.1,,,,,,35.0,30.0,1.0,425.0,14.2,,,,,,21.0,17.0,0.0,158.0,9.3,,,,,,,,,,,,,,,,2022,,,,1.0,1.0,0.0,,,
