name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Christian Barmore,Defensive Tackle,Alabama,SEC,76.0,310.0,4.93,,,,,,22.0,2,0,0,1,1,0,0,3.0,5.0,6.0,20.0,0.0,7.5,34.0,,,,,,,2.0,5.0,2.0,12.0,0.0,6.0,26.0,,,,,,,,,,,,,,,,,,,,
Levi Onwuzurike,Defensive Tackle,Washington,Pac-12,75.0,290.0,4.89,29.0,30.0,109.0,,,23.0,4,0,1,1,1,1,0,,,,,,,,,,,,,,0.0,0.0,2.0,20.0,0.0,6.0,45.0,0.0,2.0,3.0,16.0,0.0,6.0,31.0,,,,,,,0.0,0.0,2.0,11.0,0.0,3.5,16.0
Alim McNeill,Defensive Tackle,NC State,ACC,74.0,317.0,,,,,,,21.0,3,1,1,1,0,0,0,0.0,1.0,1.0,6.0,1.0,4.5,25.0,0.0,0.0,1.0,,,,2.0,0.0,5.5,16.0,0.0,7.5,28.0,3.0,3.0,3.5,14.0,0.0,5.5,24.0,,,,,,,,,,,,,
Milton Williams,Defensive Tackle,Louisiana Tech,Conference USA,75.0,284.0,4.67,34.0,38.5,121.0,6.96,4.33,22.0,3,0,0,1,1,0,0,0.0,2.0,4.5,22.0,0.0,10.0,45.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,5.5,27.0,0.0,9.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,
Osa Odighizuwa,Defensive Tackle,UCLA,Pac-12,74.0,282.0,,,,,,,23.0,4,0,1,1,1,1,0,1.0,2.0,4.0,12.0,0.0,6.0,30.0,,,,,,,1.0,3.0,3.5,25.0,0.0,10.0,46.0,2.0,1.0,3.0,20.0,0.0,6.0,29.0,,,,0.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,5.5,15.0
Jay Tufele,Defensive Tackle,USC,Pac-12,74.0,305.0,5.0,30.0,30.0,105.0,7.8,4.88,22.0,3,0,1,1,1,0,0,,,,,,,,,,,,,,1.0,1.0,3.5,21.0,0.0,5.5,41.0,0.0,2.0,1.0,9.0,1.0,2.5,16.0,0.0,0.0,1.0,,,,,,,,,,
Bobby Brown III,Defensive Tackle,Texas A&M,SEC,76.0,321.0,,,,,,,21.0,3,1,1,1,0,0,0,0.0,1.0,5.5,10.0,0.0,7.5,22.0,,,,,,,1.0,3.0,0.5,8.0,0.0,2.0,21.0,0.0,1.0,0.0,5.0,0.0,1.0,14.0,,,,,,,,,,,,,
Tyler Shelvin,Defensive Tackle,LSU,SEC,74.0,350.0,5.4,,28.5,97.0,8.15,5.05,23.0,3,0,0,1,1,1,0,,,,,,,,,,,,,,2.0,1.0,0.0,13.0,0.0,3.0,39.0,0.0,0.0,1.5,2.0,0.0,1.5,9.0,,,,,,,,,,,,,
Tommy Togiai,Defensive Tackle,Ohio State,Big Ten,74.0,296.0,4.97,40.0,32.0,105.0,7.2,4.49,21.0,3,1,1,1,0,0,0,2.0,0.0,3.0,12.0,0.0,4.5,23.0,,,,,,,1.0,0.0,0.0,8.0,0.0,2.0,16.0,0.0,0.0,0.0,7.0,0.0,2.0,10.0,,,,,,,,,,,,,
Ta'Quon Graham,Defensive Tackle,Texas,Big 12,75.0,292.0,4.89,32.0,32.5,113.0,7.31,4.68,22.0,4,1,1,1,1,0,0,0.0,2.0,1.0,12.0,0.0,7.0,23.0,0.0,0.0,2.0,,,,1.0,2.0,3.5,16.0,0.0,11.5,30.0,0.0,0.0,1.0,10.0,0.0,2.5,12.0,,,,,,,0.0,0.0,1.0,4.0,0.0,2.0,6.0
Isaiahh Loudermilk,Defensive Tackle,Wisconsin,Big Ten,79.0,293.0,5.08,21.0,28.5,112.0,7.52,4.55,23.0,4,0,1,1,1,1,0,0.0,3.0,2.0,9.0,0.0,2.5,13.0,,,,,,,4.0,2.0,3.0,13.0,0.0,5.0,24.0,2.0,1.0,1.0,8.0,0.0,2.0,14.0,,,,,,,1.0,0.0,1.5,6.0,0.0,1.5,10.0
Daviyon Nixon,Defensive Tackle,Iowa,Big Ten,75.0,313.0,4.9,,28.5,106.0,7.68,4.7,22.0,2,0,0,1,1,0,0,0.0,1.0,5.5,22.0,1.0,13.5,45.0,,,,,,,1.0,5.0,3.0,19.0,0.0,5.5,29.0,,,,,,,,,,,,,,,,,,,,
Tedarrell Slaton,Defensive Tackle,Florida,SEC,76.0,330.0,5.09,27.0,29.0,109.0,7.91,4.81,23.0,4,0,1,1,1,1,0,0.0,5.0,1.5,14.0,0.0,3.5,38.0,,,,,,,1.0,3.0,2.0,12.0,0.0,4.0,29.0,0.0,0.0,0.0,4.0,0.0,1.0,21.0,0.0,0.0,1.0,,,,0.0,1.0,0.0,5.0,0.0,1.5,11.0
Marlon Tuipulotu,Defensive Tackle,USC,Pac-12,74.0,307.0,,,,,,,22.0,4,0,1,1,1,0,0,0.0,0.0,1.0,11.0,0.0,2.5,19.0,,,,,,,3.0,0.0,2.0,23.0,0.0,6.0,46.0,0.0,0.0,3.0,9.0,0.0,3.5,25.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0
