name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
O'Cyrus Torrence,Offensive Guard,Florida,SEC,77.0,330.0,5.31,23.5,101.0,,4.81,23.0,0,0,0,0,0,0,0
Chandler Zavala,Offensive Guard,NC State,ACC,75.0,322.0,,,,,,24.0,0,0,0,0,0,0,0
Sidy Sow,Offensive Guard,Eastern Michigan,Mid-American,77.0,323.0,5.07,32.0,110.0,7.62,4.69,25.0,0,0,0,0,0,0,0
Braeden Daniels,Offensive Guard,Utah,Pac-12,76.0,294.0,4.99,30.5,109.0,7.53,4.6,23.0,0,0,0,0,0,0,0
Jon Gaines II,Offensive Guard,UCLA,Pac-12,76.0,303.0,,,,,,24.0,0,0,0,0,0,0,0
Atonio Mafi,Offensive Guard,UCLA,Pac-12,75.0,338.0,,,,,,22.0,0,0,0,0,0,0,0
Jordan McFadden,Offensive Guard,Clemson,ACC,74.0,303.0,4.99,28.5,,7.7,4.81,23.0,0,0,0,0,0,0,0
Cooper Hodges,Offensive Guard,App State,Sun Belt,,,,,,,,23.0,0,0,0,0,0,0,0
Andrew Vorhees,Offensive Guard,USC,Pac-12,78.0,310.0,,29.0,105.0,,,24.0,0,0,0,0,0,0,0
