name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Jeff Okudah,Cornerback,Ohio State,Big Ten,73.0,205.0,4.48,11.0,41.0,135.0,,,21.0,3,1,1,1,0,0,0,9.0,0.0,0.0,28.0,0.0,1.0,34.0,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,24.0,0.0,0.0,32.0,1.0,0.0,0.0,12.0,0.0,0.0,17.0,,,,,,,
CJ Henderson,Cornerback,Florida,SEC,73.0,204.0,,,,,,,21.0,3,1,1,1,0,0,0,11.0,1.0,1.0,26.0,0.0,3.0,33.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,4.0,2.0,82.0,,,,,,,,,,,,,,,5.0,2.0,3.0,26.0,0.0,5.5,38.0,4.0,0.0,0.0,14.0,2.0,0.0,22.0,,,,,,,
A.J. Terrell,Cornerback,Clemson,ACC,73.0,195.0,4.42,15.0,34.5,129.0,,,21.0,3,1,1,1,0,0,0,3.0,2.0,0.5,24.0,0.0,0.5,34.0,31.7,3.0,1.0,95.0,,,,,,,,,,,,,,,,32.5,2.0,0.0,65.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,3.0,0.0,0.0,34.0,0.0,2.0,45.0,7.0,0.0,0.0,9.0,0.0,1.0,15.0,,,,,,,
Damon Arnette,Cornerback,Ohio State,Big Ten,72.0,195.0,4.56,,,,,,24.0,4,0,0,1,1,1,1,8.0,0.0,0.0,27.0,1.0,1.0,35.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,96.0,1.0,1.0,96.0,,,,,,,,,,,,,,,,17.5,2.0,0.0,35.0,,,,,,,,,,,0.0,1.0,0.0,0.0,6.0,0.0,0.0,31.0,0.0,0.0,40.0,8.0,0.0,0.0,35.0,0.0,3.0,44.0,0.0,0.0,0.0,11.0,0.0,0.0,21.0
Noah Igbinoghene,Cornerback,Auburn,SEC,70.0,198.0,4.48,15.0,37.0,128.0,,,20.0,3,1,1,0,0,0,0,7.0,0.0,0.0,28.0,1.0,1.0,42.0,0.0,1.0,0.0,0.0,,,,,,23.8,72.0,24.0,0.0,571.0,35.2,96.0,9.0,1.0,317.0,,,,,,,,,,28.3,96.0,11.0,1.0,311.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,0.0,29.0,1.0,1.0,38.0,,,,,,,,,,,,,,
Jeff Gladney,Cornerback,TCU,Big 12,70.0,191.0,4.48,17.0,37.5,124.0,7.26,,23.0,4,0,1,1,1,1,0,14.0,0.0,0.5,24.0,0.0,1.5,31.0,17.0,2.0,0.0,34.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,47.0,2.0,0.0,94.0,,,,,,,,,,,,,,,13.0,0.0,0.0,21.0,0.0,1.0,28.0,5.0,0.0,0.0,20.0,0.0,0.0,24.0,6.0,0.0,0.0,30.0,0.0,0.5,46.0
Jaylon Johnson,Cornerback,Utah,Pac-12,72.0,193.0,4.5,15.0,36.5,124.0,7.01,4.13,21.0,3,1,1,1,0,0,0,11.0,0.0,0.0,34.0,1.0,1.0,36.0,31.5,4.0,1.0,126.0,,,,,,,,,,,,,,,,19.5,2.0,1.0,39.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,4.0,0.0,1.0,31.0,1.0,2.0,41.0,6.0,0.0,0.0,17.0,0.0,0.0,19.0,,,,,,,
Trevon Diggs,Cornerback,Alabama,SEC,73.0,205.0,,,,,,,21.0,4,1,1,1,0,0,0,8.0,0.0,0.0,20.0,2.0,0.5,37.0,0.0,1.0,0.0,0.0,,,,,,37.0,55.0,2.0,0.0,74.0,19.5,36.0,6.0,0.0,117.0,26.3,3.0,1.0,79.0,,,,,,,,,,,8.6,23.0,18.0,0.0,154.0,,,,,23.7,41.0,7.0,0.0,166.0,9.3,47.0,14.0,0.0,130.0,,,,,6.0,0.0,0.0,18.0,0.0,0.0,20.0,3.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
Kristian Fulton,Cornerback,LSU,SEC,72.0,197.0,4.46,,35.5,123.0,6.94,4.36,22.0,4,0,0,1,1,0,0,14.0,0.0,0.0,28.0,0.0,1.0,38.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,19.0,0.0,1.0,24.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Michael Ojemudia,Cornerback,Iowa,Big Ten,73.0,200.0,4.45,,36.0,122.0,6.87,4.21,22.0,4,1,1,1,1,0,0,9.0,0.0,0.0,41.0,0.0,1.0,52.0,12.7,3.0,0.0,38.0,,,,,,,,,,,,,,,,4.0,3.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,23.0,0.0,0.5,39.0,1.0,0.0,0.0,20.0,0.0,0.0,29.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0
Cameron Dantzler,Cornerback,Mississippi State,SEC,74.0,188.0,4.64,,34.5,,,,22.0,3,0,1,1,1,0,0,8.0,0.0,0.5,31.0,0.0,2.0,40.0,4.0,2.0,0.0,8.0,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,15.0,1.0,0.0,15.0,,,,,,,,,,,,,,,9.0,1.0,1.0,32.0,0.0,2.0,43.0,3.0,1.0,0.0,15.0,0.0,2.0,25.0,,,,,,,
Darnay Holmes,Cornerback,UCLA,Pac-12,70.0,195.0,4.48,12.0,,,,,22.0,3,0,1,1,1,0,0,6.0,0.0,0.0,23.0,0.0,1.0,33.0,10.3,3.0,1.0,31.0,4.5,9.0,4.0,0.0,18.0,21.7,54.0,33.0,0.0,715.0,20.0,20.0,1.0,0.0,20.0,0.0,2.0,0.0,0.0,,,,,,35.8,93.0,4.0,1.0,143.0,,,,,,10.0,3.0,1.0,30.0,,,,,,,,,,,,,,,7.0,1.0,0.0,36.0,2.0,1.0,47.0,3.0,0.0,0.0,29.0,1.0,1.0,39.0,,,,,,,
