name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS
Chris Godwin,Wide Receiver,Penn State,Big Ten,73.0,209.0,4.42,19.0,36.0,126.0,7.01,4.0,21.0,3,1,1,1,0,0,0,Penn State,,,,Penn State,,,,,,72.0,59.0,11.0,982.0,16.6,1.0,13.0,0.0,13.0,13.0,56.0,69.0,5.0,1101.0,16.0,,,,,,Penn State,,,,,,72.0,26.0,2.0,338.0,13.0,2.0,1.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Golladay,Wide Receiver,Northern Illinois,Mid-American,76.0,218.0,4.5,18.0,35.5,120.0,7.0,4.15,23.0,2,0,0,0,1,1,0,Northern Illinois,1.0,1.0,0.0,Northern Illinois,,,,,,49.0,88.0,8.0,1164.0,13.2,20.0,39.0,2.0,192.0,9.6,68.0,73.0,10.0,1129.0,15.5,9.0,6.0,1.0,14.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,
Amara Darboh,Wide Receiver,Michigan,Big Ten,74.0,214.0,4.45,17.0,36.0,124.0,,,23.0,3,0,0,1,1,1,0,Michigan,,,,Michigan,11.0,11.0,1.0,0.0,11.0,46.0,57.0,7.0,862.0,15.1,,,,,,39.0,58.0,5.0,727.0,12.5,2.0,4.0,0.0,2.0,1.0,Michigan,,,,,,34.0,36.0,2.0,473.0,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,3.0,0.0,12.0,,,,,,,,,,
Dede Westbrook,Wide Receiver,Oklahoma,Big 12,72.0,178.0,,,,,,,23.0,2,0,0,0,1,1,0,Oklahoma,1.0,1.0,0.0,Oklahoma,,,,,,88.0,80.0,17.0,1524.0,19.1,10.0,35.0,0.0,101.0,10.1,42.0,46.0,4.0,743.0,16.2,5.0,18.0,0.0,17.0,3.4,,,,,,,,,,,,,,,,,27.1,63.0,9.0,0.0,244.0,,,,,,,,,,,,16.2,71.0,5.0,1.0,81.0,,,,,,,,,,,,,,,,,,,,
Josh Reynolds,Wide Receiver,Texas A&M,SEC,75.0,194.0,4.52,,37.0,124.0,6.83,4.13,22.0,3,0,1,1,1,0,0,Texas A&M,,,,Texas A&M,,,,,,92.0,61.0,12.0,1039.0,17.0,,,,,,95.0,51.0,5.0,907.0,17.8,,,,,,Texas A&M,,,,,,70.0,52.0,13.0,842.0,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,Wide Receiver,North Carolina,ACC,76.0,221.0,4.53,,,,,,23.0,3,0,0,1,1,1,0,North Carolina,,,,North Carolina,,,,,,71.0,16.0,4.0,309.0,19.3,,,,,,74.0,30.0,8.0,745.0,24.8,,,,,,North Carolina,,,,,,91.0,35.0,8.0,613.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Malone,Wide Receiver,Tennessee,SEC,75.0,208.0,4.4,10.0,30.5,121.0,7.05,4.19,21.0,3,1,1,1,0,0,0,Tennessee,,,,Tennessee,,,,,,67.0,50.0,11.0,972.0,19.4,,,,,,75.0,31.0,2.0,405.0,13.1,,,,,,Tennessee,,,,,,20.0,23.0,1.0,231.0,10.0,2.0,20.0,0.0,11.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Switzer,Wide Receiver,North Carolina,ACC,69.0,181.0,4.51,11.0,32.0,116.0,6.77,4.0,22.0,4,1,1,1,1,0,0,North Carolina,2.0,2.0,0.0,North Carolina,12.6,85.0,24.0,2.0,302.0,75.0,96.0,6.0,1112.0,11.6,3.0,7.0,0.0,14.0,4.7,89.0,55.0,6.0,697.0,12.7,3.0,13.0,0.0,6.0,2.0,North Carolina,17.0,17.0,1.0,0.0,17.0,75.0,61.0,4.0,757.0,12.4,8.0,13.0,0.0,29.0,3.6,,,,,,North Carolina,57.0,32.0,3.0,341.0,10.7,10.0,9.0,0.0,29.0,2.9,6.6,31.0,16.0,0.0,106.0,8.0,8.0,1.0,0.0,8.0,4.6,31.0,37.0,0.0,172.0,,,,,,20.1,86.0,25.0,5.0,502.0
Jehu Chesson,Wide Receiver,Michigan,Big Ten,75.0,204.0,4.47,10.0,35.5,132.0,6.7,4.09,23.0,4,0,1,1,1,1,0,Michigan,1.0,1.0,0.0,Michigan,,,,,,40.0,35.0,2.0,500.0,14.3,12.0,17.0,1.0,63.0,5.3,64.0,50.0,9.0,764.0,15.3,8.0,66.0,2.0,155.0,19.4,Michigan,,,,,,28.0,14.0,0.0,154.0,11.0,,,,,,,,,,,Michigan,58.0,15.0,1.0,221.0,14.7,2.0,2.0,0.0,1.0,0.5,,,,,,41.5,96.0,4.0,1.0,166.0,,,,,,18.0,19.0,2.0,0.0,36.0,,,,,
Chad Hansen,Wide Receiver,California,Pac-12,74.0,202.0,4.53,11.0,35.0,119.0,6.74,4.13,22.0,2,0,0,1,1,0,0,California,,,,California,,,,,,70.0,92.0,11.0,1249.0,13.6,,,,,,52.0,19.0,1.0,249.0,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
