name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Jarquez Hunter,Running Back,Auburn,SEC,69.0,204.0,4.44,21.0,33.5,120.0,,,22.0,4,1,1,1,1,0,0,2.0,1.0,0.0,18.0,21.0,1.0,155.0,7.4,187.0,50.0,8.0,1201.0,6.4,47.0,18.0,0.0,118.0,6.6,159.0,67.0,7.0,909.0,5.7,62.0,17.0,2.0,224.0,13.2,104.0,48.0,7.0,675.0,6.5,14.0,12.0,1.0,61.0,5.1,89.0,94.0,3.0,593.0,6.7,1.0,1.0,0.0,2.0,1.0,0.0,,,
Dylan Sampson,Running Back,Tennessee,SEC,68.0,200.0,,13.0,35.0,124.0,,,20.0,3,1,1,0,0,0,0,4.0,4.0,0.0,21.0,20.0,0.0,143.0,7.2,258.0,56.0,22.0,1491.0,5.8,37.0,17.0,1.0,175.0,10.3,106.0,44.0,7.0,603.0,5.7,19.0,3.0,0.0,24.0,8.0,58.0,80.0,6.0,397.0,6.8,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Jordan James,Running Back,Oregon,Big Ten,70.0,205.0,4.55,,,117.0,,,21.0,3,1,1,1,0,0,0,,,,26.0,26.0,0.0,209.0,8.0,233.0,41.0,15.0,1267.0,5.4,30.0,15.0,1.0,132.0,8.8,107.0,37.0,11.0,759.0,7.1,6.0,1.0,0.0,6.0,6.0,46.0,24.0,5.0,189.0,4.1,,,,,,,,,,,,,,,,,,,
Jaydon Blue,Running Back,Texas,SEC,69.0,196.0,4.38,,,,,,21.0,3,1,1,1,0,0,0,4.0,3.0,0.0,45.0,42.0,6.0,368.0,8.8,134.0,77.0,8.0,730.0,5.4,19.0,14.0,1.0,135.0,9.6,65.0,69.0,3.0,398.0,6.1,,,,,,15.0,10.0,0.0,33.0,2.2,,,,,,,,,,,2.0,2.0,0.0,,,,,,
DJ Giddens,Running Back,Kansas State,Big 12,72.0,212.0,4.43,,39.5,130.0,,4.33,22.0,3,0,1,1,1,0,0,2.0,1.0,0.0,53.0,21.0,1.0,258.0,12.3,205.0,66.0,7.0,1343.0,6.6,61.0,29.0,3.0,323.0,11.1,223.0,43.0,10.0,1226.0,5.5,36.0,8.0,0.0,98.0,12.3,89.0,49.0,6.0,518.0,5.8,,,,,,,,,,,,,,1.0,0.0,0.0,,,
Ollie Gordon II,Running Back,Oklahoma State,Big 12,73.0,226.0,4.61,,34.5,120.0,,,21.0,3,1,1,1,0,0,0,2.0,2.0,0.0,22.0,30.0,2.0,201.0,6.7,189.0,68.0,12.0,858.0,4.5,50.0,39.0,1.0,330.0,8.5,285.0,75.0,21.0,1731.0,6.1,14.0,12.0,2.0,76.0,6.3,62.0,53.0,2.0,308.0,5.0,,,,,,,,,,,3.0,2.0,0.0,1.0,0.0,0.0,,,
Devin Neal,Running Back,Kansas,Big 12,71.0,213.0,4.58,,37.5,124.0,,,22.0,4,1,1,1,1,0,0,1.0,0.0,0.0,51.0,24.0,1.0,254.0,10.6,219.0,54.0,16.0,1266.0,5.8,59.0,25.0,1.0,217.0,8.7,203.0,75.0,16.0,1280.0,6.3,53.0,21.0,1.0,183.0,8.7,180.0,80.0,9.0,1090.0,6.1,19.0,7.0,1.0,57.0,8.1,158.0,62.0,8.0,707.0,4.5,1.0,0.0,0.0,3.0,1.0,0.0,,,
Kalel Mullings,Running Back,Michigan,Big Ten,74.0,226.0,,,,,,,22.0,4,1,1,1,1,0,0,,,,12.0,6.0,0.0,35.0,5.8,185.0,63.0,12.0,948.0,5.1,19.0,2.0,0.0,32.0,16.0,36.0,23.0,1.0,222.0,6.2,,,,,,14.0,6.0,3.0,30.0,2.1,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0
Tahj Brooks,Running Back,Texas Tech,Big 12,69.0,214.0,4.52,16.0,35.0,120.0,6.9,4.06,23.0,4,0,1,1,1,1,0,,,,30.0,27.0,1.0,185.0,6.9,286.0,40.0,17.0,1505.0,5.3,12.0,29.0,0.0,69.0,2.4,291.0,46.0,10.0,1545.0,5.3,17.0,28.0,1.0,170.0,6.1,148.0,37.0,7.0,693.0,4.7,18.0,6.0,0.0,52.0,8.7,87.0,67.0,7.0,568.0,6.5,2.0,2.0,0.0,2.0,1.0,0.0,,,
Damien Martinez,Running Back,Miami,ACC,72.0,217.0,4.51,,35.0,124.0,,,21.0,3,1,1,1,0,0,0,,,,36.0,17.0,0.0,204.0,12.0,159.0,75.0,10.0,1002.0,6.3,25.0,11.0,0.0,126.0,11.5,194.0,64.0,9.0,1185.0,6.1,30.0,4.0,0.0,61.0,15.3,161.0,50.0,7.0,982.0,6.1,,,,,,,,,,,3.0,1.0,0.0,1.0,1.0,0.0,,,
Brashard Smith,Running Back,SMU,ACC,70.0,194.0,4.39,,32.5,117.0,,,22.0,4,1,1,1,1,0,0,2.0,2.0,0.0,33.0,39.0,4.0,327.0,8.4,234.0,71.0,14.0,1330.0,5.7,54.0,22.0,2.0,263.0,12.0,9.0,80.0,1.0,132.0,14.7,30.0,33.0,0.0,308.0,9.3,3.0,9.0,0.0,22.0,7.3,75.0,14.0,2.0,199.0,14.2,6.0,7.0,0.0,23.0,3.8,1.0,0.0,0.0,,,,1.0,0.0,0.0
Kyle Monangai,Running Back,Rutgers,Big Ten,68.0,211.0,4.6,,34.5,117.0,,,23.0,4,0,1,1,1,1,0,,,,14.0,14.0,1.0,75.0,5.4,256.0,62.0,13.0,1279.0,5.0,20.0,8.0,0.0,78.0,9.8,242.0,55.0,8.0,1262.0,5.2,7.0,6.0,0.0,31.0,5.2,109.0,31.0,2.0,459.0,4.2,17.0,10.0,0.0,68.0,6.8,62.0,20.0,4.0,235.0,3.8,,,,,,,,,
LeQuint Allen,Running Back,Syracuse,ACC,72.0,204.0,,,35.0,120.0,,,21.0,3,1,1,1,0,0,0,1.0,1.0,0.0,33.0,64.0,4.0,529.0,8.3,228.0,30.0,16.0,1021.0,4.5,26.0,38.0,1.0,210.0,5.5,244.0,56.0,9.0,1063.0,4.4,41.0,17.0,1.0,117.0,6.9,41.0,90.0,1.0,274.0,6.7,,,,,,,,,,,3.0,1.0,0.0,1.0,0.0,0.0,,,
Phil Mafah,Running Back,Clemson,ACC,73.0,234.0,,,,,,,22.0,4,1,1,1,1,0,0,2.0,1.0,0.0,22.0,21.0,0.0,103.0,4.9,216.0,83.0,8.0,1115.0,5.2,19.0,21.0,0.0,108.0,5.1,179.0,49.0,13.0,965.0,5.4,17.0,9.0,0.0,48.0,5.3,98.0,39.0,4.0,515.0,5.3,15.0,6.0,0.0,38.0,6.3,68.0,63.0,3.0,292.0,4.3,3.0,1.0,0.0,1.0,1.0,0.0,,,
Jacory Croskey-Merritt,Running Back,Arizona,Big 12,71.0,204.0,,,,,,,24.0,2,0,0,0,0,1,1,,,,,,,,,13.0,36.0,1.0,106.0,8.2,31.0,7.0,1.0,72.0,10.3,189.0,55.0,17.0,1185.0,6.3,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,,,,,,
