name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23
Kenyon Green,Offensive Guard,Texas A&M,SEC,76.0,323.0,5.24,20.0,26.0,102.0,,5.12,21.0,0,0,0,0,0,0,0
Dylan Parham,Offensive Guard,Memphis,American Athletic,75.0,311.0,4.93,,26.5,108.0,7.78,4.7,23.0,0,0,0,0,0,0,0
Zach Tom,Offensive Guard,Wake Forest,ACC,76.0,304.0,4.94,,33.0,118.0,7.32,4.47,23.0,0,0,0,0,0,0,0
Darian Kinnard,Offensive Guard,Kentucky,SEC,77.0,322.0,5.31,,25.0,99.0,8.11,4.96,22.0,0,0,0,0,0,0,0
Justin Shaffer,Offensive Guard,Georgia,SEC,76.0,314.0,5.14,,25.5,107.0,,,24.0,0,0,0,0,0,0,0
Cade Mays,Offensive Guard,Tennessee,SEC,77.0,311.0,5.24,,26.0,102.0,7.57,4.71,23.0,0,0,0,0,0,0,0
Chasen Hines,Offensive Guard,LSU,SEC,75.0,327.0,5.22,,30.5,108.0,,,22.0,0,0,0,0,0,0,0
Chris Paul,Offensive Guard,Tulsa,American Athletic,76.0,323.0,4.89,,27.0,109.0,7.74,4.83,23.0,0,0,0,0,0,0,0
Marquis Hayes,Offensive Guard,Oklahoma,Big 12,77.0,318.0,5.3,,23.5,102.0,,,23.0,0,0,0,0,0,0,0
