name,position,college,conference,height,weight,forty,vertical,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y3_college,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Connor Heyward,Fullback,Michigan State,Big Ten,71.0,233.0,4.72,32.5,23.0,4,0,1,1,1,1,0,Michigan State,,,,Michigan State,35.0,35.0,2.0,326.0,9.3,1.0,7.0,0.0,7.0,7.0,13.0,18.0,2.0,71.0,3.9,65.0,14.0,0.0,200.0,3.1,Michigan State,15.0,7.0,1.0,52.0,7.4,24.0,14.0,0.0,79.0,3.3,Michigan State,36.0,32.0,0.0,249.0,7.8,118.0,80.0,5.0,529.0,4.5,,,,1.0,1.0,0.0,2.0,0.0,0.0
Zander Horvath,Fullback,Purdue,Big Ten,75.0,230.0,,,23.0,4,0,1,1,1,1,0,Purdue,1.0,1.0,0.0,Purdue,26.0,17.0,0.0,108.0,6.4,91.0,24.0,3.0,320.0,3.5,25.0,31.0,0.0,325.0,10.5,89.0,35.0,2.0,442.0,5.0,Purdue,25.0,17.0,1.0,142.0,8.4,79.0,48.0,2.0,377.0,4.8,Purdue,22.0,4.0,0.0,38.0,9.5,9.0,14.0,1.0,42.0,4.7,3.0,2.0,0.0,2.0,2.0,1.0,,,
