name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y1_college,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_college,Y3_college,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS
Marcus Allen,Cornerback,North Carolina,ACC,74.0,187,4.5,,39.0,123.0,,,4,0,0,0,0,0,0,North Carolina,8.0,0.0,0.5,28.0,0.0,2.0,35.0,,,,,,,,,,,,,,,North Carolina,3.0,0.0,0.0,21.0,0.0,1.0,29.0,,,,,,0.0,2.0,0.0,0.0,,,,,,8.0,0.0,0.0,35.0,0.0,0.5,49.0,0.0,1.0,0.0,0.0,,,,,,North Carolina,North Carolina,2.0,0.0,0.0,5.0,0.0,1.0,8.0,,,,,,,,,,,,,,
Brent Austin,Cornerback,Cal,,71.0,180,,,,,,,1,0,0,0,0,0,0,California,13.0,0.0,0.0,26.0,0.0,0.5,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Moten,Cornerback,Southern Miss,Sun Belt,72.0,174,,,,,,,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas A&M,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,
Fred Davis II,Cornerback,Northwestern,Big Ten,72.0,197,,,,,,,4,0,0,0,0,0,0,Northwestern,6.0,0.0,0.0,16.0,0.0,1.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clemson,2.0,0.0,0.0,10.0,0.0,1.0,15.0,,,,,,,,,,,,,,
Kolbey Taylor,Cornerback,Vanderbilt,SEC,75.0,190,,,,,,,2,0,0,0,0,0,0,Vanderbilt,3.0,0.0,0.0,23.0,0.0,1.0,25.0,,,,,,,,,,,4.0,1.0,0.0,4.0,Vanderbilt,0.0,0.0,0.0,17.0,0.0,1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Coats Jr.,Cornerback,West Virginia,Big 12,69.0,178,,,,,,,1,0,0,0,0,0,0,West Virginia,7.0,0.0,0.0,22.0,0.0,2.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karon Prunty,Cornerback,Wake Forest,ACC,74.0,192,,,,,,,1,0,0,0,0,0,0,Wake Forest,8.0,1.0,1.0,23.0,0.0,2.0,40.0,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Eaton,Cornerback,Michigan State,Big Ten,73.0,189,,,,,,,1,0,0,0,0,0,0,Michigan State,2.0,0.0,0.0,13.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashad Battle,Cornerback,Pitt,,75.0,195,,,,,,,4,0,0,0,0,0,0,Pittsburgh,5.0,0.0,1.0,28.0,0.0,1.5,42.0,,,,,,,,,,,,,,,Pittsburgh,8.0,1.0,0.0,27.0,0.0,1.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,0.0,0.0,0.0,6.0,0.0,0.0,6.0,,,,,,,,,,,,,,
Jaylon Guilbeau,Cornerback,Texas,SEC,71.0,190,,,,,,,4,0,0,0,0,0,0,Texas,3.0,0.0,0.0,22.0,0.0,1.0,40.0,,,,,,,,,,,0.0,1.0,0.0,0.0,Texas,3.0,0.0,1.0,35.0,0.0,5.5,58.0,,,,,,,,,,,,,,,2.0,0.0,0.0,4.0,0.0,0.0,6.0,,,,,,,,,,Texas,Texas,2.0,4.0,0.0,7.0,0.0,0.5,17.0,,,,,,,,,,,,,,
DeVonta Smith,Cornerback,Notre Dame,FBS Independents,72.0,205,,,,,,,3,0,0,0,0,0,0,Notre Dame,3.0,0.0,0.0,18.0,0.0,1.0,20.0,,,,,,,,,,,,,,,Alabama,5.0,1.0,0.0,18.0,0.0,0.5,30.0,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,4.0,,,,,,,,,,Alabama,,,,,,,,,,,,,,,,,,,,,,
DeCarlos Nicholson,Cornerback,USC,Pac-12,75.0,200,,,,,,,4,0,0,0,0,0,0,USC,4.0,0.0,1.0,30.0,0.0,1.0,42.0,,,,,,,,,,,0.0,1.0,0.0,0.0,USC,5.0,0.0,0.0,18.0,0.0,0.0,27.0,,,,,,,,,,,,,,,2.0,0.0,0.0,17.0,0.0,2.0,42.0,,,,,,,,,,Mississippi State,Mississippi State,1.0,0.0,0.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,
Tyreek Chappell,Cornerback,Texas A&M,SEC,70.0,185,,,,,,,4,0,0,0,0,0,0,Texas A&M,4.0,0.0,0.0,23.0,0.0,3.0,34.0,,,,,,,,,,,,,,,Texas A&M,0.0,0.0,0.0,1.0,0.0,1.0,3.0,,,,,,,,,,,,,,,6.0,0.0,0.0,13.0,0.0,0.5,21.0,0.0,1.0,0.0,0.0,,,,,,Texas A&M,Texas A&M,8.0,1.0,0.0,31.0,0.0,2.5,44.0,,,,,,,,,,,,,,
Lardarius Webb Jr.,Cornerback,Wake Forest,ACC,69.0,168,,,,,,,1,0,0,0,0,0,0,Wake Forest,7.0,0.0,1.0,19.0,0.0,2.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreyden Norwood,Cornerback,Missouri,SEC,72.0,187,,,,,,,4,0,0,0,0,0,0,Missouri,5.0,0.0,0.0,15.0,0.0,1.5,24.0,,,,,,,,,,,,,,,Missouri,3.0,0.0,0.0,21.0,0.0,1.0,35.0,,,,,,9.5,2.0,0.0,19.0,,,,,,3.0,0.0,0.0,12.0,0.0,0.0,20.0,,,,,,,,,,Missouri,Missouri,3.0,0.0,1.0,10.0,0.0,1.0,13.0,,,,,,0.0,1.0,0.0,0.0,,,,,
D.J. Harvey,Cornerback,USC,Pac-12,71.0,174,,,,,,,4,0,0,0,0,0,0,USC,2.0,0.0,0.0,5.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virginia Tech,1.0,0.0,0.0,3.0,0.0,1.0,6.0,,,,,,,,,,1.9,5.0,9.0,0.0,17.0
De'Shawn Rucker,Cornerback,USF,,72.0,195,,,,,,,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,Tennessee,Tennessee,1.0,0.0,0.0,7.0,0.0,0.0,7.0,,,,,,,,,,,,,,
Jeremiah Wilson,Cornerback,Florida State,ACC,70.0,185,,,,,,,4,0,0,0,0,0,0,Florida State,2.0,0.0,0.0,26.0,0.0,1.0,42.0,,,,,,,,,,,0.3,3.0,0.0,1.0,Houston,4.0,0.0,0.0,16.0,1.0,3.5,24.0,,,,,,15.5,4.0,1.0,62.0,,,,,,4.0,0.0,0.0,13.0,1.0,1.0,16.0,66.0,1.0,1.0,66.0,,,,,,Syracuse,Syracuse,1.0,0.0,0.0,17.0,0.0,1.5,20.0,,,,,,,,,,,,,,
Channing Canada,Cornerback,TCU,Big 12,73.0,190,,,,,,,3,0,0,0,0,0,0,TCU,1.0,0.0,0.0,22.0,0.0,0.0,30.0,,,,,,,,,,,0.0,1.0,0.0,0.0,TCU,2.0,0.0,0.0,27.0,0.0,1.0,31.0,,,,,,0.0,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,15.0,0.0,1.0,19.0,,,,,,,,,,TCU,,,,,,,,,,,,,,,,,,,,,,
Tony Grimes,Cornerback,Purdue,Big Ten,73.0,190,,,,,,,4,0,0,0,0,0,0,Purdue,5.0,0.0,0.0,21.0,0.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Carolina,7.0,0.0,0.0,27.0,0.0,0.0,36.0,,,,,,,,,,,,,,
