name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y2_college,Y3_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
Jalen Carter,Defensive Tackle,Georgia,SEC,75.0,314.0,,,,,,,22.0,3,0,1,1,1,0,0,Georgia,1.0,1.0,3.0,12.0,0.0,6.0,26.0,,,,Georgia,Georgia,,,,,1.0,3.0,3.0,17.0,0.0,8.5,37.0,0.0,1.0,0.0,11.0,0.0,3.0,14.0,,,,,,,,,,,,,
Calijah Kancey,Defensive Tackle,Pittsburgh,ACC,73.0,281.0,4.67,,,,,,22.0,3,0,1,1,1,0,0,Pittsburgh,0.0,10.0,7.5,19.0,0.0,14.0,29.0,,,,Pittsburgh,Pittsburgh,,,,,1.0,2.0,7.0,23.0,0.0,13.0,33.0,2.0,4.0,1.5,12.0,0.0,7.0,27.0,,,,,,,,,,,,,
Mazi Smith,Defensive Tackle,Michigan,Big Ten,75.0,323.0,,34.0,,,,,22.0,3,0,1,1,1,0,0,Michigan,0.0,1.0,1.0,21.0,0.0,3.0,44.0,0.0,0.0,1.0,Michigan,Michigan,,,,,3.0,3.0,0.0,15.0,0.0,2.5,37.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,,,,,,,,,,,,,
Bryan Bresee,Defensive Tackle,Clemson,ACC,78.0,298.0,4.86,22.0,29.0,,,,21.0,3,1,1,1,0,0,0,Clemson,1.0,1.0,3.5,8.0,0.0,5.5,13.0,,,,Clemson,Clemson,,,,,0.0,2.0,1.5,6.0,0.0,3.0,13.0,2.0,3.0,4.0,13.0,0.0,6.5,23.0,,,,,,,,,,,,,
Keeanu Benton,Defensive Tackle,Wisconsin,Big Ten,76.0,309.0,5.08,25.0,29.5,111.0,7.34,4.65,22.0,4,1,1,1,1,0,0,Wisconsin,2.0,2.0,4.5,20.0,0.0,10.0,36.0,,,,Wisconsin,Wisconsin,Wisconsin,0.0,0.0,3.0,1.0,4.0,2.5,11.0,0.0,5.0,24.0,0.0,1.0,0.0,5.0,0.0,0.0,9.0,,,,,,,0.0,2.0,2.0,8.0,0.0,4.0,12.0
Gervon Dexter,Defensive Tackle,Florida,SEC,78.0,310.0,4.88,22.0,31.0,110.0,7.5,,21.0,3,1,1,1,0,0,0,Florida,1.0,4.0,2.0,21.0,0.0,3.5,50.0,,,,Florida,Florida,,0.0,0.0,2.0,1.0,7.0,2.5,20.0,0.0,4.5,50.0,0.0,1.0,0.5,5.0,0.0,2.0,20.0,,,,,,,,,,,,,
Zacch Pickens,Defensive Tackle,South Carolina,SEC,76.0,291.0,4.89,22.0,30.5,116.0,7.45,4.62,23.0,4,0,1,1,1,1,0,South Carolina,3.0,3.0,2.5,22.0,0.0,4.0,42.0,0.0,0.0,1.0,South Carolina,South Carolina,South Carolina,0.0,0.0,1.0,1.0,2.0,4.0,23.0,0.0,5.0,38.0,0.0,1.0,1.0,16.0,0.0,2.5,35.0,,,,,,,0.0,1.0,0.0,8.0,0.0,0.0,16.0
Byron Young,Defensive Tackle,Alabama,SEC,75.0,294.0,,24.0,26.0,108.0,7.68,,22.0,4,1,1,1,1,0,0,Alabama,2.0,6.0,3.5,18.0,0.0,5.0,45.0,,,,Alabama,Alabama,Alabama,,,,0.0,2.0,2.0,19.0,0.0,9.5,40.0,0.0,0.0,0.5,5.0,0.0,4.0,15.0,0.0,0.0,1.0,,,,1.0,1.0,1.0,6.0,0.0,1.5,23.0
Kobie Turner,Defensive Tackle,Wake Forest,ACC,74.0,288.0,,,,,,,24.0,1,0,0,0,0,0,1,Wake Forest,2.0,8.0,2.0,17.0,0.0,8.0,34.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brodric Martin,Defensive Tackle,Western Kentucky,Conference USA,77.0,337.0,,,,,,,24.0,2,0,0,0,0,1,1,Western Kentucky,1.0,7.0,1.5,15.0,0.0,1.5,30.0,,,,Western Kentucky,,,0.0,0.0,1.0,1.0,1.0,2.5,12.0,0.0,4.5,31.0,,,,,,,,,,,,,,,,,,,,
Siaki Ika,Defensive Tackle,Baylor,Big 12,75.0,335.0,5.39,,,,7.8,4.99,22.0,4,1,1,1,1,0,0,Baylor,2.0,5.0,0.0,10.0,0.0,2.0,23.0,,,,Baylor,LSU,LSU,,,,1.0,4.0,4.0,17.0,0.0,6.0,24.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,,,,,,,0.0,0.0,0.0,6.0,0.0,1.5,18.0
Colby Wooden,Defensive Tackle,Auburn,SEC,76.0,273.0,4.79,23.0,,115.0,,4.52,22.0,4,1,1,1,1,0,0,Auburn,3.0,10.0,6.0,36.0,0.0,11.5,45.0,0.0,0.0,3.0,Auburn,Auburn,Auburn,0.0,0.0,2.0,2.0,7.0,5.0,34.0,0.0,8.5,61.0,1.0,6.0,3.5,19.0,0.0,9.0,41.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.5,4.0
