name,position,college,conference,height,weight,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_kicking_FGA,Y0_kicking_FGM,Y0_kicking_LONG,Y0_kicking_PCT,Y0_kicking_PTS,Y0_kicking_XPA,Y0_kicking_XPM,Y1_kicking_FGA,Y1_kicking_FGM,Y1_kicking_LONG,Y1_kicking_PCT,Y1_kicking_PTS,Y1_kicking_XPA,Y1_kicking_XPM,Y2_kicking_FGA,Y2_kicking_FGM,Y2_kicking_LONG,Y2_kicking_PCT,Y2_kicking_PTS,Y2_kicking_XPA,Y2_kicking_XPM,Y3_kicking_FGA,Y3_kicking_FGM,Y3_kicking_LONG,Y3_kicking_PCT,Y3_kicking_PTS,Y3_kicking_XPA,Y3_kicking_XPM
Daniel Carlson,Place Kicker,Auburn,SEC,77.0,213.0,23.0,4,0,1,1,1,1,0,31.0,23.0,54.0,0.742,126.0,57.0,57.0,32.0,28.0,53.0,0.875,128.0,44.0,44.0,27.0,23.0,56.0,0.852,109.0,40.0,40.0,23.0,18.0,51.0,0.783,111.0,57.0,57.0
Jason Sanders,Place Kicker,New Mexico,Mountain West,71.0,184.0,22.0,3,0,1,1,1,0,0,15.0,10.0,53.0,0.667,58.0,28.0,28.0,13.0,12.0,52.0,0.923,97.0,62.0,61.0,7.0,3.0,32.0,0.429,31.0,22.0,22.0,,,,,,,
