name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,draft_year,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Breeland Speaks,Defensive End,Ole Miss,SEC,75.0,283.0,4.87,,32.5,110.0,7.63,4.65,22.0,2,0,0,1,1,0,0,1.0,8.0,7.0,27.0,0.0,8.0,67.0,0.0,0.0,1.0,2018,,,,1.0,8.0,1.0,11.0,0.0,1.5,28.0,,,,,,,,,,,,,,,,,,,,
Kemoko Turay,Defensive End,Rutgers,Big Ten,77.0,253.0,4.65,,,,,,23.0,2,0,0,0,1,1,0,1.0,7.0,4.0,32.0,0.0,6.0,60.0,0.0,0.0,2.0,2018,,,,0.0,1.0,2.0,3.0,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,
Tyquan Lewis,Defensive End,Ohio State,Big Ten,75.0,269.0,,,35.5,122.0,,,23.0,2,0,0,0,1,1,0,2.0,3.0,7.0,12.0,0.0,9.5,20.0,,,,2018,,,,2.0,5.0,8.0,17.0,0.0,10.5,29.0,,,,,,,,,,,,,,,,,,,,
Chad Thomas,Defensive End,Miami,ACC,77.0,281.0,4.92,,29.0,116.0,,,22.0,2,0,0,1,1,0,0,1.0,3.0,5.5,17.0,0.0,12.0,37.0,,,,2018,0.0,0.0,1.0,3.0,1.0,3.0,22.0,0.0,11.0,37.0,,,,,,,,,,,,,,,,,,,,
Sam Hubbard,Defensive End,Ohio State,Big Ten,77.0,270.0,,,35.0,116.0,6.84,4.32,23.0,3,0,0,1,1,1,0,0.0,3.0,7.0,27.0,0.0,13.5,42.0,,,,2018,,,,2.0,4.0,3.5,21.0,0.0,8.5,46.0,,,,,,,,,,,,,,,,,,,,
Rasheem Green,Defensive End,USC,Pac-12,76.0,275.0,4.73,,32.5,118.0,7.24,4.39,21.0,2,0,1,1,0,0,0,4.0,5.0,10.0,19.0,0.0,12.5,43.0,,,,2018,,,,4.0,1.0,6.0,24.0,0.0,6.5,55.0,,,,,,,,,,,,,,,,,,,,
Arden Key,Defensive End,LSU,SEC,77.0,238.0,,,31.0,117.0,7.16,4.25,22.0,2,0,0,1,1,0,0,0.0,7.0,4.0,15.0,0.0,5.5,33.0,,,,2018,0.0,0.0,1.0,3.0,11.0,12.0,23.0,0.0,14.5,55.0,,,,,,,,,,,,,,,,,,,,
Jalyn Holmes,Defensive End,Ohio State,Big Ten,77.0,283.0,4.82,25.0,32.0,,,,22.0,2,0,0,1,1,0,0,3.0,2.0,2.0,18.0,0.0,3.0,30.0,,,,2018,0.0,0.0,2.0,1.0,3.0,2.0,12.0,0.0,9.0,33.0,,,,,,,,,,,,,,,,,,,,
Da'Shawn Hand,Defensive End,Alabama,SEC,76.0,297.0,,,,,,,22.0,2,0,0,1,1,0,0,1.0,0.0,3.0,9.0,0.0,3.5,27.0,,,,2018,,,,0.0,5.0,2.0,10.0,0.0,3.5,21.0,,,,,,,,,,,,,,,,,,,,
Dorance Armstrong Jr.,Defensive End,Kansas,Big 12,76.0,257.0,,,,,,,21.0,2,0,1,1,0,0,0,4.0,7.0,2.0,33.0,0.0,9.5,63.0,0.0,0.0,1.0,2018,0.0,0.0,2.0,0.0,5.0,10.0,40.0,0.0,20.0,56.0,,,,,,,,,,,,,,,,,,,,
Kentavius Street,Defensive End,NC State,ACC,74.0,280.0,4.87,28.0,,,,,22.0,2,0,0,1,1,0,0,2.0,4.0,3.5,16.0,0.0,6.5,38.0,0.0,0.0,2.0,2018,0.0,0.0,1.0,1.0,4.0,5.5,14.0,0.0,9.0,29.0,,,,,,,,,,,,,,,,,,,,
Josh Sweat,Defensive End,Florida State,ACC,77.0,251.0,4.53,,39.5,124.0,,4.28,21.0,3,1,1,1,0,0,0,3.0,6.0,5.5,31.0,0.0,12.5,56.0,,,,2018,,,,1.0,6.0,7.0,25.0,0.0,11.5,41.0,,,,,,,,,,,,,,,,,,,,
Andrew Brown,Defensive End,Virginia,ACC,75.0,296.0,5.03,31.0,28.0,101.0,7.51,4.48,22.0,2,0,0,1,1,0,0,0.0,3.0,3.5,18.0,0.0,10.5,46.0,,,,2018,0.0,0.0,1.0,2.0,0.0,6.0,19.0,0.0,13.0,38.0,,,,,,,,,,,,,,,,,,,,
Duke Ejiofor,Defensive End,Wake Forest,ACC,75.0,267.0,,,,,,,23.0,2,0,0,0,1,1,0,1.0,9.0,6.5,26.0,0.0,16.5,43.0,,,,2018,0.0,0.0,2.0,4.0,4.0,10.5,30.0,0.0,17.0,50.0,,,,,,,,,,,,,,,,,,,,
Kylie Fitts,Defensive End,Utah,Pac-12,76.0,263.0,4.69,31.0,32.5,117.0,6.88,4.19,23.0,2,0,0,0,1,1,0,1.0,0.0,3.0,14.0,0.0,3.0,23.0,,,,2018,,,,0.0,0.0,1.5,2.0,0.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,
Trevon Young,Defensive End,Louisville,ACC,76.0,258.0,4.78,25.0,33.0,114.0,6.99,4.4,23.0,3,0,0,1,1,1,0,5.0,9.0,4.5,37.0,0.0,12.0,62.0,0.0,0.0,1.0,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ade Aruna,Defensive End,Tulane,American Athletic,77.0,262.0,4.6,18.0,38.5,128.0,7.53,4.48,24.0,2,0,0,0,0,1,1,2.0,3.0,3.0,15.0,0.0,3.0,25.0,0.0,0.0,1.0,2018,0.0,0.0,2.0,0.0,0.0,5.0,26.0,0.0,10.0,43.0,,,,,,,,,,,,,,,,,,,,
Justin Lawler,Defensive End,SMU,American Athletic,76.0,265.0,,,,,,,23.0,2,0,0,0,1,1,0,2.0,10.0,9.5,42.0,0.0,15.5,74.0,,,,2018,0.0,0.0,1.0,0.0,7.0,6.0,45.0,0.0,13.5,65.0,,,,,,,,,,,,,,,,,,,,
Nick Bosa,Defensive End,Ohio State,Big Ten,76.0,266.0,4.79,29.0,33.5,116.0,7.1,4.14,21.0,3,1,1,1,0,0,0,0.0,1.0,4.0,11.0,0.0,6.0,14.0,0.0,0.0,2.0,2019,,,,2.0,9.0,8.5,19.0,0.0,16.0,34.0,0.0,3.0,5.0,17.0,0.0,7.0,29.0,,,,,,,,,,,,,
Clelin Ferrell,Defensive End,Clemson,ACC,76.0,264.0,,25.0,,,7.26,4.4,22.0,3,0,1,1,1,0,0,2.0,9.0,11.5,27.0,0.0,18.5,51.0,0.0,0.0,1.0,2019,,,,1.0,7.0,9.5,33.0,0.0,18.0,66.0,2.0,9.0,6.0,21.0,0.0,12.5,44.0,,,,,,,,,,,,,
Rashan Gary,Defensive End,Michigan,Big Ten,76.0,277.0,4.58,26.0,38.0,120.0,7.26,4.29,21.0,3,1,1,1,0,0,0,0.0,5.0,3.5,20.0,0.0,6.5,38.0,,,,2019,,,,0.0,7.0,6.0,26.0,0.0,12.5,59.0,0.0,6.0,1.0,12.0,0.0,5.0,23.0,,,,,,,,,,,,,
Montez Sweat,Defensive End,Mississippi State,SEC,78.0,260.0,4.41,21.0,36.0,125.0,7.0,4.29,23.0,2,0,0,0,1,1,0,0.0,5.0,8.5,24.0,0.0,11.0,50.0,,,,2019,0.0,0.0,1.0,0.0,4.0,10.5,21.0,0.0,15.5,48.0,,,,,,,,,,,,,,,,,,,,
L.J. Collier,Defensive End,TCU,Big 12,74.0,283.0,4.91,25.0,30.0,118.0,7.71,4.78,23.0,3,0,0,1,1,1,0,4.0,5.0,4.0,21.0,0.0,7.5,34.0,,,,2019,,,,0.0,2.0,3.0,7.0,0.0,3.5,15.0,0.0,0.0,4.5,8.0,0.0,4.5,21.0,,,,,,,,,,,,,
Zach Allen,Defensive End,Boston College,ACC,76.0,281.0,5.0,24.0,32.0,112.0,7.34,4.36,22.0,3,0,1,1,1,0,0,7.0,11.0,6.5,26.0,0.0,15.0,61.0,0.0,0.0,2.0,2019,,,,2.0,6.0,6.0,47.0,0.0,15.5,100.0,4.0,2.0,6.0,19.0,0.0,10.0,36.0,0.0,0.0,2.0,,,,,,,,,,
Jachai Polite,Defensive End,Florida,SEC,75.0,258.0,4.84,,32.0,,,,22.0,3,0,1,1,1,0,0,4.0,3.0,11.0,27.0,0.0,19.0,45.0,,,,2019,,,,0.0,6.0,2.0,11.0,0.0,5.5,22.0,0.0,1.0,1.0,5.0,0.0,2.5,10.0,,,,,,,,,,,,,
Chase Winovich,Defensive End,Michigan,Big Ten,75.0,256.0,4.59,18.0,30.5,116.0,6.94,4.11,24.0,3,0,0,0,1,1,1,1.0,7.0,4.5,32.0,0.0,15.5,61.0,0.0,0.0,1.0,2019,0.0,0.0,2.0,0.0,6.0,8.5,36.0,0.0,20.0,70.0,0.0,4.0,5.0,16.0,0.0,8.5,31.0,,,,,,,,,,,,,
Jaylon Ferguson,Defensive End,Louisiana Tech,Conference USA,77.0,271.0,,,,,,,23.0,3,0,0,1,1,1,0,2.0,9.0,13.0,31.0,0.0,20.5,55.0,0.0,0.0,1.0,2019,0.0,0.0,1.0,0.0,4.0,7.0,25.0,0.0,9.5,39.0,2.0,2.0,14.5,27.0,0.0,16.0,49.0,0.0,0.0,2.0,,,,,,,,,,
Oshane Ximines,Defensive End,Old Dominion,Conference USA,76.0,253.0,4.78,24.0,34.0,118.0,7.13,4.57,22.0,3,0,1,1,1,0,0,2.0,14.0,12.0,32.0,0.0,18.5,58.0,,,,2019,,,,3.0,7.0,8.5,27.0,0.0,14.0,44.0,3.0,4.0,7.5,22.0,0.0,11.5,42.0,0.0,0.0,2.0,,,,,,,,,,
Maxx Crosby,Defensive End,Eastern Michigan,Mid-American,77.0,255.0,4.66,,36.0,122.0,6.89,4.13,22.0,3,0,1,1,1,0,0,3.0,6.0,7.5,26.0,1.0,18.5,64.0,,,,2019,0.0,0.0,2.0,1.0,11.0,11.0,31.0,0.0,16.5,57.0,1.0,11.0,1.5,11.0,0.0,5.5,35.0,0.0,0.0,1.0,,,,,,,,,,
Anthony Nelson,Defensive End,Iowa,Big Ten,79.0,271.0,4.82,18.0,35.5,118.0,6.95,4.23,22.0,3,0,1,1,1,0,0,1.0,6.0,9.5,23.0,0.0,13.5,45.0,0.0,0.0,1.0,2019,,,,4.0,7.0,7.5,21.0,0.0,9.5,41.0,1.0,3.0,6.0,15.0,0.0,8.0,33.0,,,,,,,,,,,,,
Austin Bryant,Defensive End,Clemson,ACC,76.0,271.0,,,,,,,22.0,3,0,1,1,1,0,0,0.0,5.0,8.5,17.0,0.0,14.5,42.0,,,,2019,,,,1.0,8.0,8.5,30.0,0.0,15.0,50.0,1.0,0.0,2.0,7.0,0.0,3.5,12.0,,,,,,,,,,,,,
Shareef Miller,Defensive End,Penn State,Big Ten,77.0,254.0,4.69,16.0,29.5,,,4.45,22.0,3,0,1,1,1,0,0,0.0,5.0,8.0,25.0,0.0,16.0,41.0,1.0,1.0,1.0,2019,0.0,0.0,1.0,0.0,7.0,5.0,20.0,0.0,11.0,37.0,0.0,1.0,2.0,13.0,0.0,5.5,23.0,,,,,,,,,,,,,
Charles Omenihu,Defensive End,Texas,Big 12,77.0,280.0,4.92,,36.5,115.0,7.48,4.36,22.0,3,0,1,1,1,0,0,1.0,5.0,9.5,33.0,0.0,17.5,45.0,0.0,0.0,1.0,2019,,,,0.0,4.0,4.0,20.0,0.0,7.0,28.0,0.0,1.0,3.5,17.0,0.0,4.5,27.0,,,,,,,,,,,,,
Joe Jackson,Defensive End,Miami,ACC,76.0,275.0,,22.0,27.0,109.0,,,22.0,3,0,1,1,1,0,0,3.0,9.0,9.0,19.0,1.0,14.5,47.0,,,,2019,,,,2.0,5.0,5.5,32.0,0.0,10.0,54.0,0.0,1.0,7.5,17.0,0.0,10.5,32.0,0.0,0.0,2.0,,,,,,,,,,
Jalen Jelks,Defensive End,Oregon,Pac-12,77.0,256.0,4.92,19.0,32.5,113.0,7.22,4.59,23.0,3,0,0,1,1,1,0,1.0,5.0,3.5,26.0,0.0,6.5,51.0,0.0,0.0,1.0,2019,,,,7.0,4.0,7.0,35.0,0.0,15.5,59.0,2.0,0.0,2.0,21.0,0.0,4.0,31.0,,,,,,,,,,,,,
Michael Dogbe,Defensive End,Temple,American Athletic,75.0,284.0,,,,,,,23.0,3,0,0,1,1,1,0,0.0,2.0,7.0,36.0,0.0,12.5,72.0,,,,2019,,,,0.0,1.0,0.0,14.0,0.0,2.0,26.0,0.0,0.0,1.5,18.0,0.0,5.0,43.0,,,,,,,,,,,,,
Jordan Brailford,Defensive End,Oklahoma State,Big 12,75.0,252.0,4.65,22.0,37.5,126.0,,,23.0,2,0,0,0,1,1,0,1.0,7.0,9.0,37.0,0.0,17.0,54.0,,,,2019,,,,0.0,2.0,5.0,34.0,0.0,11.0,57.0,,,,,,,,,,,,,,,,,,,,
Chase Young,Defensive End,Ohio State,Big Ten,77.0,264.0,,,,,,,21.0,3,1,1,1,0,0,0,3.0,7.0,16.5,32.0,0.0,21.0,46.0,,,,2020,,,,5.0,9.0,9.5,24.0,0.0,14.5,33.0,0.0,0.0,3.5,11.0,0.0,5.0,18.0,,,,,,,,,,,,,
Yetur Gross-Matos,Defensive End,Penn State,Big Ten,77.0,266.0,,20.0,34.0,120.0,,,22.0,3,0,1,1,1,0,0,0.0,7.0,9.5,24.0,0.0,15.0,40.0,,,,2020,0.0,0.0,1.0,0.0,6.0,8.0,36.0,0.0,20.0,54.0,0.0,3.0,1.5,5.0,0.0,2.0,17.0,0.0,0.0,1.0,,,,,,,,,,
Darrell Taylor,Defensive End,Tennessee,SEC,76.0,267.0,,,,,,,23.0,4,0,1,1,1,1,0,4.0,6.0,8.5,28.0,0.0,10.0,46.0,0.0,0.0,1.0,2020,0.0,0.0,2.0,0.0,3.0,8.0,27.0,0.0,11.0,36.0,2.0,5.0,3.0,14.0,0.0,4.5,27.0,0.0,0.0,1.0,1.0,3.0,0.0,6.0,0.0,1.0,9.0,,,
AJ Epenesa,Defensive End,Iowa,Big Ten,77.0,275.0,,,,,,,21.0,3,1,1,1,0,0,0,3.0,9.0,11.5,32.0,0.0,15.0,49.0,,,,2020,0.0,0.0,1.0,4.0,8.0,10.5,21.0,1.0,16.5,37.0,1.0,8.0,4.5,8.0,0.0,5.5,15.0,,,,,,,,,,,,,
Josh Uche,Defensive End,Michigan,Big Ten,73.0,245.0,,18.0,,,,,21.0,4,0,1,1,0,0,0,2.0,8.0,8.5,23.0,0.0,11.5,35.0,0.0,0.0,1.0,2020,,,,1.0,1.0,7.0,12.0,0.0,8.0,13.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,,,,0.0,1.0,0.0,2.0,0.0,0.0,3.0,,,
Jabari Zuniga,Defensive End,Florida,SEC,75.0,264.0,4.64,29.0,33.0,127.0,,,23.0,4,0,1,1,1,1,0,0.0,1.0,3.0,7.0,0.0,7.0,14.0,,,,2020,,,,0.0,4.0,6.5,17.0,0.0,11.0,45.0,0.0,6.0,4.0,12.0,0.0,8.0,34.0,0.0,0.0,1.0,0.0,11.0,5.0,18.0,0.0,8.5,25.0,,,
D.J. Wonnum,Defensive End,South Carolina,SEC,77.0,258.0,4.73,20.0,34.5,123.0,7.25,4.44,22.0,4,1,1,1,1,0,0,0.0,3.0,4.5,24.0,0.0,9.5,37.0,,,,2020,,,,0.0,0.0,2.0,6.0,0.0,3.0,10.0,5.0,2.0,6.0,32.0,0.0,13.0,57.0,,,,0.0,2.0,1.5,15.0,0.0,3.5,32.0,,,
Khalid Kareem,Defensive End,Notre Dame,FBS Independents,76.0,268.0,,,,,,,22.0,3,0,1,1,1,0,0,1.0,11.0,5.5,23.0,0.0,10.0,46.0,0.0,0.0,1.0,2020,,,,3.0,7.0,4.5,23.0,0.0,10.5,37.0,2.0,6.0,3.0,10.0,0.0,5.5,20.0,0.0,0.0,1.0,,,,,,,,,,
Alton Robinson,Defensive End,Syracuse,ACC,75.0,264.0,4.69,25.0,35.5,119.0,7.32,4.32,22.0,3,0,1,1,1,0,0,3.0,10.0,4.5,23.0,0.0,9.5,46.0,,,,2020,0.0,0.0,2.0,2.0,9.0,10.0,28.0,0.0,16.0,35.0,0.0,5.0,5.0,18.0,0.0,6.0,30.0,,,,,,,,,,,,,
Jason Strowbridge,Defensive End,North Carolina,ACC,76.0,275.0,4.89,26.0,31.0,113.0,7.45,4.37,23.0,4,0,1,1,1,1,0,1.0,4.0,3.0,27.0,0.0,6.5,45.0,0.0,0.0,3.0,2020,,,,1.0,4.0,5.5,18.0,0.0,7.5,36.0,1.0,2.0,1.0,12.0,0.0,5.5,34.0,,,,0.0,2.0,2.0,5.0,0.0,2.5,12.0,,,
Curtis Weaver,Defensive End,Boise State,Mountain West,74.0,265.0,,,32.5,116.0,7.0,4.27,22.0,3,0,1,1,1,0,0,3.0,4.0,13.5,32.0,0.0,19.5,52.0,,,,2020,,,,1.0,1.0,8.5,20.0,0.0,14.0,41.0,2.0,1.0,11.0,20.0,0.0,13.0,33.0,0.0,0.0,1.0,,,,,,,,,,
Mike Danna,Defensive End,Michigan,Big Ten,74.0,251.0,,,,,,,22.0,4,1,1,1,1,0,0,0.0,2.0,3.0,20.0,0.0,3.0,38.0,,,,2020,0.0,0.0,3.0,1.0,6.0,8.5,36.0,1.0,14.0,65.0,0.0,5.0,4.0,31.0,0.0,8.5,54.0,0.0,0.0,1.0,0.0,2.0,1.5,24.0,0.0,4.5,31.0,,,
Bradlee Anae,Defensive End,Utah,Pac-12,75.0,257.0,4.93,25.0,31.0,115.0,7.44,4.43,22.0,4,1,1,1,1,0,0,1.0,0.0,13.0,30.0,0.0,14.0,41.0,,,,2020,,,,3.0,0.0,8.0,27.0,0.0,15.5,51.0,0.0,3.0,6.0,23.0,0.0,9.0,36.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0,,,
Kenny Willekes,Defensive End,Michigan State,Big Ten,76.0,264.0,4.87,32.0,32.5,119.0,7.39,,23.0,4,0,1,1,1,1,0,0.0,16.0,10.5,32.0,0.0,16.0,78.0,0.0,0.0,2.0,2020,0.0,0.0,1.0,1.0,12.0,8.0,37.0,0.0,20.5,77.0,2.0,8.0,6.5,33.0,0.0,14.0,72.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
James Smith-Williams,Defensive End,NC State,ACC,76.0,265.0,4.6,28.0,32.0,123.0,7.35,4.52,23.0,4,0,1,1,1,1,0,0.0,7.0,1.0,9.0,0.0,1.0,20.0,,,,2020,0.0,0.0,1.0,2.0,4.0,6.0,16.0,0.0,9.0,36.0,0.0,0.0,0.5,5.0,0.0,1.5,10.0,0.0,0.0,1.0,1.0,2.0,0.5,6.0,0.0,0.5,13.0,,,
Casey Toohill,Defensive End,Stanford,Pac-12,76.0,250.0,4.62,17.0,39.0,126.0,7.08,4.21,24.0,4,0,0,1,1,1,1,1.0,10.0,8.0,37.0,0.0,11.5,57.0,,,,2020,,,,3.0,6.0,3.0,14.0,0.0,5.0,28.0,0.0,2.0,1.0,10.0,0.0,3.0,18.0,0.0,0.0,1.0,0.0,2.0,2.5,10.0,0.0,2.5,20.0,,,
Jashon Cornell,Defensive End,Ohio State,Big Ten,75.0,285.0,,,,,,,23.0,4,0,1,1,1,1,0,0.0,1.0,4.0,16.0,0.0,7.5,30.0,,,,2020,,,,0.0,0.0,1.0,9.0,0.0,2.0,15.0,0.0,0.0,2.0,8.0,0.0,3.5,14.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.5,4.0,,,
Jonathan Garvin,Defensive End,Miami,ACC,76.0,263.0,4.82,23.0,36.0,125.0,,,21.0,3,1,1,1,0,0,0,0.0,4.0,5.0,21.0,0.0,9.0,37.0,,,,2020,,,,5.0,2.0,5.5,20.0,1.0,17.0,60.0,0.0,0.0,1.0,4.0,0.0,2.0,7.0,0.0,0.0,1.0,,,,,,,,,,
Jaelan Phillips,Defensive End,Miami,ACC,78.0,260.0,4.56,21.0,36.0,125.0,,,22.0,4,1,1,1,1,0,0,3.0,5.0,7.0,21.0,0.0,15.5,45.0,,,,2021,,,,,,,,,,,0.0,1.0,1.0,12.0,0.0,1.0,20.0,,,,2.0,0.0,3.5,16.0,0.0,7.0,21.0,,,
