name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y1_college,Y2_college,Y3_college,Y0_punting_In 20,Y0_punting_LONG,Y0_punting_NO,Y0_punting_TB,Y0_punting_YDS,Y0_punting_YPP,Y1_punting_In 20,Y1_punting_LONG,Y1_punting_NO,Y1_punting_TB,Y1_punting_YDS,Y1_punting_YPP,Y2_punting_In 20,Y2_punting_LONG,Y2_punting_NO,Y2_punting_TB,Y2_punting_YDS,Y2_punting_YPP,Y3_punting_In 20,Y3_punting_LONG,Y3_punting_NO,Y3_punting_TB,Y3_punting_YDS,Y3_punting_YPP
Braden Mann,Punter,Texas A&M,SEC,71.0,198.0,4.83,31.0,111.0,7.03,4.13,22.0,4,1,1,1,1,0,0,Texas A&M,Texas A&M,,Texas A&M,11.0,68.0,57.0,2.0,2685.0,47.1,20.0,82.0,50.0,9.0,2549.0,51.0,,,,,,,0.0,50.0,2.0,0.0,94.0,47.0
Sterling Hofrichter,Punter,Syracuse,ACC,70.0,196.0,,,,,,23.0,4,0,1,1,1,1,0,Syracuse,Syracuse,Syracuse,Syracuse,8.0,65.0,69.0,0.0,3026.0,43.9,22.0,58.0,67.0,4.0,2874.0,42.9,0.0,64.0,57.0,0.0,2462.0,43.2,0.0,65.0,77.0,0.0,3289.0,42.7
