name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_college,Y3_college,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS
Jordan Hudson,Wide Receiver,SMU,American Athletic,73.0,191,,,,,,,4,0,0,0,0,0,0,SMU,1.0,1.0,0.0,1.0,6.0,0.0,6.0,6.0,70.0,61.0,6.0,766.0,12.6,,,,,,,,,,,SMU,,,,42.0,39.0,5.0,422.0,10.8,1.0,8.0,0.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCU,,,,,,31.0,14.0,3.0,174.0,12.4,,,,,,,,,,,,,
Donaven McCulley,Wide Receiver,Michigan,Big Ten,76.0,203,,,,,,,4,0,0,0,0,0,0,Michigan,,,,2.0,11.0,0.0,5.0,2.5,44.0,39.0,3.0,588.0,15.1,,,,,,,,,,,Indiana,,,,12.0,2.0,1.0,21.0,10.5,,,,,,,,,,,,,,,,,,,,,69.0,48.0,6.0,644.0,13.4,3.0,1.0,0.0,-1.0,-0.3,,,,,,,,,Indiana,Indiana,,,,,,48.0,16.0,1.0,169.0,10.6,4.0,4.0,1.0,5.0,1.3,,,,,,,,
Lewis Bond,Wide Receiver,Boston College,ACC,70.0,199,,,,,,,4,0,0,0,0,0,0,Boston College,1.0,1.0,0.0,4.0,7.0,0.0,3.0,0.8,54.0,89.0,1.0,1010.0,11.3,,,,,,,,,,,Boston College,1.0,1.0,0.0,49.0,67.0,3.0,689.0,10.3,3.0,11.0,0.0,4.0,1.3,,,,,,,,,,,18.0,22.0,4.0,0.0,72.0,42.0,52.0,7.0,646.0,12.4,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,11.2,25.0,6.0,0.0,67.0,Boston College,Boston College,,,,,,19.0,5.0,0.0,51.0,10.2,,,,,,,,,,,,,
Hank Beatty,Wide Receiver,Illinois,Big Ten,70.0,185,,,,,,,4,0,0,0,0,0,0,Illinois,1.0,0.0,0.0,4.0,25.0,1.0,46.0,11.5,62.0,70.0,3.0,864.0,12.3,16.4,69.0,13.0,1.0,213.0,,,,,,Illinois,2.0,1.0,0.0,59.0,20.0,1.0,294.0,14.7,1.0,11.0,0.0,11.0,11.0,18.5,20.0,2.0,0.0,37.0,14.1,59.0,22.0,0.0,310.0,0.0,0.0,1.0,0.0,0.0,26.0,8.0,0.0,65.0,8.1,,,,,,1.0,1.0,0.0,6.0,6.0,1.0,0.0,6.0,Illinois,Illinois,,,,,,8.0,7.0,0.0,25.0,3.6,,,,,,,,,1.0,2.0,2.0,0.0,2.0
Nic Anderson,Wide Receiver,LSU,SEC,76.0,216,,,,,,,3,0,0,0,0,0,0,LSU,,,,,,,,,21.0,12.0,2.0,106.0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,38.0,10.0,798.0,21.0,,,,,,,,,,,,,,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,
Keelan Marion,Wide Receiver,Miami (FL),,72.0,195,,,,,,,3,0,0,0,0,0,0,Miami,,,,4.0,22.0,0.0,25.0,6.3,61.0,57.0,2.0,746.0,13.1,,,,,,24.4,38.0,12.0,0.0,293.0,BYU,0.0,0.0,1.0,52.0,24.0,1.0,346.0,14.4,21.0,18.0,2.0,96.0,4.6,26.2,100.0,18.0,2.0,472.0,,,,,,20.7,40.0,19.0,0.0,393.0,37.0,20.0,0.0,216.0,10.8,9.0,14.0,3.0,40.0,4.4,1.0,0.0,0.0,,,,,,BYU,,,,,,,,,,,,,,,,,,,,,,,,
Noah Thomas,Wide Receiver,Georgia,SEC,77.0,200,,,,,,,4,0,0,0,0,0,0,Georgia,,,,,,,,,64.0,16.0,4.0,254.0,15.9,,,,,,,,,,,Texas A&M,,,,73.0,39.0,8.0,574.0,14.7,4.0,10.0,0.0,18.0,4.5,,,,,,,,,,,,,,,,34.0,29.0,5.0,359.0,12.4,,,,,,,,,,,,,,Texas A&M,Texas A&M,,,,,,22.0,5.0,2.0,51.0,10.2,,,,,,,,,,,,,
O'Mega Blake,Wide Receiver,Arkansas,SEC,73.0,187,,,,,,,4,0,0,0,0,0,0,Arkansas,1.0,1.0,0.0,,,,,,36.0,57.0,5.0,760.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,19.0,2.0,250.0,13.2,,,,,,,,,,,,,,South Carolina,South Carolina,,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,
Jacob De Jesus,Wide Receiver,Cal,,67.0,170,,,,,,,1,0,0,0,0,0,0,California,5.0,2.0,0.0,7.0,8.0,0.0,-1.0,-0.1,41.0,107.0,6.0,1022.0,9.6,11.8,34.0,22.0,0.0,259.0,20.2,36.0,18.0,0.0,363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romello Brinson,Wide Receiver,SMU,American Athletic,74.0,190,,,,,,,4,0,0,0,0,0,0,SMU,1.0,1.0,1.0,1.0,4.0,0.0,4.0,4.0,75.0,43.0,3.0,638.0,14.8,,,,,,,,,,,SMU,,,,51.0,14.0,0.0,141.0,10.1,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miami,,,,,,58.0,7.0,0.0,99.0,14.1,2.0,0.0,0.0,-11.0,-5.5,,,,,,,,
Chris Hilton Jr.,Wide Receiver,LSU,SEC,72.0,188,,,,,,,4,0,0,0,0,0,0,LSU,1.0,1.0,0.0,,,,,,46.0,10.0,0.0,122.0,12.2,,,,,,,,,,,LSU,,,,45.0,9.0,3.0,243.0,27.0,,,,,,,,,,,,,,,,,,,,,47.0,13.0,2.0,225.0,17.3,,,,,,,,,,,,,,LSU,LSU,23.0,23.0,1.0,0.0,23.0,51.0,6.0,0.0,98.0,16.3,,,,,,,,,,,,,
Dane Key,Wide Receiver,Nebraska,Big Ten,74.0,210,,,,,,,4,0,0,0,0,0,0,Nebraska,,,,,,,,,40.0,39.0,5.0,452.0,11.6,,,,,,,,,,,Kentucky,1.0,1.0,0.0,42.0,47.0,2.0,715.0,15.2,,,,,,,,,,,,,,,,,,,,,58.0,42.0,6.0,636.0,15.1,,,,,,1.0,1.0,0.0,,,,,,Kentucky,Kentucky,,,,,,55.0,37.0,6.0,519.0,14.0,1.0,0.0,0.0,-2.0,-2.0,1.0,0.0,0.0,,,,,
Ryan Davis,Wide Receiver,Utah,Pac-12,70.0,180,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Prentice,Wide Receiver,Baylor,Big 12,70.0,188,,,,,,,4,0,0,0,0,0,0,Baylor,,,,,,,,,73.0,26.0,6.0,380.0,14.6,,,,,,,,,,,Alabama,,,,20.0,11.0,1.0,129.0,11.7,,,,,,,,,,,,,,,,,,,,,79.0,18.0,2.0,314.0,17.4,,,,,,,,,,,,,,Alabama,Alabama,,,,,,47.0,31.0,2.0,337.0,10.9,,,,,,,,,,,,,
Anthony Smith,Wide Receiver,East Carolina,Conference USA,75.0,189,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kris Hutson,Wide Receiver,Arizona,Pac-12,70.0,173,,,,,,,1,0,0,0,0,0,0,Arizona,1.0,1.0,0.0,2.0,15.0,0.0,14.0,7.0,40.0,60.0,4.0,764.0,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trebor Pena,Wide Receiver,Penn State,Big Ten,71.0,184,,,,,,,4,0,0,0,0,0,0,Penn State,1.0,0.0,0.0,11.0,16.0,0.0,69.0,6.3,73.0,49.0,2.0,552.0,11.3,8.9,21.0,8.0,0.0,71.0,16.0,16.0,1.0,0.0,16.0,Syracuse,1.0,0.0,0.0,50.0,84.0,9.0,941.0,11.2,12.0,17.0,1.0,72.0,6.0,,,,,,8.0,34.0,15.0,0.0,120.0,,,,,,,,,,,,,,,,,,,4.5,7.0,2.0,0.0,9.0,Syracuse,Syracuse,25.5,57.0,13.0,0.0,331.0,30.0,22.0,0.0,203.0,9.2,2.0,8.0,0.0,8.0,4.0,2.0,1.0,0.0,8.7,43.0,21.0,0.0,182.0
